#
# Transition date estimate for chibougamau
#
# Site: chibougamau
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2010
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:20:08
# Spline RMSE gcc_mean: 1.4994
# Spline RMSE gcc_50: 1.51554
# Spline RMSE gcc_75: 1.52563
# Spline RMSE gcc_90: 1.51689
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
chibougamau,EN,1000,rising,gcc_90,2009-04-08,2009-04-20,2009-05-10,2009-04-07,2009-04-19,2009-05-09,2009-04-09,2009-04-21,2009-05-11,14.90583,18.78646,25.11612,12.61702,37.38737
chibougamau,EN,1000,rising,gcc_90,2010-03-03,2010-03-26,2010-04-23,2010-03-02,2010-03-25,2010-04-22,2010-03-04,2010-03-27,2010-04-24,13.9648,17.04882,22.26907,11.90464,32.59369
chibougamau,EN,1000,rising,gcc_75,2009-04-08,2009-04-19,2009-05-09,2009-04-07,2009-04-18,2009-05-08,2009-04-09,2009-04-20,2009-05-10,12.93968,16.75403,23.15875,10.47004,35.68535
chibougamau,EN,1000,rising,gcc_75,2010-03-11,2010-03-29,2010-04-25,2010-03-10,2010-03-28,2010-04-24,2010-03-12,2010-03-30,2010-04-26,13.36761,16.35318,21.56159,11.41749,31.35602
chibougamau,EN,1000,rising,gcc_50,2009-04-09,2009-04-20,2009-05-11,2009-04-08,2009-04-19,2009-05-10,2009-04-10,2009-04-21,2009-05-12,10.93364,14.6633,21.16385,8.5239,33.53875
chibougamau,EN,1000,rising,gcc_50,2010-03-13,2010-03-29,2010-04-22,2010-03-12,2010-03-28,2010-04-21,2010-03-14,2010-03-30,2010-04-23,11.58188,14.48962,19.60528,9.5909,29.56188
chibougamau,EN,1000,rising,gcc_mean,2009-04-08,2009-04-19,2009-05-10,2009-04-07,2009-04-18,2009-05-09,2009-04-10,2009-04-20,2009-05-11,10.44993,14.08142,20.58948,8.26573,32.7461
chibougamau,EN,1000,rising,gcc_mean,2010-03-17,2010-04-01,2010-04-24,2010-03-16,2010-03-31,2010-04-23,2010-03-18,2010-04-02,2010-04-25,11.89567,14.63247,19.46537,10.03971,28.86652
chibougamau,EN,1000,falling,gcc_90,2010-11-02,2010-10-23,2010-10-04,2010-11-03,2010-10-24,2010-10-20,2010-11-01,2010-10-22,2010-08-30,15.22171,17.99549,22.95647,13.32257,32.53976
chibougamau,EN,1000,falling,gcc_90,2009-11-28,2009-11-10,2009-10-11,2009-11-29,2009-11-11,2009-10-12,2009-11-27,2009-11-09,2009-10-10,14.24713,17.99423,24.67296,11.68671,37.39183
chibougamau,EN,1000,falling,gcc_90,2008-11-19,2008-11-02,2008-10-11,2009-03-12,2008-11-03,2008-10-12,2008-11-15,2008-11-01,2008-10-10,15.11409,18.11166,23.62321,13.00517,34.2137
chibougamau,EN,1000,falling,gcc_75,2010-11-02,2010-10-22,2010-10-03,2010-11-03,2010-10-23,2010-10-20,2010-11-01,2010-10-21,2010-08-30,14.3068,17.12762,22.06109,12.62771,31.21007
chibougamau,EN,1000,falling,gcc_75,2009-11-28,2009-11-10,2009-10-11,2009-11-29,2009-11-11,2009-10-12,2009-11-26,2009-11-09,2009-10-10,12.65767,16.8037,23.39485,10.49048,35.7813
chibougamau,EN,1000,falling,gcc_75,2008-11-28,2008-11-02,2008-10-11,2009-03-12,2008-11-03,2008-10-12,2008-11-15,2008-11-01,2008-10-10,14.10757,17.02167,22.32792,12.09807,32.54557
chibougamau,EN,1000,falling,gcc_50,2010-10-28,2010-10-13,2010-09-29,2010-10-29,2010-10-20,2010-10-20,2010-10-27,2010-08-30,2010-08-30,14.06438,16.71047,21.06272,12.4403,29.62195
chibougamau,EN,1000,falling,gcc_50,2009-11-30,2009-11-15,2009-10-14,2009-12-01,2009-11-16,2009-10-15,2009-11-29,2009-11-14,2009-10-13,10.54622,14.53709,21.13456,8.27935,33.72699
chibougamau,EN,1000,falling,gcc_50,2008-11-27,2008-11-04,2008-10-13,2009-03-12,2008-11-05,2008-10-14,2008-11-15,2008-11-03,2008-10-12,12.36814,15.24438,20.38423,10.44817,30.20288
chibougamau,EN,1000,falling,gcc_mean,2010-10-28,2010-10-14,2010-09-29,2010-10-29,2010-10-20,2010-10-20,2010-10-26,2010-08-30,2010-08-30,13.55184,16.04638,20.65582,11.98958,28.97936
chibougamau,EN,1000,falling,gcc_mean,2009-11-28,2009-11-09,2009-10-12,2009-11-29,2009-11-10,2009-10-13,2009-11-27,2009-11-08,2009-10-11,11.33183,15.07933,21.10421,9.25393,32.81031
chibougamau,EN,1000,falling,gcc_mean,2008-11-19,2008-11-01,2008-10-12,2009-03-12,2008-11-02,2008-10-13,2008-11-15,2008-10-31,2008-10-11,12.62253,15.34501,20.10357,10.82155,29.34081
