#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:20:23
# Spline RMSE gcc_mean: 2.35354
# Spline RMSE gcc_50: 2.77871
# Spline RMSE gcc_75: 2.97822
# Spline RMSE gcc_90: 2.81909
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,3000,rising,gcc_90,2011-03-30,2011-04-15,2011-05-11,2011-03-29,2011-04-14,2011-05-09,2011-03-31,2011-04-17,2011-05-12,16.06621,18.46215,22.77184,14.56167,30.6155
howland1,EN,3000,rising,gcc_90,2012-03-21,2012-04-05,2012-05-05,2012-03-20,2012-04-04,2012-05-03,2012-03-22,2012-04-06,2012-05-06,16.45743,18.86359,23.26384,14.86736,31.36172
howland1,EN,3000,rising,gcc_90,2013-03-28,2013-04-12,2013-05-10,2013-03-27,2013-04-11,2013-05-09,2013-03-29,2013-04-13,2013-05-11,16.10022,18.75313,23.228,14.48526,31.68993
howland1,EN,3000,rising,gcc_90,2014-04-04,2014-04-19,2014-05-15,2014-04-03,2014-04-18,2014-05-14,2014-04-05,2014-04-20,2014-05-16,16.0751,18.70751,23.08564,14.35561,31.78675
howland1,EN,3000,rising,gcc_90,2015-03-31,2015-04-15,2015-05-13,2015-03-30,2015-04-14,2015-05-12,2015-04-01,2015-04-16,2015-05-14,15.22951,17.89469,22.42817,13.55988,31.11441
howland1,EN,3000,rising,gcc_90,2016-03-30,2016-04-13,2016-05-07,2016-03-29,2016-04-12,2016-05-05,2016-03-31,2016-04-14,2016-05-08,15.82341,18.35235,22.79337,14.12597,31.16479
howland1,EN,3000,rising,gcc_90,2017-04-03,2017-04-17,2017-05-10,2017-04-02,2017-04-16,2017-05-09,2017-04-04,2017-04-18,2017-05-11,14.70722,17.13177,21.37425,13.11077,29.37916
howland1,EN,3000,rising,gcc_90,2018-04-03,2018-04-16,2018-05-08,2018-04-02,2018-04-15,2018-05-06,2018-04-04,2018-04-18,2018-05-09,13.61237,15.96885,20.58148,11.94323,28.85395
howland1,EN,3000,rising,gcc_75,2011-03-29,2011-04-15,2011-05-11,2011-03-28,2011-04-14,2011-05-10,2011-03-30,2011-04-16,2011-05-12,13.96234,16.17121,19.92979,12.49211,27.24822
howland1,EN,3000,rising,gcc_75,2012-03-20,2012-04-05,2012-05-04,2012-03-19,2012-04-04,2012-05-03,2012-03-21,2012-04-06,2012-05-05,14.50657,16.99588,21.16469,12.93022,29.35203
howland1,EN,3000,rising,gcc_75,2013-03-29,2013-04-13,2013-05-11,2013-03-28,2013-04-12,2013-05-10,2013-03-31,2013-04-14,2013-05-12,14.3149,16.78447,20.96801,12.86586,28.93963
howland1,EN,3000,rising,gcc_75,2014-04-03,2014-04-19,2014-05-16,2014-04-02,2014-04-18,2014-05-15,2014-04-04,2014-04-20,2014-05-17,13.96933,16.45809,20.68644,12.41089,28.88766
howland1,EN,3000,rising,gcc_75,2015-03-29,2015-04-13,2015-05-12,2015-03-28,2015-04-12,2015-05-11,2015-03-30,2015-04-15,2015-05-13,13.40057,15.74171,19.95023,11.88237,27.95022
howland1,EN,3000,rising,gcc_75,2016-03-27,2016-04-11,2016-05-04,2016-03-26,2016-04-10,2016-05-03,2016-03-28,2016-04-12,2016-05-05,13.57054,16.05829,20.22983,12.05368,28.39102
howland1,EN,3000,rising,gcc_75,2017-04-03,2017-04-18,2017-05-13,2017-04-02,2017-04-17,2017-05-12,2017-04-05,2017-04-19,2017-05-14,12.76815,14.98628,18.82269,11.411,26.10564
howland1,EN,3000,rising,gcc_75,2018-04-03,2018-04-17,2018-05-08,2018-04-02,2018-04-16,2018-05-07,2018-04-04,2018-04-18,2018-05-09,11.5981,13.94944,17.99042,10.05942,25.62836
howland1,EN,3000,rising,gcc_50,2011-03-30,2011-04-16,2011-05-12,2011-03-29,2011-04-15,2011-05-11,2011-03-31,2011-04-17,2011-05-13,11.68501,13.54826,16.80119,10.42436,23.06541
howland1,EN,3000,rising,gcc_50,2012-03-17,2012-04-02,2012-05-01,2012-03-16,2012-04-01,2012-04-30,2012-03-18,2012-04-03,2012-05-02,12.02119,14.27708,18.01364,10.57235,25.42881
howland1,EN,3000,rising,gcc_50,2013-03-25,2013-04-10,2013-05-09,2013-03-24,2013-04-09,2013-05-08,2013-03-26,2013-04-11,2013-05-10,11.50744,13.88489,17.83578,10.04089,25.45996
howland1,EN,3000,rising,gcc_50,2014-04-01,2014-04-16,2014-05-15,2014-03-31,2014-04-15,2014-05-13,2014-04-02,2014-04-18,2014-05-16,11.27834,13.27155,17.06083,9.88256,23.93058
howland1,EN,3000,rising,gcc_50,2015-03-29,2015-04-13,2015-05-11,2015-03-28,2015-04-12,2015-05-10,2015-03-30,2015-04-14,2015-05-12,10.88244,12.9342,16.4506,9.59251,23.29128
howland1,EN,3000,rising,gcc_50,2016-03-27,2016-04-11,2016-05-04,2016-03-26,2016-04-10,2016-05-03,2016-03-28,2016-04-12,2016-05-05,10.98465,13.1217,16.70101,9.63462,23.70524
howland1,EN,3000,rising,gcc_50,2017-04-02,2017-04-17,2017-05-12,2017-04-01,2017-04-16,2017-05-11,2017-04-03,2017-04-18,2017-05-13,10.22966,11.99895,15.11325,9.06961,21.07586
howland1,EN,3000,rising,gcc_50,2018-04-02,2018-04-16,2018-05-07,2018-04-01,2018-04-15,2018-05-06,2018-04-03,2018-04-17,2018-05-08,9.23026,11.08958,14.33467,8.01841,20.41818
howland1,EN,3000,rising,gcc_mean,2011-03-29,2011-04-15,2011-05-11,2011-03-28,2011-04-14,2011-05-10,2011-03-30,2011-04-16,2011-05-12,11.59259,13.53053,16.78388,10.35095,23.07227
howland1,EN,3000,rising,gcc_mean,2012-03-16,2012-03-31,2012-04-30,2012-03-15,2012-03-30,2012-04-29,2012-03-17,2012-04-02,2012-05-01,11.79541,13.89206,17.71053,10.40082,24.86343
howland1,EN,3000,rising,gcc_mean,2013-03-26,2013-04-09,2013-05-08,2013-03-25,2013-04-08,2013-05-06,2013-03-27,2013-04-10,2013-05-09,11.5752,13.70588,17.62349,10.10547,24.84253
howland1,EN,3000,rising,gcc_mean,2014-04-01,2014-04-16,2014-05-14,2014-03-31,2014-04-15,2014-05-13,2014-04-02,2014-04-17,2014-05-15,11.16398,13.23599,16.91305,9.81747,23.7834
howland1,EN,3000,rising,gcc_mean,2015-03-30,2015-04-13,2015-05-11,2015-03-29,2015-04-12,2015-05-10,2015-03-31,2015-04-14,2015-05-12,10.8814,12.89009,16.53751,9.50406,23.39999
howland1,EN,3000,rising,gcc_mean,2016-03-27,2016-04-11,2016-05-04,2016-03-26,2016-04-10,2016-05-03,2016-03-29,2016-04-12,2016-05-05,10.95655,13.09886,16.69349,9.6558,23.70306
howland1,EN,3000,rising,gcc_mean,2017-04-01,2017-04-16,2017-05-10,2017-03-31,2017-04-15,2017-05-08,2017-04-03,2017-04-17,2017-05-11,10.19288,12.07104,15.33229,9.06534,21.39973
howland1,EN,3000,rising,gcc_mean,2018-04-02,2018-04-16,2018-05-07,2018-04-01,2018-04-15,2018-05-06,2018-04-03,2018-04-17,2018-05-08,9.29923,11.19044,14.50851,8.08497,20.81149
howland1,EN,3000,falling,gcc_90,2017-12-19,2017-12-01,2017-11-05,2018-01-20,2017-12-02,2017-11-06,2017-12-07,2017-11-30,2017-11-04,15.43443,17.69285,21.77063,13.95964,29.36717
howland1,EN,3000,falling,gcc_90,2016-12-08,2016-11-20,2016-10-24,2016-12-09,2016-11-21,2016-10-25,2016-12-07,2016-11-19,2016-10-23,16.08279,18.47891,22.86722,14.43311,31.11985
howland1,EN,3000,falling,gcc_90,2015-12-04,2015-11-16,2015-10-22,2015-12-05,2015-11-17,2015-10-23,2015-12-02,2015-11-15,2015-10-21,16.6407,19.05959,23.18641,15.14197,31.11525
howland1,EN,3000,falling,gcc_90,2014-12-04,2014-11-15,2014-10-21,2014-12-05,2014-11-16,2014-10-22,2014-12-03,2014-11-14,2014-10-20,16.13232,18.67807,23.25913,14.47808,31.77214
howland1,EN,3000,falling,gcc_90,2013-12-09,2013-11-19,2013-10-24,2013-12-10,2013-11-20,2013-10-25,2013-12-08,2013-11-18,2013-10-23,16.29784,18.84834,23.20299,14.6779,31.65485
howland1,EN,3000,falling,gcc_90,2012-12-04,2012-11-15,2012-10-21,2012-12-05,2012-11-16,2012-10-22,2012-12-03,2012-11-14,2012-10-20,16.47862,18.97498,23.20486,14.85678,31.38381
howland1,EN,3000,falling,gcc_90,2011-12-05,2011-11-20,2011-10-24,2011-12-06,2011-11-21,2011-10-25,2011-12-04,2011-11-19,2011-10-23,16.94296,19.24714,23.14301,15.48741,30.58676
howland1,EN,3000,falling,gcc_90,2010-12-05,2010-11-18,2010-10-20,2010-12-22,2010-11-19,2010-10-21,2010-12-04,2010-11-17,2010-10-19,15.76792,18.38318,22.78795,14.10124,31.41982
howland1,EN,3000,falling,gcc_75,2017-12-19,2017-12-01,2017-11-06,2018-01-20,2017-12-02,2017-11-07,2017-12-07,2017-11-30,2017-11-05,13.13901,15.27119,19.03741,11.7851,26.0933
howland1,EN,3000,falling,gcc_75,2016-12-02,2016-11-15,2016-10-19,2016-12-03,2016-11-16,2016-10-20,2016-12-01,2016-11-14,2016-10-18,13.74148,16.13449,20.28856,12.17299,28.38294
