#
# Transition date estimate for niwot3
#
# Site: niwot3
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:20:30
# Spline RMSE gcc_mean: 2.01714
# Spline RMSE gcc_50: 2.1804
# Spline RMSE gcc_75: 2.10166
# Spline RMSE gcc_90: 2.06722
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot3,EN,1000,rising,gcc_90,2016-04-07,2016-04-26,2016-05-19,2016-04-06,2016-04-25,2016-05-17,2016-04-08,2016-04-27,2016-05-20,17.64281,20.89154,26.5488,15.53758,37.00816
niwot3,EN,1000,rising,gcc_90,2017-03-26,2017-04-20,2017-05-22,2017-03-25,2017-04-19,2017-05-21,2017-03-27,2017-04-22,2017-05-23,18.76366,21.87868,27.52212,16.64065,38.09842
niwot3,EN,1000,rising,gcc_90,2018-04-14,2018-04-26,2018-05-12,2018-04-13,2018-04-25,2018-05-11,2018-04-15,2018-04-27,2018-05-13,17.63473,21.14696,27.24245,15.41657,38.54864
niwot3,EN,1000,rising,gcc_75,2016-04-08,2016-04-27,2016-05-19,2016-04-07,2016-04-26,2016-05-18,2016-04-09,2016-04-28,2016-05-20,16.52506,19.64447,24.88797,14.56379,35.05078
niwot3,EN,1000,rising,gcc_75,2017-03-28,2017-04-22,2017-05-23,2017-03-27,2017-04-21,2017-05-22,2017-03-29,2017-04-24,2017-05-24,18.0631,21.03105,26.24143,16.0573,36.42503
niwot3,EN,1000,rising,gcc_75,2018-04-11,2018-04-24,2018-05-11,2018-04-10,2018-04-23,2018-05-10,2018-04-12,2018-04-25,2018-05-12,16.0853,19.51968,25.44858,14.01764,36.76419
niwot3,EN,1000,rising,gcc_50,2016-04-10,2016-04-29,2016-05-20,2016-04-09,2016-04-28,2016-05-19,2016-04-12,2016-04-30,2016-05-21,15.3387,18.12852,23.08414,13.55147,32.4402
niwot3,EN,1000,rising,gcc_50,2017-03-22,2017-04-14,2017-05-20,2017-03-21,2017-04-13,2017-05-19,2017-03-23,2017-04-15,2017-05-21,16.33105,19.29301,24.38205,14.39015,34.20799
niwot3,EN,1000,rising,gcc_50,2018-04-12,2018-04-25,2018-05-12,2018-04-11,2018-04-24,2018-05-11,2018-04-13,2018-04-26,2018-05-13,14.96695,18.1275,23.90514,12.90801,34.64155
niwot3,EN,1000,rising,gcc_mean,2016-04-12,2016-04-30,2016-05-20,2016-04-11,2016-04-29,2016-05-19,2016-04-13,2016-05-01,2016-05-21,15.12876,17.86438,22.90759,13.22073,32.45328
niwot3,EN,1000,rising,gcc_mean,2017-03-26,2017-04-22,2017-05-21,2017-03-25,2017-04-21,2017-05-20,2017-03-27,2017-04-23,2017-05-22,16.53523,19.35868,24.2902,14.69279,33.61923
niwot3,EN,1000,rising,gcc_mean,2018-04-11,2018-04-24,2018-05-10,2018-04-10,2018-04-23,2018-05-09,2018-04-13,2018-04-25,2018-05-11,14.25652,17.58586,23.04883,12.34423,33.64695
niwot3,EN,1000,falling,gcc_90,2018-11-18,2018-11-01,2018-10-10,2018-11-19,2018-11-02,2018-10-11,2018-11-17,2018-10-31,2018-10-09,18.51656,21.77822,27.54866,16.32849,38.48244
niwot3,EN,1000,falling,gcc_90,2017-11-20,2017-11-03,2017-10-11,2017-11-21,2017-11-04,2017-10-12,2017-11-19,2017-11-02,2017-10-10,17.05644,20.519,26.4916,14.77031,38.01962
niwot3,EN,1000,falling,gcc_90,2016-11-15,2016-11-02,2016-10-15,2016-11-16,2016-11-03,2016-10-16,2016-11-14,2016-11-01,2016-10-14,17.32358,20.51266,26.30035,15.21702,37.01912
