#
# Transition date estimate for turkeypointenf39
#
# Site: turkeypointenf39
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:21:22
# Spline RMSE gcc_mean: 3.04507
# Spline RMSE gcc_50: 3.15144
# Spline RMSE gcc_75: 3.19077
# Spline RMSE gcc_90: 3.21342
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf39,EN,1000,rising,gcc_90,2013-03-30,2013-04-11,2013-05-01,2013-03-29,2013-04-10,2013-04-29,2013-03-31,2013-04-12,2013-05-02,2.10448,6.60269,14.65746,-0.94614,29.60248
turkeypointenf39,EN,1000,rising,gcc_90,2014-03-31,2014-04-14,2014-05-04,2014-03-30,2014-04-13,2014-05-03,2014-04-01,2014-04-15,2014-05-05,4.32999,8.44995,16.1745,1.59409,30.13002
turkeypointenf39,EN,1000,rising,gcc_90,2015-03-23,2015-04-04,2015-04-25,2015-03-22,2015-04-03,2015-04-24,2015-03-24,2015-04-05,2015-04-26,-3.13168,1.0286,7.68502,-5.43501,20.47664
turkeypointenf39,EN,1000,rising,gcc_90,2016-03-24,2016-04-07,2016-04-26,2016-03-23,2016-04-06,2016-04-25,2016-03-25,2016-04-08,2016-04-27,0.70984,3.45985,8.18412,-1.10382,17.18764
turkeypointenf39,EN,1000,rising,gcc_90,2017-03-13,2017-03-26,2017-04-21,2017-03-12,2017-03-25,2017-04-20,2017-03-14,2017-03-27,2017-04-22,-0.04706,3.09062,8.788,-2.21474,19.69524
turkeypointenf39,EN,1000,rising,gcc_90,2018-03-31,2018-04-14,2018-05-10,2018-03-30,2018-04-13,2018-05-09,2018-04-01,2018-04-15,2018-05-11,-3.42305,0.29566,6.7224,-5.72738,18.91428
turkeypointenf39,EN,1000,rising,gcc_75,2013-03-29,2013-04-11,2013-04-30,2013-03-28,2013-04-10,2013-04-29,2013-03-31,2013-04-12,2013-05-01,0.50372,5.29642,12.98146,-2.2264,28.00571
turkeypointenf39,EN,1000,rising,gcc_75,2014-03-29,2014-04-13,2014-05-03,2014-03-28,2014-04-12,2014-05-02,2014-03-30,2014-04-14,2014-05-04,2.42776,6.79104,14.35474,-0.27952,28.26277
turkeypointenf39,EN,1000,rising,gcc_75,2015-03-23,2015-04-03,2015-04-24,2015-03-22,2015-04-02,2015-04-23,2015-03-24,2015-04-04,2015-04-25,-4.2759,-0.7805,5.40065,-6.49779,17.0393
turkeypointenf39,EN,1000,rising,gcc_75,2016-03-24,2016-04-07,2016-04-27,2016-03-23,2016-04-06,2016-04-26,2016-03-25,2016-04-08,2016-04-28,-1.25437,1.34063,6.00705,-2.95192,14.62175
turkeypointenf39,EN,1000,rising,gcc_75,2017-03-11,2017-03-25,2017-04-20,2017-03-10,2017-03-24,2017-04-19,2017-03-13,2017-03-26,2017-04-21,-2.15612,1.07413,6.53551,-4.02689,16.729
turkeypointenf39,EN,1000,rising,gcc_75,2018-03-30,2018-04-13,2018-05-08,2018-03-29,2018-04-12,2018-05-07,2018-03-31,2018-04-14,2018-05-09,-4.85697,-1.19146,4.72001,-6.98973,16.40034
turkeypointenf39,EN,1000,rising,gcc_50,2013-03-29,2013-04-10,2013-04-30,2013-03-28,2013-04-09,2013-04-29,2013-03-30,2013-04-11,2013-05-01,-0.9938,3.29277,11.21008,-3.65583,25.60057
turkeypointenf39,EN,1000,rising,gcc_50,2014-03-28,2014-04-12,2014-05-02,2014-03-27,2014-04-11,2014-04-30,2014-03-30,2014-04-13,2014-05-03,0.17704,4.49348,11.75008,-2.24083,24.98459
turkeypointenf39,EN,1000,rising,gcc_50,2015-03-23,2015-04-03,2015-04-23,2015-03-22,2015-04-02,2015-04-21,2015-03-24,2015-04-04,2015-04-24,-6.25106,-3.04504,2.39064,-8.20004,12.61589
turkeypointenf39,EN,1000,rising,gcc_50,2016-03-23,2016-04-06,2016-04-26,2016-03-22,2016-04-05,2016-04-25,2016-03-24,2016-04-07,2016-04-27,-3.98716,-1.70106,2.54125,-5.56986,10.32416
turkeypointenf39,EN,1000,rising,gcc_50,2017-03-11,2017-03-24,2017-04-17,2017-03-10,2017-03-23,2017-04-16,2017-03-12,2017-03-25,2017-04-18,-4.26664,-1.42409,3.30714,-5.97312,12.5732
turkeypointenf39,EN,1000,rising,gcc_50,2018-03-27,2018-04-09,2018-05-04,2018-03-26,2018-04-08,2018-05-03,2018-03-28,2018-04-10,2018-05-05,-7.59302,-4.12613,1.73979,-9.7105,12.89459
turkeypointenf39,EN,1000,rising,gcc_mean,2013-03-29,2013-04-10,2013-04-30,2013-03-28,2013-04-09,2013-04-29,2013-03-30,2013-04-11,2013-05-01,-1.2661,2.89561,10.56039,-3.89616,24.69962
turkeypointenf39,EN,1000,rising,gcc_mean,2014-03-29,2014-04-12,2014-05-02,2014-03-28,2014-04-11,2014-05-01,2014-03-30,2014-04-13,2014-05-03,0.20736,4.08938,11.09128,-2.45372,24.23072
turkeypointenf39,EN,1000,rising,gcc_mean,2015-03-23,2015-04-03,2015-04-23,2015-03-22,2015-04-02,2015-04-21,2015-03-24,2015-04-04,2015-04-24,-6.37199,-3.20499,2.17302,-8.29241,12.27067
turkeypointenf39,EN,1000,rising,gcc_mean,2016-03-23,2016-04-06,2016-04-27,2016-03-22,2016-04-05,2016-04-26,2016-03-24,2016-04-07,2016-04-28,-3.84018,-1.65928,2.53601,-5.38013,10.18786
turkeypointenf39,EN,1000,rising,gcc_mean,2017-03-10,2017-03-23,2017-04-17,2017-03-09,2017-03-22,2017-04-16,2017-03-11,2017-03-24,2017-04-18,-4.57547,-1.83986,2.97046,-6.23867,11.95183
turkeypointenf39,EN,1000,rising,gcc_mean,2018-03-27,2018-04-09,2018-05-04,2018-03-26,2018-04-08,2018-05-03,2018-03-28,2018-04-10,2018-05-05,-7.80097,-4.47804,1.13776,-9.83403,12.03513
turkeypointenf39,EN,1000,falling,gcc_90,2018-12-12,2018-11-19,2018-10-15,2018-12-13,2018-11-20,2018-11-07,2018-12-11,2018-11-18,2018-08-27,-5.62725,-1.58793,5.42693,-8.3452,18.93603
turkeypointenf39,EN,1000,falling,gcc_90,2017-12-13,2017-11-28,2017-10-30,2017-12-14,2017-11-29,2017-10-31,2017-12-12,2017-11-27,2017-10-29,-2.09626,1.48974,7.70808,-4.3232,19.64607
turkeypointenf39,EN,1000,falling,gcc_90,2016-12-05,2016-11-23,2016-11-06,2016-12-06,2016-11-24,2016-11-07,2016-12-04,2016-11-22,2016-11-05,-0.36155,2.54511,7.86131,-2.24669,17.47856
turkeypointenf39,EN,1000,falling,gcc_90,2015-12-14,2015-11-29,2015-11-01,2015-12-15,2015-11-30,2015-11-02,2015-12-13,2015-11-28,2015-10-31,0.34827,3.66771,9.4226,-1.73829,20.40114
turkeypointenf39,EN,1000,falling,gcc_90,2014-12-12,2014-11-26,2014-10-29,2014-12-13,2014-11-27,2014-10-30,2014-12-11,2014-11-25,2014-10-28,1.20055,6.06947,14.15737,-1.87149,30.03069
turkeypointenf39,EN,1000,falling,gcc_90,2013-12-24,2013-12-10,2013-11-09,2013-12-25,2013-12-11,2013-11-10,2013-12-23,2013-12-09,2013-11-08,3.41165,7.75095,15.25996,0.66851,29.60815
turkeypointenf39,EN,1000,falling,gcc_90,2012-12-10,2012-11-22,2012-10-22,2012-12-11,2012-11-23,2012-10-23,2012-12-09,2012-11-20,2012-10-21,3.8475,7.57621,14.15349,1.51392,26.5222
turkeypointenf39,EN,1000,falling,gcc_75,2018-11-29,2018-11-07,2018-10-06,2018-11-30,2018-11-08,2018-11-07,2018-11-28,2018-11-06,2018-08-27,-5.943,-2.25614,4.22294,-8.42159,16.39199
turkeypointenf39,EN,1000,falling,gcc_75,2017-12-14,2017-11-30,2017-11-02,2017-12-15,2017-12-01,2017-11-04,2017-12-13,2017-11-29,2017-11-01,-3.8979,-0.57327,5.50853,-6.05776,16.71062
turkeypointenf39,EN,1000,falling,gcc_75,2016-12-07,2016-11-24,2016-11-08,2016-12-08,2016-11-25,2016-11-09,2016-12-06,2016-11-23,2016-11-07,-2.1422,0.70954,5.53458,-3.9216,14.98615
turkeypointenf39,EN,1000,falling,gcc_75,2015-12-16,2015-12-01,2015-11-04,2015-12-17,2015-12-02,2015-11-05,2015-12-15,2015-11-30,2015-11-03,-1.88753,1.39312,6.70687,-3.77499,17.00783
turkeypointenf39,EN,1000,falling,gcc_75,2014-12-11,2014-11-26,2014-10-28,2014-12-12,2014-11-27,2014-10-29,2014-12-10,2014-11-25,2014-10-27,-0.07951,4.45179,12.69055,-3.21572,28.17488
turkeypointenf39,EN,1000,falling,gcc_75,2013-12-23,2013-12-09,2013-11-08,2013-12-24,2013-12-10,2013-11-09,2013-12-22,2013-12-07,2013-11-07,2.10206,6.24185,13.79455,-0.69851,28.01445
turkeypointenf39,EN,1000,falling,gcc_75,2012-12-11,2012-11-23,2012-10-22,2012-12-12,2012-11-24,2012-10-23,2012-12-10,2012-11-22,2012-10-21,2.50546,6.22048,12.79774,0.11572,25.12685
turkeypointenf39,EN,1000,falling,gcc_50,2018-11-20,2018-10-31,2018-10-02,2018-11-21,2018-11-07,2018-11-07,2018-11-19,2018-08-27,2018-08-27,-6.6313,-3.4353,2.27592,-8.7894,12.87787
turkeypointenf39,EN,1000,falling,gcc_50,2017-12-16,2017-12-03,2017-11-10,2017-12-17,2017-12-04,2017-11-11,2017-12-15,2017-12-02,2017-11-09,-6.6366,-3.51514,1.97777,-8.5933,12.5223
turkeypointenf39,EN,1000,falling,gcc_50,2016-12-10,2016-11-27,2016-11-11,2016-12-11,2016-11-28,2016-11-12,2016-12-09,2016-11-26,2016-11-10,-4.26177,-1.86868,2.59743,-5.86972,10.89844
turkeypointenf39,EN,1000,falling,gcc_50,2015-12-18,2015-12-05,2015-11-08,2015-12-19,2015-12-06,2015-11-09,2015-12-17,2015-12-04,2015-11-07,-4.37054,-1.61486,3.33904,-6.1178,12.58982
turkeypointenf39,EN,1000,falling,gcc_50,2014-12-12,2014-11-27,2014-10-30,2014-12-13,2014-11-28,2014-10-31,2014-12-11,2014-11-26,2014-10-29,-1.9731,2.43387,10.23213,-4.89779,24.89507
turkeypointenf39,EN,1000,falling,gcc_50,2013-12-23,2013-12-08,2013-11-09,2013-12-24,2013-12-09,2013-11-10,2013-12-22,2013-12-07,2013-11-08,-0.34285,4.0326,11.40988,-3.10742,25.5894
turkeypointenf39,EN,1000,falling,gcc_50,2012-12-11,2012-11-23,2012-10-22,2012-12-12,2012-11-24,2012-10-23,2012-12-10,2012-11-22,2012-10-21,1.48253,5.04711,11.12839,-0.842,22.81155
turkeypointenf39,EN,1000,falling,gcc_mean,2018-12-04,2018-11-11,2018-10-09,2018-12-05,2018-11-12,2018-11-07,2018-12-03,2018-11-10,2018-08-27,-8.00167,-4.64463,1.03673,-10.12797,12.04322
turkeypointenf39,EN,1000,falling,gcc_mean,2017-12-17,2017-12-04,2017-11-11,2017-12-18,2017-12-05,2017-11-12,2017-12-16,2017-12-03,2017-11-10,-6.76384,-3.75066,1.713,-8.76654,11.94297
turkeypointenf39,EN,1000,falling,gcc_mean,2016-12-10,2016-11-27,2016-11-11,2016-12-11,2016-11-28,2016-11-12,2016-12-09,2016-11-26,2016-11-10,-4.60141,-2.1737,2.40836,-6.19307,10.74215
turkeypointenf39,EN,1000,falling,gcc_mean,2015-12-18,2015-12-05,2015-11-09,2015-12-19,2015-12-06,2015-11-10,2015-12-17,2015-12-04,2015-11-08,-4.25351,-1.56288,3.15812,-5.95755,12.25917
turkeypointenf39,EN,1000,falling,gcc_mean,2014-12-14,2014-11-28,2014-11-01,2014-12-15,2014-11-29,2014-11-02,2014-12-13,2014-11-27,2014-10-31,-2.46414,2.08425,9.57846,-5.21358,24.13775
turkeypointenf39,EN,1000,falling,gcc_mean,2013-12-24,2013-12-10,2013-11-11,2013-12-25,2013-12-11,2013-11-12,2013-12-23,2013-12-08,2013-11-10,-0.68561,3.49617,10.80823,-3.16568,24.4869
turkeypointenf39,EN,1000,falling,gcc_mean,2012-12-12,2012-11-25,2012-10-25,2012-12-13,2012-11-26,2012-10-26,2012-12-11,2012-11-23,2012-10-24,0.52089,4.01318,10.11284,-1.65358,21.78935
