#
# Transition date estimate for austincary
#
# Site: austincary
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:17:46
# Spline RMSE gcc_mean: 0.04273
# Spline RMSE gcc_50: 0.03994
# Spline RMSE gcc_75: 0.04862
# Spline RMSE gcc_90: 0.05985
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
austincary,EN,1000,rising,gcc_90,2016-05-06,2016-05-17,2016-06-13,2016-04-29,2016-05-11,2016-06-02,2016-05-13,2016-05-26,2016-06-26,0.7312,0.76916,0.83228,0.70804,0.95461
austincary,EN,1000,rising,gcc_90,2017-05-13,2017-05-24,2017-06-15,2017-04-27,2017-05-20,2017-06-09,2017-05-19,2017-05-31,2017-06-21,0.74471,0.79051,0.87735,0.71437,1.03584
austincary,EN,1000,rising,gcc_90,2018-04-16,2018-05-05,2018-05-19,2018-03-07,2018-04-25,2018-05-12,2018-05-04,2018-05-12,2018-05-28,0.74618,0.7711,0.8226,0.72766,0.91387
austincary,EN,1000,rising,gcc_75,2016-05-18,2016-06-04,2016-07-03,2016-05-06,2016-05-25,2016-06-23,2016-05-29,2016-06-15,2016-07-10,0.68776,0.7211,0.78081,0.66515,0.89165
austincary,EN,1000,rising,gcc_75,2017-05-05,2017-05-19,2017-06-08,2017-04-18,2017-05-14,2017-06-02,2017-05-15,2017-05-25,2017-06-13,0.69201,0.73114,0.80631,0.66501,0.94574
austincary,EN,1000,rising,gcc_75,2018-04-11,2018-05-01,2018-05-18,2018-03-20,2018-04-18,2018-05-11,2018-04-26,2018-05-09,2018-05-30,0.70299,0.73287,0.78518,0.68338,0.88268
austincary,EN,1000,rising,gcc_50,2016-05-23,2016-06-07,2016-07-05,2016-05-13,2016-05-30,2016-06-26,2016-06-01,2016-06-17,2016-07-11,0.64269,0.67642,0.7375,0.62061,0.84869
austincary,EN,1000,rising,gcc_50,2017-04-29,2017-05-16,2017-06-05,2017-04-15,2017-05-10,2017-05-28,2017-05-10,2017-05-22,2017-06-11,0.65122,0.69039,0.76029,0.62515,0.891
austincary,EN,1000,rising,gcc_50,2018-04-16,2018-05-02,2018-05-20,2018-04-04,2018-04-23,2018-05-12,2018-04-26,2018-05-09,2018-07-12,0.66613,0.69635,0.74731,0.64751,0.84494
austincary,EN,1000,rising,gcc_mean,2016-05-16,2016-06-04,2016-07-03,2016-05-07,2016-05-25,2016-06-25,2016-05-28,2016-06-16,2016-07-09,0.64368,0.67663,0.73372,0.62254,0.84456
austincary,EN,1000,rising,gcc_mean,2017-05-06,2017-05-19,2017-06-09,2017-04-19,2017-05-15,2017-06-03,2017-05-15,2017-05-25,2017-06-15,0.64997,0.68905,0.76648,0.62146,0.90868
austincary,EN,1000,rising,gcc_mean,2018-04-13,2018-05-02,2018-05-20,2018-03-25,2018-04-22,2018-05-12,2018-04-27,2018-05-10,2018-07-14,0.66052,0.68872,0.73948,0.64196,0.83635
austincary,EN,1000,falling,gcc_90,2018-12-21,2018-12-05,2018-11-11,2018-12-30,2018-12-16,2018-11-22,2018-12-09,2018-11-25,2018-11-02,0.74132,0.77189,0.82265,0.72388,0.91751
austincary,EN,1000,falling,gcc_90,2017-11-23,2017-11-13,2017-10-29,2017-12-04,2017-11-22,2017-11-22,2017-11-17,2017-07-22,2017-07-22,0.76324,0.80407,0.88861,0.73377,1.03291
austincary,EN,1000,falling,gcc_90,2016-11-01,2016-10-25,2016-10-15,2016-11-05,2016-10-29,2016-10-19,2016-10-27,2016-10-21,2016-10-12,0.74133,0.77856,0.84346,0.7201,0.95956
austincary,EN,1000,falling,gcc_90,2016-02-01,2016-01-27,2016-01-17,2016-02-06,2016-01-31,2016-01-23,2016-01-26,2016-01-21,2016-01-11,0.71497,0.73653,0.78058,0.70369,0.85073
austincary,EN,1000,falling,gcc_75,2018-12-17,2018-12-03,2018-11-12,2018-12-26,2018-12-12,2018-11-21,2018-12-07,2018-11-24,2018-11-03,0.70015,0.73086,0.78313,0.68101,0.88495
austincary,EN,1000,falling,gcc_75,2017-11-18,2017-11-11,2017-11-01,2017-11-22,2017-11-22,2017-11-22,2017-07-22,2017-07-22,2017-07-22,0.69614,0.73652,0.80938,0.67013,0.94202
austincary,EN,1000,falling,gcc_75,2016-11-02,2016-10-27,2016-10-16,2016-11-06,2016-10-31,2016-10-20,2016-10-28,2016-10-22,2016-10-13,0.69284,0.72515,0.78573,0.67333,0.89265
austincary,EN,1000,falling,gcc_75,2016-02-04,2016-01-30,2016-01-20,2016-02-12,2016-02-03,2016-01-26,2016-01-29,2016-01-24,2016-01-13,0.6576,0.67716,0.71895,0.64448,0.79168
austincary,EN,1000,falling,gcc_50,2018-12-20,2018-12-05,2018-11-16,2018-12-31,2018-12-13,2018-11-23,2018-12-11,2018-11-28,2018-11-10,0.64411,0.6791,0.7363,0.62415,0.84449
austincary,EN,1000,falling,gcc_50,2017-11-17,2017-11-09,2017-10-28,2017-11-22,2017-11-22,2017-11-22,2017-07-22,2017-07-22,2017-07-22,0.64305,0.68287,0.75724,0.6196,0.89443
austincary,EN,1000,falling,gcc_50,2016-11-03,2016-10-27,2016-10-15,2016-11-07,2016-10-31,2016-10-19,2016-10-30,2016-10-22,2016-10-12,0.64728,0.68097,0.74254,0.62758,0.84955
austincary,EN,1000,falling,gcc_mean,2018-12-14,2018-12-02,2018-11-12,2018-12-23,2018-12-09,2018-11-21,2018-12-04,2018-11-24,2018-11-05,0.65809,0.68694,0.7399,0.64018,0.83684
