#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:17:57
# Spline RMSE gcc_mean: 0.04486
# Spline RMSE gcc_50: 0.04473
# Spline RMSE gcc_75: 0.04473
# Spline RMSE gcc_90: 0.04739
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-03-29,2012-04-17,2012-05-13,2012-03-21,2012-04-13,2012-05-08,2012-04-05,2012-04-22,2012-05-17,-0.13721,-0.08394,0.01109,-0.17248,0.18944
canadaOBS,EN,1000,rising,gcc_90,2013-04-08,2013-04-23,2013-05-15,2013-04-01,2013-04-20,2013-05-11,2013-04-14,2013-04-27,2013-05-20,-0.18245,-0.12305,-0.01976,-0.22075,0.18035
canadaOBS,EN,1000,rising,gcc_90,2014-04-08,2014-04-25,2014-05-20,2014-04-02,2014-04-21,2014-05-15,2014-04-14,2014-04-29,2014-05-24,-0.19336,-0.12748,-0.01763,-0.23374,0.19179
canadaOBS,EN,1000,rising,gcc_90,2015-03-18,2015-04-13,2015-05-12,2015-03-08,2015-04-08,2015-05-07,2015-03-27,2015-04-18,2015-05-16,-0.21068,-0.15055,-0.04403,-0.24936,0.15421
canadaOBS,EN,1000,rising,gcc_90,2016-04-02,2016-04-18,2016-05-10,2016-03-27,2016-04-15,2016-05-06,2016-04-08,2016-04-22,2016-05-14,-0.19508,-0.13015,-0.01694,-0.23629,0.20173
canadaOBS,EN,1000,rising,gcc_90,2017-04-06,2017-04-22,2017-05-16,2017-03-30,2017-04-18,2017-05-12,2017-04-11,2017-04-26,2017-05-20,-0.17739,-0.11643,-0.01088,-0.21881,0.19578
canadaOBS,EN,1000,rising,gcc_90,2018-04-04,2018-04-18,2018-05-09,2018-03-15,2018-03-15,2018-05-05,2018-04-26,2018-04-26,2018-05-13,-0.15973,-0.10222,0.00562,-0.20044,0.2086
canadaOBS,EN,1000,rising,gcc_75,2012-03-29,2012-04-17,2012-05-12,2012-03-22,2012-04-13,2012-05-08,2012-04-06,2012-04-22,2012-05-17,-0.16601,-0.11315,-0.02081,-0.19985,0.15764
canadaOBS,EN,1000,rising,gcc_75,2013-04-08,2013-04-23,2013-05-15,2013-03-31,2013-04-19,2013-05-10,2013-04-14,2013-04-27,2013-05-20,-0.19734,-0.14123,-0.04341,-0.235,0.14502
canadaOBS,EN,1000,rising,gcc_75,2014-04-09,2014-04-25,2014-05-21,2014-04-02,2014-04-22,2014-05-16,2014-04-14,2014-04-29,2014-05-24,-0.20636,-0.14776,-0.04093,-0.24619,0.15776
canadaOBS,EN,1000,rising,gcc_75,2015-03-18,2015-04-13,2015-05-13,2015-03-07,2015-04-07,2015-05-08,2015-03-27,2015-04-19,2015-05-18,-0.21911,-0.16463,-0.07138,-0.25559,0.11274
canadaOBS,EN,1000,rising,gcc_75,2016-04-03,2016-04-18,2016-05-10,2016-03-28,2016-04-15,2016-05-06,2016-04-08,2016-04-22,2016-05-14,-0.20492,-0.14626,-0.03892,-0.24569,0.16729
canadaOBS,EN,1000,rising,gcc_75,2017-04-06,2017-04-22,2017-05-16,2017-03-30,2017-04-18,2017-05-11,2017-04-12,2017-04-26,2017-05-20,-0.19683,-0.13784,-0.03579,-0.23485,0.15787
canadaOBS,EN,1000,rising,gcc_75,2018-04-01,2018-04-17,2018-05-08,2018-03-15,2018-03-15,2018-05-03,2018-04-26,2018-04-26,2018-05-11,-0.17703,-0.12034,-0.02005,-0.21488,0.1682
