#
# Transition date estimate for oregonMP
#
# Site: oregonMP
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:18:35
# Spline RMSE gcc_mean: 0.05935
# Spline RMSE gcc_50: 0.06253
# Spline RMSE gcc_75: 0.06088
# Spline RMSE gcc_90: 0.06177
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonMP,EN,1000,rising,gcc_90,2012-03-29,2012-04-13,2012-05-09,2012-03-24,2012-04-09,2012-05-03,2012-04-04,2012-04-18,2012-05-13,-0.1573,-0.08633,0.0322,-0.20091,0.26137
oregonMP,EN,1000,rising,gcc_90,2013-04-02,2013-04-16,2013-05-12,2013-03-28,2013-04-12,2013-05-06,2013-04-08,2013-04-21,2013-05-17,-0.08129,-0.01882,0.09254,-0.12073,0.30154
oregonMP,EN,1000,rising,gcc_90,2014-04-03,2014-04-19,2014-05-16,2014-03-27,2014-04-14,2014-05-15,2014-04-10,2014-04-25,2014-05-21,-0.09174,-0.03234,0.073,-0.13078,0.27294
oregonMP,EN,1000,rising,gcc_90,2016-03-18,2016-04-03,2016-04-27,2016-03-12,2016-03-27,2016-04-20,2016-03-25,2016-04-10,2016-05-03,-0.02374,0.02263,0.1016,-0.05389,0.2528
oregonMP,EN,1000,rising,gcc_90,2017-04-05,2017-04-20,2017-05-14,2017-03-30,2017-04-15,2017-05-08,2017-04-12,2017-04-25,2017-05-20,-0.09161,-0.03133,0.06671,-0.12756,0.26081
oregonMP,EN,1000,rising,gcc_90,2018-04-04,2018-04-19,2018-05-11,2018-03-27,2018-04-13,2018-05-04,2018-04-11,2018-04-24,2018-05-17,-0.07901,-0.02561,0.06314,-0.1108,0.23057
oregonMP,EN,1000,rising,gcc_75,2012-03-29,2012-04-13,2012-05-10,2012-03-25,2012-04-09,2012-05-05,2012-04-04,2012-04-18,2012-05-14,-0.19491,-0.12376,0.00116,-0.23846,0.23914
oregonMP,EN,1000,rising,gcc_75,2013-04-02,2013-04-17,2013-05-12,2013-03-28,2013-04-12,2013-05-06,2013-04-08,2013-04-22,2013-05-17,-0.11021,-0.04382,0.06228,-0.14907,0.27251
oregonMP,EN,1000,rising,gcc_75,2014-04-04,2014-04-20,2014-05-17,2014-03-28,2014-04-15,2014-05-16,2014-04-11,2014-04-26,2014-05-22,-0.11762,-0.05852,0.04642,-0.15624,0.2461
oregonMP,EN,1000,rising,gcc_75,2016-03-18,2016-04-03,2016-04-27,2016-03-12,2016-03-27,2016-04-21,2016-03-25,2016-04-10,2016-05-03,-0.05934,-0.01202,0.06834,-0.09017,0.22604
oregonMP,EN,1000,rising,gcc_75,2017-04-07,2017-04-22,2017-05-17,2017-04-01,2017-04-17,2017-05-11,2017-04-13,2017-04-27,2017-05-22,-0.12616,-0.06473,0.03729,-0.16542,0.23952
oregonMP,EN,1000,rising,gcc_75,2018-04-06,2018-04-19,2018-05-11,2018-03-29,2018-04-15,2018-05-05,2018-04-12,2018-04-25,2018-05-17,-0.11518,-0.06523,0.02872,-0.15025,0.20342
oregonMP,EN,1000,rising,gcc_50,2012-03-31,2012-04-15,2012-05-12,2012-03-26,2012-04-11,2012-05-07,2012-04-05,2012-04-20,2012-05-16,-0.22177,-0.14877,-0.02166,-0.26766,0.21694
oregonMP,EN,1000,rising,gcc_50,2013-04-03,2013-04-17,2013-05-13,2013-03-29,2013-04-13,2013-05-07,2013-04-09,2013-04-23,2013-05-18,-0.13579,-0.07413,0.03548,-0.17436,0.24403
oregonMP,EN,1000,rising,gcc_50,2014-04-02,2014-04-19,2014-05-16,2014-03-26,2014-04-14,2014-05-15,2014-04-09,2014-04-25,2014-05-21,-0.16078,-0.09699,0.01138,-0.20046,0.22017
oregonMP,EN,1000,rising,gcc_50,2017-04-07,2017-04-22,2017-05-18,2017-04-01,2017-04-18,2017-05-12,2017-04-13,2017-04-28,2017-05-23,-0.16196,-0.10035,0.00727,-0.20129,0.21509
oregonMP,EN,1000,rising,gcc_50,2018-04-05,2018-04-19,2018-05-11,2018-03-29,2018-04-14,2018-05-05,2018-04-12,2018-04-24,2018-05-16,-0.15527,-0.10041,-0.00387,-0.18862,0.17323
oregonMP,EN,1000,rising,gcc_mean,2012-03-31,2012-04-14,2012-05-11,2012-03-25,2012-04-10,2012-05-05,2012-04-05,2012-04-19,2012-05-15,-0.21765,-0.15518,-0.04079,-0.2605,0.17386
oregonMP,EN,1000,rising,gcc_mean,2013-04-02,2013-04-17,2013-05-13,2013-03-28,2013-04-12,2013-05-06,2013-04-08,2013-04-22,2013-05-18,-0.14089,-0.08235,0.01324,-0.17535,0.19789
oregonMP,EN,1000,rising,gcc_mean,2014-04-03,2014-04-20,2014-05-18,2014-03-27,2014-04-15,2014-05-11,2014-04-11,2014-04-26,2014-05-22,-0.15682,-0.09942,0.00012,-0.19163,0.18411
oregonMP,EN,1000,rising,gcc_mean,2017-04-07,2017-04-21,2017-05-17,2017-03-31,2017-04-17,2017-05-10,2017-04-13,2017-04-27,2017-05-22,-0.15742,-0.10634,-0.0121,-0.19301,0.16636
oregonMP,EN,1000,falling,gcc_90,2018-12-18,2018-11-08,2018-09-25,2018-12-30,2018-11-21,2018-10-04,2018-12-03,2018-10-28,2018-09-19,-0.13025,-0.07129,0.02946,-0.16876,0.22575
oregonMP,EN,1000,falling,gcc_90,2017-12-06,2017-11-14,2017-10-16,2017-12-14,2017-11-23,2017-10-23,2017-11-27,2017-11-06,2017-10-10,-0.05827,-0.00407,0.08646,-0.09167,0.2603
oregonMP,EN,1000,falling,gcc_90,2016-12-06,2016-11-16,2016-10-12,2016-12-13,2016-11-23,2016-10-20,2016-11-27,2016-11-07,2016-10-05,-0.07606,-0.0207,0.0727,-0.10935,0.25098
oregonMP,EN,1000,falling,gcc_90,2015-12-15,2015-11-30,2015-10-28,2015-12-21,2015-12-06,2015-11-07,2015-12-08,2015-11-24,2015-10-19,-0.04984,0.00603,0.09776,-0.08404,0.27724
oregonMP,EN,1000,falling,gcc_90,2013-12-05,2013-11-17,2013-10-19,2013-12-11,2013-11-22,2013-10-24,2013-11-28,2013-11-09,2013-10-14,-0.07238,-0.01111,0.09524,-0.11115,0.30139
oregonMP,EN,1000,falling,gcc_90,2012-12-16,2012-11-30,2012-10-31,2013-01-05,2012-12-06,2012-11-08,2012-12-15,2012-11-22,2012-10-24,-0.04869,-3e-04,0.08948,-0.08282,0.26007
oregonMP,EN,1000,falling,gcc_90,2011-11-29,2011-11-11,2011-10-16,2012-01-14,2011-11-17,2011-10-20,2011-11-16,2011-11-04,2011-10-12,-0.14176,-0.07455,0.03975,-0.18395,0.2594
oregonMP,EN,1000,falling,gcc_75,2018-11-22,2018-10-21,2018-09-17,2018-12-12,2018-10-30,2018-09-24,2018-11-06,2018-10-13,2018-09-12,-0.13541,-0.07944,0.01761,-0.17269,0.20074
oregonMP,EN,1000,falling,gcc_75,2017-12-02,2017-11-10,2017-10-12,2017-12-11,2017-11-17,2017-10-19,2017-11-23,2017-11-02,2017-10-06,-0.0899,-0.03723,0.05809,-0.12604,0.23895
oregonMP,EN,1000,falling,gcc_75,2016-12-04,2016-11-13,2016-10-10,2016-12-11,2016-11-21,2016-10-18,2016-11-25,2016-11-04,2016-10-03,-0.10819,-0.05185,0.04389,-0.14266,0.22514
oregonMP,EN,1000,falling,gcc_75,2015-12-14,2015-11-29,2015-10-25,2015-12-20,2015-12-04,2015-11-03,2015-12-07,2015-11-22,2015-10-17,-0.08523,-0.02986,0.06693,-0.11981,0.25312
oregonMP,EN,1000,falling,gcc_75,2013-12-05,2013-11-16,2013-10-18,2013-12-11,2013-11-22,2013-10-24,2013-11-28,2013-11-09,2013-10-14,-0.10416,-0.03965,0.0683,-0.14285,0.2719
oregonMP,EN,1000,falling,gcc_75,2012-12-16,2012-11-29,2012-10-29,2013-01-05,2012-12-05,2012-11-06,2012-12-15,2012-11-21,2012-10-22,-0.07303,-0.02348,0.06695,-0.107,0.23728
oregonMP,EN,1000,falling,gcc_75,2011-11-30,2011-11-12,2011-10-16,2012-01-14,2011-11-17,2011-10-21,2011-11-16,2011-11-06,2011-10-13,-0.17309,-0.10411,0.0174,-0.21714,0.24144
oregonMP,EN,1000,falling,gcc_50,2017-12-03,2017-11-10,2017-10-13,2017-12-11,2017-11-17,2017-10-19,2017-11-23,2017-11-03,2017-10-07,-0.13114,-0.07297,0.02451,-0.16694,0.21449
oregonMP,EN,1000,falling,gcc_50,2016-12-06,2016-11-14,2016-10-09,2016-12-07,2016-11-15,2016-10-10,2016-11-27,2016-11-05,2016-10-02,-0.14755,-0.09084,0.00741,-0.18453,0.1963
oregonMP,EN,1000,falling,gcc_50,2013-12-04,2013-11-16,2013-10-18,2013-12-11,2013-11-22,2013-10-23,2013-11-27,2013-11-08,2013-10-13,-0.13369,-0.07358,0.03492,-0.17492,0.24331
oregonMP,EN,1000,falling,gcc_50,2012-12-12,2012-11-24,2012-10-25,2012-12-20,2012-12-01,2012-11-01,2012-12-04,2012-11-17,2012-10-18,-0.09323,-0.04172,0.0442,-0.12734,0.21549
oregonMP,EN,1000,falling,gcc_50,2011-11-30,2011-11-11,2011-10-16,2012-01-14,2011-11-17,2011-10-20,2011-11-16,2011-11-05,2011-10-13,-0.1926,-0.12215,-0.00291,-0.23678,0.22527
oregonMP,EN,1000,falling,gcc_mean,2016-12-10,2016-11-21,2016-10-17,2016-12-11,2016-11-22,2016-10-18,2016-12-02,2016-11-12,2016-10-10,-0.15019,-0.09778,-0.00705,-0.18464,0.16679
oregonMP,EN,1000,falling,gcc_mean,2013-12-09,2013-11-23,2013-10-25,2013-12-15,2013-11-28,2013-10-31,2013-12-02,2013-11-16,2013-10-20,-0.1459,-0.09004,0.00996,-0.18168,0.19758
oregonMP,EN,1000,falling,gcc_mean,2012-12-19,2012-12-02,2012-11-03,2013-01-05,2012-12-09,2012-11-12,2012-12-15,2012-11-25,2012-10-27,-0.10702,-0.06123,0.0194,-0.13719,0.17116
oregonMP,EN,1000,falling,gcc_mean,2011-12-01,2011-11-13,2011-10-18,2012-01-14,2011-11-19,2011-10-22,2011-11-16,2011-11-07,2011-10-14,-0.19366,-0.12629,-0.0162,-0.23493,0.20231
