#
# Transition date estimate for turkeypointenf02
#
# Site: turkeypointenf02
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:19:02
# Spline RMSE gcc_mean: 0.0294
# Spline RMSE gcc_50: 0.03024
# Spline RMSE gcc_75: 0.03027
# Spline RMSE gcc_90: 0.03006
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf02,EN,1000,rising,gcc_90,2013-04-01,2013-04-16,2013-05-12,2013-03-30,2013-04-14,2013-05-09,2013-04-05,2013-04-19,2013-05-14,-0.09522,-0.02681,0.09148,-0.1368,0.31174
turkeypointenf02,EN,1000,rising,gcc_90,2014-03-30,2014-04-14,2014-05-09,2014-03-27,2014-04-11,2014-05-05,2014-04-03,2014-04-17,2014-05-11,-0.07221,-0.0111,0.09081,-0.10904,0.28468
turkeypointenf02,EN,1000,rising,gcc_90,2015-04-01,2015-04-15,2015-05-09,2015-03-29,2015-04-13,2015-05-05,2015-04-05,2015-04-18,2015-05-12,-0.03703,0.02441,0.12818,-0.07559,0.32767
turkeypointenf02,EN,1000,rising,gcc_90,2016-03-30,2016-04-15,2016-05-11,2016-03-26,2016-04-12,2016-05-07,2016-04-04,2016-04-19,2016-05-15,-0.00473,0.04872,0.13526,-0.03617,0.30652
turkeypointenf02,EN,1000,rising,gcc_90,2017-03-20,2017-04-05,2017-04-26,2017-03-17,2017-04-02,2017-04-23,2017-03-25,2017-04-09,2017-04-29,-0.01846,0.03258,0.11869,-0.04928,0.2844
turkeypointenf02,EN,1000,rising,gcc_90,2018-04-05,2018-04-18,2018-05-11,2018-04-02,2018-04-16,2018-05-07,2018-04-09,2018-04-21,2018-05-14,-0.03616,0.01808,0.11331,-0.07196,0.29801
turkeypointenf02,EN,1000,rising,gcc_75,2013-04-01,2013-04-16,2013-05-12,2013-03-29,2013-04-14,2013-05-09,2013-04-05,2013-04-19,2013-05-14,-0.10396,-0.03769,0.07733,-0.14425,0.29339
turkeypointenf02,EN,1000,rising,gcc_75,2014-04-01,2014-04-15,2014-05-10,2014-03-28,2014-04-13,2014-05-07,2014-04-05,2014-04-18,2014-05-13,-0.07689,-0.02116,0.07673,-0.11432,0.26611
turkeypointenf02,EN,1000,rising,gcc_75,2015-04-01,2015-04-15,2015-05-09,2015-03-29,2015-04-12,2015-05-05,2015-04-05,2015-04-18,2015-05-11,-0.04778,0.0124,0.11362,-0.0842,0.30547
turkeypointenf02,EN,1000,rising,gcc_75,2016-04-01,2016-04-16,2016-05-13,2016-03-28,2016-04-13,2016-05-08,2016-04-06,2016-04-20,2016-05-16,-0.01272,0.03677,0.1225,-0.04373,0.28411
turkeypointenf02,EN,1000,rising,gcc_75,2017-03-21,2017-04-06,2017-04-27,2017-03-17,2017-04-03,2017-04-23,2017-03-26,2017-04-09,2017-04-30,-0.03021,0.01933,0.10239,-0.06119,0.26298
turkeypointenf02,EN,1000,rising,gcc_75,2018-04-05,2018-04-18,2018-05-12,2018-04-01,2018-04-16,2018-05-08,2018-04-09,2018-04-22,2018-05-15,-0.04546,0.00568,0.09936,-0.07975,0.27609
turkeypointenf02,EN,1000,rising,gcc_50,2013-04-01,2013-04-16,2013-05-12,2013-03-29,2013-04-14,2013-05-09,2013-04-05,2013-04-19,2013-05-14,-0.11668,-0.05265,0.05841,-0.15556,0.26704
turkeypointenf02,EN,1000,rising,gcc_50,2014-04-01,2014-04-16,2014-05-12,2014-03-29,2014-04-13,2014-05-08,2014-04-05,2014-04-19,2014-05-14,-0.09482,-0.03823,0.05968,-0.13016,0.24422
turkeypointenf02,EN,1000,rising,gcc_50,2015-04-01,2015-04-15,2015-05-09,2015-03-29,2015-04-12,2015-05-05,2015-04-05,2015-04-18,2015-05-12,-0.06197,-0.00452,0.09198,-0.09686,0.27519
turkeypointenf02,EN,1000,rising,gcc_50,2016-04-01,2016-04-16,2016-05-13,2016-03-28,2016-04-13,2016-05-08,2016-04-06,2016-04-20,2016-05-16,-0.02749,0.01924,0.0997,-0.05688,0.25161
