#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:19:37
# Spline RMSE gcc_mean: 0.03082
# Spline RMSE gcc_50: 0.03241
# Spline RMSE gcc_75: 0.03133
# Spline RMSE gcc_90: 0.03335
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,1000,rising,gcc_90,2012-05-14,2012-05-25,2012-06-09,2012-04-18,2012-05-19,2012-06-02,2012-05-22,2012-05-31,2012-06-13,0.45907,0.48493,0.52846,0.44397,0.60788
vancouverisland,EN,1000,rising,gcc_90,2013-04-28,2013-05-09,2013-05-21,2013-04-09,2013-05-05,2013-05-17,2013-05-06,2013-05-13,2013-05-26,0.4141,0.44487,0.49705,0.39526,0.59877
vancouverisland,EN,1000,rising,gcc_90,2014-04-19,2014-05-01,2014-05-18,2014-04-12,2014-04-27,2014-05-14,2014-04-25,2014-05-06,2014-05-21,0.36494,0.40225,0.46792,0.34258,0.58782
vancouverisland,EN,1000,rising,gcc_90,2015-04-28,2015-05-05,2015-05-16,2015-04-22,2015-05-01,2015-05-12,2015-05-02,2015-05-09,2015-05-20,0.43404,0.46412,0.51841,0.41407,0.61784
vancouverisland,EN,1000,rising,gcc_75,2012-05-06,2012-05-22,2012-06-07,2012-04-15,2012-05-16,2012-05-31,2012-05-19,2012-05-28,2012-06-11,0.43166,0.45463,0.50007,0.41514,0.58186
vancouverisland,EN,1000,rising,gcc_75,2013-04-28,2013-05-09,2013-05-22,2013-04-11,2013-05-05,2013-05-18,2013-05-05,2013-05-13,2013-05-26,0.38847,0.41996,0.47795,0.36884,0.58137
vancouverisland,EN,1000,rising,gcc_75,2014-04-19,2014-05-01,2014-05-18,2014-04-12,2014-04-27,2014-05-13,2014-04-25,2014-05-06,2014-05-20,0.34684,0.38334,0.447,0.32508,0.56012
vancouverisland,EN,1000,rising,gcc_75,2015-04-28,2015-05-05,2015-05-16,2015-04-22,2015-05-02,2015-05-12,2015-05-02,2015-05-08,2015-05-20,0.40848,0.43847,0.4926,0.38832,0.59267
vancouverisland,EN,1000,rising,gcc_50,2012-04-21,2012-05-21,2012-06-07,2012-04-12,2012-05-13,2012-05-31,2012-05-18,2012-05-28,2012-06-12,0.40453,0.42799,0.47057,0.38903,0.54982
vancouverisland,EN,1000,rising,gcc_50,2013-04-28,2013-05-09,2013-05-22,2013-04-08,2013-05-05,2013-05-18,2013-05-06,2013-05-13,2013-05-26,0.36682,0.39612,0.44964,0.34788,0.54842
vancouverisland,EN,1000,rising,gcc_50,2014-04-20,2014-05-02,2014-05-18,2014-04-11,2014-04-27,2014-05-14,2014-04-26,2014-05-07,2014-05-21,0.3256,0.35932,0.41608,0.30313,0.52843
vancouverisland,EN,1000,rising,gcc_50,2015-04-28,2015-05-05,2015-05-16,2015-04-22,2015-05-02,2015-05-12,2015-05-03,2015-05-09,2015-05-20,0.38456,0.41441,0.46847,0.36599,0.56836
vancouverisland,EN,1000,rising,gcc_mean,2012-04-21,2012-05-21,2012-06-06,2012-04-12,2012-05-14,2012-05-30,2012-05-18,2012-05-28,2012-06-11,0.40496,0.42717,0.4677,0.39064,0.54361
vancouverisland,EN,1000,rising,gcc_mean,2013-04-29,2013-05-09,2013-05-22,2013-04-07,2013-05-05,2013-05-17,2013-05-06,2013-05-13,2013-05-26,0.36702,0.39462,0.44872,0.34779,0.5427
vancouverisland,EN,1000,rising,gcc_mean,2014-04-19,2014-05-01,2014-05-18,2014-04-12,2014-04-27,2014-05-14,2014-04-26,2014-05-06,2014-05-21,0.3235,0.357,0.41655,0.30315,0.52524
vancouverisland,EN,1000,rising,gcc_mean,2015-04-28,2015-05-05,2015-05-16,2015-04-22,2015-05-02,2015-05-12,2015-05-03,2015-05-09,2015-05-20,0.38253,0.4121,0.46549,0.36429,0.56188
vancouverisland,EN,1000,falling,gcc_90,2014-12-09,2014-11-14,2014-10-22,2015-01-12,2014-11-29,2014-10-31,2014-11-21,2014-11-04,2014-10-08,0.43495,0.45818,0.49795,0.41959,0.57567
vancouverisland,EN,1000,falling,gcc_90,2013-12-20,2013-11-11,2013-10-10,2014-01-12,2013-11-26,2013-10-18,2013-11-28,2013-10-31,2013-10-04,0.38167,0.41551,0.47621,0.35859,0.59111
vancouverisland,EN,1000,falling,gcc_90,2013-01-05,2012-12-23,2012-09-15,2013-01-15,2012-12-29,2012-09-24,2012-12-28,2012-12-16,2012-09-07,0.40848,0.43848,0.49018,0.38849,0.59
vancouverisland,EN,1000,falling,gcc_75,2014-12-08,2014-11-14,2014-10-19,2015-01-09,2014-11-28,2014-10-29,2014-11-21,2014-11-03,2014-10-05,0.41213,0.43446,0.47389,0.39738,0.54864
vancouverisland,EN,1000,falling,gcc_75,2013-12-03,2013-11-06,2013-10-07,2013-12-27,2013-11-15,2013-10-16,2013-11-18,2013-10-28,2013-10-02,0.36791,0.40197,0.46276,0.34538,0.57532
vancouverisland,EN,1000,falling,gcc_75,2013-01-04,2012-12-22,2012-09-16,2013-01-13,2012-12-28,2012-09-23,2012-12-28,2012-12-16,2012-09-10,0.3828,0.4143,0.46795,0.36282,0.56887
vancouverisland,EN,1000,falling,gcc_50,2014-12-12,2014-11-13,2014-10-18,2015-01-03,2014-12-01,2014-10-28,2014-11-22,2014-11-02,2014-10-08,0.3788,0.40187,0.44246,0.36333,0.52104
vancouverisland,EN,1000,falling,gcc_50,2013-12-10,2013-11-10,2013-10-11,2013-12-25,2013-11-21,2013-10-19,2013-11-25,2013-11-01,2013-10-05,0.33254,0.3683,0.42826,0.30972,0.54428
vancouverisland,EN,1000,falling,gcc_50,2013-01-05,2012-12-22,2012-09-17,2013-01-16,2012-12-28,2012-09-24,2012-12-28,2012-12-14,2012-09-11,0.35911,0.38892,0.44074,0.33969,0.53943
vancouverisland,EN,1000,falling,gcc_mean,2014-12-14,2014-11-11,2014-10-16,2015-01-07,2014-12-01,2014-10-27,2014-11-21,2014-11-01,2014-10-07,0.37596,0.39899,0.44012,0.3603,0.51729
vancouverisland,EN,1000,falling,gcc_mean,2013-12-09,2013-11-11,2013-10-12,2013-12-26,2013-11-21,2013-10-20,2013-11-24,2013-11-01,2013-10-05,0.33452,0.36709,0.42405,0.31248,0.53534
vancouverisland,EN,1000,falling,gcc_mean,2013-01-04,2012-12-23,2012-09-17,2013-01-14,2012-12-28,2012-09-24,2012-12-28,2012-12-16,2012-09-11,0.35689,0.38474,0.43579,0.33796,0.53058
