#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:10:12
# Spline RMSE gcc_mean: 0.00491
# Spline RMSE gcc_50: 0.00495
# Spline RMSE gcc_75: 0.00542
# Spline RMSE gcc_90: 0.00563
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-03-19,2012-04-09,2012-05-04,2012-03-13,2012-04-04,2012-04-29,2012-03-26,2012-04-14,2012-05-08,0.33927,0.34649,0.35882,0.33465,0.38231
canadaOBS,EN,1000,rising,gcc_90,2013-03-28,2013-04-16,2013-05-09,2013-03-21,2013-04-12,2013-05-05,2013-04-04,2013-04-20,2013-05-13,0.33396,0.34206,0.35589,0.32874,0.38277
canadaOBS,EN,1000,rising,gcc_90,2014-04-01,2014-04-19,2014-05-14,2014-03-26,2014-04-16,2014-05-10,2014-04-07,2014-04-23,2014-05-18,0.33437,0.34305,0.35812,0.32855,0.38725
canadaOBS,EN,1000,rising,gcc_90,2015-03-20,2015-04-10,2015-05-06,2015-03-14,2015-04-06,2015-05-02,2015-03-27,2015-04-15,2015-05-10,0.33537,0.34275,0.35617,0.3304,0.38143
canadaOBS,EN,1000,rising,gcc_90,2016-03-24,2016-04-12,2016-05-05,2016-03-18,2016-04-09,2016-05-02,2016-03-30,2016-04-16,2016-05-09,0.33515,0.34362,0.3586,0.32933,0.38786
canadaOBS,EN,1000,rising,gcc_90,2017-03-24,2017-04-13,2017-05-06,2017-03-09,2017-04-09,2017-05-02,2017-03-27,2017-04-17,2017-05-09,0.33578,0.34456,0.35984,0.33019,0.38885
canadaOBS,EN,1000,rising,gcc_90,2018-03-26,2018-04-13,2018-05-06,2018-03-20,2018-04-10,2018-05-02,2018-04-01,2018-04-17,2018-05-08,0.33724,0.34574,0.36173,0.33137,0.39074
canadaOBS,EN,1000,rising,gcc_75,2012-03-17,2012-04-06,2012-05-01,2012-03-11,2012-04-01,2012-04-27,2012-03-24,2012-04-12,2012-05-05,0.33726,0.34363,0.35519,0.33285,0.37747
canadaOBS,EN,1000,rising,gcc_75,2013-03-28,2013-04-16,2013-05-09,2013-03-21,2013-04-12,2013-05-04,2013-04-05,2013-04-20,2013-05-13,0.3321,0.33987,0.35325,0.32718,0.37858
canadaOBS,EN,1000,rising,gcc_75,2014-03-31,2014-04-18,2014-05-13,2014-03-24,2014-04-15,2014-05-09,2014-04-06,2014-04-22,2014-05-17,0.33195,0.33999,0.35439,0.32656,0.38168
canadaOBS,EN,1000,rising,gcc_75,2015-03-20,2015-04-10,2015-05-06,2015-03-14,2015-04-06,2015-05-01,2015-03-27,2015-04-15,2015-05-10,0.33364,0.34062,0.35313,0.32895,0.37669
canadaOBS,EN,1000,rising,gcc_75,2016-03-23,2016-04-12,2016-05-05,2016-03-18,2016-04-08,2016-05-01,2016-03-30,2016-04-16,2016-05-08,0.33307,0.34159,0.35612,0.32781,0.38346
canadaOBS,EN,1000,rising,gcc_75,2017-03-24,2017-04-12,2017-05-05,2017-03-09,2017-04-08,2017-05-01,2017-03-27,2017-04-17,2017-05-08,0.33407,0.3418,0.35619,0.32877,0.38261
canadaOBS,EN,1000,rising,gcc_75,2018-03-25,2018-04-13,2018-05-05,2018-03-20,2018-04-10,2018-05-02,2018-03-31,2018-04-17,2018-05-08,0.33512,0.34343,0.35779,0.32974,0.38575
canadaOBS,EN,1000,rising,gcc_50,2012-03-16,2012-04-06,2012-04-30,2012-03-10,2012-03-31,2012-04-26,2012-03-23,2012-04-11,2012-05-04,0.33486,0.34104,0.35131,0.3309,0.37157
canadaOBS,EN,1000,rising,gcc_50,2013-03-30,2013-04-16,2013-05-09,2013-03-23,2013-04-13,2013-05-04,2013-04-06,2013-04-21,2013-05-12,0.32953,0.33637,0.34925,0.32487,0.3728
canadaOBS,EN,1000,rising,gcc_50,2014-04-02,2014-04-19,2014-05-13,2014-03-27,2014-04-16,2014-05-09,2014-04-07,2014-04-23,2014-05-17,0.32949,0.33704,0.35025,0.32434,0.376
canadaOBS,EN,1000,rising,gcc_50,2015-03-19,2015-04-09,2015-05-06,2015-03-14,2015-04-04,2015-05-01,2015-03-26,2015-04-14,2015-05-09,0.3311,0.33758,0.34921,0.32692,0.37068
canadaOBS,EN,1000,rising,gcc_50,2016-03-24,2016-04-12,2016-05-04,2016-03-18,2016-04-08,2016-04-30,2016-03-30,2016-04-16,2016-05-07,0.33087,0.33849,0.35161,0.3259,0.37686
canadaOBS,EN,1000,rising,gcc_50,2017-03-23,2017-04-12,2017-05-05,2017-03-09,2017-04-08,2017-05-01,2017-03-27,2017-04-16,2017-05-08,0.33149,0.33885,0.35199,0.3267,0.37629
canadaOBS,EN,1000,rising,gcc_50,2018-03-25,2018-04-13,2018-05-06,2018-03-20,2018-04-10,2018-05-02,2018-03-31,2018-04-17,2018-05-09,0.33247,0.34017,0.35406,0.32749,0.37973
canadaOBS,EN,1000,rising,gcc_mean,2012-03-16,2012-04-06,2012-05-01,2012-03-10,2012-03-31,2012-04-26,2012-03-23,2012-04-11,2012-05-05,0.33417,0.34028,0.35072,0.3302,0.37061
canadaOBS,EN,1000,rising,gcc_mean,2013-04-01,2013-04-18,2013-05-10,2013-03-25,2013-04-14,2013-05-06,2013-04-07,2013-04-22,2013-05-14,0.32904,0.33608,0.34799,0.3245,0.3713
canadaOBS,EN,1000,rising,gcc_mean,2014-04-02,2014-04-20,2014-05-14,2014-03-27,2014-04-16,2014-05-10,2014-04-08,2014-04-23,2014-05-18,0.32878,0.33661,0.34945,0.32383,0.37502
canadaOBS,EN,1000,rising,gcc_mean,2015-03-20,2015-04-10,2015-05-07,2015-03-14,2015-04-06,2015-05-02,2015-03-27,2015-04-16,2015-05-11,0.33049,0.33674,0.34801,0.32631,0.36928
canadaOBS,EN,1000,rising,gcc_mean,2016-03-26,2016-04-13,2016-05-06,2016-03-20,2016-04-10,2016-05-02,2016-04-01,2016-04-17,2016-05-09,0.33072,0.33791,0.35109,0.32575,0.37552
canadaOBS,EN,1000,rising,gcc_mean,2017-03-24,2017-04-13,2017-05-06,2017-03-09,2017-04-09,2017-05-02,2017-03-27,2017-04-17,2017-05-09,0.33094,0.3384,0.3514,0.32625,0.37589
canadaOBS,EN,1000,rising,gcc_mean,2018-03-27,2018-04-14,2018-05-06,2018-03-22,2018-04-11,2018-05-03,2018-04-02,2018-04-18,2018-05-09,0.33214,0.33955,0.35261,0.32729,0.37772
canadaOBS,EN,1000,falling,gcc_90,2018-10-26,2018-10-13,2018-09-18,2018-10-30,2018-10-16,2018-09-22,2018-10-22,2018-10-09,2018-09-16,0.34013,0.34841,0.36328,0.33468,0.39062
canadaOBS,EN,1000,falling,gcc_90,2017-11-11,2017-10-26,2017-09-28,2017-11-16,2017-10-29,2017-10-03,2017-11-06,2017-10-22,2017-09-24,0.33574,0.3443,0.35955,0.32997,0.38885
canadaOBS,EN,1000,falling,gcc_90,2016-11-10,2016-10-27,2016-10-04,2016-11-15,2016-11-09,2016-10-09,2016-10-13,2016-10-13,2016-09-29,0.33445,0.34321,0.35836,0.32863,0.38779
canadaOBS,EN,1000,falling,gcc_90,2015-11-14,2015-10-30,2015-10-07,2015-11-19,2015-11-03,2015-10-12,2015-11-09,2015-10-27,2015-10-04,0.33335,0.34144,0.35529,0.32812,0.38145
canadaOBS,EN,1000,falling,gcc_90,2014-11-08,2014-10-24,2014-09-28,2014-11-12,2014-10-27,2014-10-02,2014-11-04,2014-10-20,2014-09-24,0.33356,0.34245,0.35771,0.3279,0.38725
canadaOBS,EN,1000,falling,gcc_90,2013-11-10,2013-10-26,2013-09-29,2013-11-14,2013-10-29,2013-10-05,2013-11-05,2013-10-22,2013-09-26,0.33316,0.34121,0.35578,0.328,0.38269
canadaOBS,EN,1000,falling,gcc_90,2012-11-07,2012-10-24,2012-09-28,2012-11-11,2012-10-27,2012-10-03,2012-11-03,2012-10-20,2012-09-25,0.33184,0.33996,0.35482,0.32644,0.38237
canadaOBS,EN,1000,falling,gcc_90,2011-11-06,2011-10-21,2011-09-22,2011-11-10,2011-10-25,2011-09-28,2011-11-01,2011-10-16,2011-09-18,0.34086,0.34832,0.36122,0.33632,0.38525
canadaOBS,EN,1000,falling,gcc_75,2018-10-26,2018-10-13,2018-09-18,2018-10-30,2018-10-16,2018-09-22,2018-10-22,2018-10-09,2018-09-15,0.33829,0.346,0.35989,0.33323,0.38562
canadaOBS,EN,1000,falling,gcc_75,2017-11-10,2017-10-25,2017-09-26,2017-11-15,2017-10-28,2017-10-01,2017-11-05,2017-10-20,2017-09-22,0.33393,0.34175,0.35602,0.32882,0.38263
canadaOBS,EN,1000,falling,gcc_75,2016-11-10,2016-10-27,2016-10-02,2016-11-15,2016-11-09,2016-10-07,2016-10-13,2016-10-13,2016-09-28,0.33247,0.34057,0.35561,0.32707,0.38337
canadaOBS,EN,1000,falling,gcc_75,2015-11-14,2015-10-30,2015-10-07,2015-11-19,2015-11-03,2015-10-12,2015-11-09,2015-10-26,2015-10-03,0.3315,0.33911,0.35214,0.32661,0.3768
