#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2014
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:10:57
# Spline RMSE gcc_mean: 0.00556
# Spline RMSE gcc_50: 0.00568
# Spline RMSE gcc_75: 0.00624
# Spline RMSE gcc_90: 0.00716
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,1000,rising,gcc_90,2012-03-19,2012-03-27,2012-04-10,2012-03-13,2012-03-23,2012-04-05,2012-03-24,2012-04-01,2012-04-13,0.36898,0.3749,0.38551,0.36554,0.40434
oregonYP,EN,1000,rising,gcc_90,2013-02-27,2013-03-13,2013-04-07,2013-02-20,2013-03-05,2013-03-29,2013-03-07,2013-03-20,2013-04-16,0.37561,0.38184,0.39213,0.37176,0.41241
oregonYP,EN,1000,rising,gcc_90,2014-03-15,2014-03-27,2014-04-16,2014-03-10,2014-03-21,2014-04-09,2014-03-22,2014-04-02,2014-04-21,0.37309,0.3799,0.39106,0.36937,0.41217
oregonYP,EN,1000,rising,gcc_75,2012-03-19,2012-03-27,2012-04-10,2012-03-14,2012-03-24,2012-04-06,2012-03-24,2012-04-01,2012-04-13,0.36704,0.37276,0.38297,0.36371,0.40186
oregonYP,EN,1000,rising,gcc_75,2013-03-01,2013-03-15,2013-04-09,2013-02-22,2013-03-08,2013-04-01,2013-03-08,2013-03-22,2013-04-17,0.37313,0.37884,0.38876,0.36935,0.40812
oregonYP,EN,1000,rising,gcc_75,2014-03-17,2014-03-28,2014-04-17,2014-03-12,2014-03-22,2014-04-11,2014-03-23,2014-04-03,2014-04-23,0.3718,0.37742,0.38725,0.36794,0.40656
oregonYP,EN,1000,rising,gcc_50,2012-03-19,2012-03-27,2012-04-10,2012-03-14,2012-03-24,2012-04-06,2012-03-24,2012-03-31,2012-04-13,0.36484,0.37044,0.37998,0.36153,0.39794
oregonYP,EN,1000,rising,gcc_50,2013-02-28,2013-03-15,2013-04-10,2013-02-22,2013-03-09,2013-04-02,2013-03-08,2013-03-22,2013-04-16,0.36964,0.37541,0.38583,0.36615,0.40478
oregonYP,EN,1000,rising,gcc_50,2014-03-17,2014-03-28,2014-04-17,2014-03-12,2014-03-23,2014-04-11,2014-03-23,2014-04-03,2014-04-22,0.36884,0.37412,0.38375,0.36532,0.40183
oregonYP,EN,1000,rising,gcc_mean,2012-03-19,2012-03-27,2012-04-10,2012-03-14,2012-03-23,2012-04-05,2012-03-24,2012-03-31,2012-04-13,0.36491,0.3705,0.38004,0.36161,0.39779
oregonYP,EN,1000,rising,gcc_mean,2013-02-28,2013-03-15,2013-04-09,2013-02-21,2013-03-08,2013-04-01,2013-03-08,2013-03-23,2013-04-15,0.36985,0.37555,0.38558,0.36637,0.40433
