#
# Transition date estimate for turkeypointenf74
#
# Site: turkeypointenf74
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:11:34
# Spline RMSE gcc_mean: 0.00744
# Spline RMSE gcc_50: 0.00764
# Spline RMSE gcc_75: 0.0074
# Spline RMSE gcc_90: 0.00767
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf74,EN,1000,rising,gcc_90,2013-04-01,2013-04-14,2013-05-06,2013-03-26,2013-04-11,2013-05-01,2013-04-06,2013-04-18,2013-05-11,0.35047,0.3587,0.37336,0.3448,0.40188
turkeypointenf74,EN,1000,rising,gcc_90,2014-03-28,2014-04-14,2014-05-04,2014-03-27,2014-04-13,2014-04-14,2014-04-04,2014-05-13,2014-05-14,0.34977,0.35806,0.37211,0.34455,0.39959
turkeypointenf74,EN,1000,rising,gcc_75,2013-03-31,2013-04-13,2013-05-06,2013-03-26,2013-04-10,2013-05-01,2013-04-05,2013-04-18,2013-05-10,0.34727,0.3553,0.37052,0.34187,0.39826
turkeypointenf74,EN,1000,rising,gcc_75,2014-03-30,2014-04-15,2014-05-04,2014-03-25,2014-04-14,2014-04-14,2014-04-06,2014-05-14,2014-05-14,0.34789,0.35567,0.36892,0.34331,0.39342
turkeypointenf74,EN,1000,rising,gcc_75,2015-03-22,2015-04-03,2015-04-24,2015-03-21,2015-04-02,2015-04-23,2015-03-27,2015-04-07,2015-04-29,0.34464,0.35313,0.36865,0.33931,0.39754
turkeypointenf74,EN,1000,rising,gcc_50,2013-03-29,2013-04-12,2013-05-04,2013-03-23,2013-04-08,2013-04-29,2013-04-04,2013-04-17,2013-05-09,0.34261,0.35071,0.36498,0.33752,0.39158
turkeypointenf74,EN,1000,rising,gcc_50,2014-03-29,2014-04-13,2014-05-02,2014-03-24,2014-04-06,2014-04-14,2014-04-04,2014-05-13,2014-05-14,0.3433,0.35072,0.36329,0.33851,0.38771
turkeypointenf74,EN,1000,rising,gcc_50,2015-03-24,2015-04-03,2015-04-21,2015-03-19,2015-03-31,2015-04-17,2015-03-28,2015-04-07,2015-04-26,0.34161,0.34893,0.36267,0.33648,0.38861
turkeypointenf74,EN,1000,rising,gcc_50,2016-03-26,2016-04-09,2016-04-28,2016-03-19,2016-04-03,2016-04-23,2016-04-02,2016-04-14,2016-05-04,0.35068,0.35657,0.36675,0.34669,0.38681
turkeypointenf74,EN,1000,rising,gcc_50,2017-03-20,2017-04-04,2017-04-28,2017-03-15,2017-03-30,2017-04-23,2017-03-27,2017-04-10,2017-05-04,0.34785,0.3556,0.36794,0.34343,0.39241
