#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:11:40
# Spline RMSE gcc_mean: 0.0034
# Spline RMSE gcc_50: 0.00332
# Spline RMSE gcc_75: 0.00235
# Spline RMSE gcc_90: 0.00227
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,1000,rising,gcc_90,2012-04-14,2012-05-01,2012-05-21,2012-04-06,2012-04-27,2012-05-17,2012-04-22,2012-05-06,2012-05-23,0.37078,0.37429,0.38072,0.36847,0.39231
vancouverisland,EN,1000,rising,gcc_90,2013-04-19,2013-05-04,2013-05-16,2013-04-07,2013-04-29,2013-05-12,2013-04-28,2013-05-08,2013-05-19,0.3749,0.37743,0.38191,0.37328,0.39005
vancouverisland,EN,1000,rising,gcc_90,2014-04-12,2014-04-24,2014-05-10,2014-04-02,2014-04-20,2014-05-05,2014-04-19,2014-04-29,2014-05-14,0.36991,0.37235,0.37697,0.36825,0.38545
vancouverisland,EN,1000,rising,gcc_90,2015-04-23,2015-05-01,2015-05-11,2015-04-17,2015-04-28,2015-05-08,2015-04-29,2015-05-05,2015-05-14,0.37239,0.37448,0.37849,0.37097,0.38576
vancouverisland,EN,1000,rising,gcc_75,2012-04-12,2012-04-30,2012-05-20,2012-04-04,2012-04-26,2012-05-17,2012-04-19,2012-05-05,2012-05-23,0.36961,0.37307,0.37904,0.3673,0.39075
vancouverisland,EN,1000,rising,gcc_75,2013-04-17,2013-05-04,2013-05-16,2013-04-06,2013-04-29,2013-05-13,2013-04-27,2013-05-08,2013-05-19,0.37381,0.37634,0.38064,0.37223,0.38884
vancouverisland,EN,1000,rising,gcc_75,2014-04-11,2014-04-24,2014-05-10,2014-04-02,2014-04-20,2014-05-05,2014-04-18,2014-04-28,2014-05-14,0.36856,0.37116,0.37574,0.36689,0.38417
vancouverisland,EN,1000,rising,gcc_75,2015-04-23,2015-05-01,2015-05-12,2015-04-18,2015-04-28,2015-05-08,2015-04-29,2015-05-05,2015-05-14,0.3707,0.37286,0.37737,0.36932,0.38488
vancouverisland,EN,1000,rising,gcc_50,2012-04-11,2012-04-29,2012-05-20,2012-03-31,2012-04-23,2012-05-15,2012-04-20,2012-05-05,2012-05-23,0.36801,0.37141,0.37756,0.36574,0.38906
vancouverisland,EN,1000,rising,gcc_50,2013-04-19,2013-05-04,2013-05-16,2013-04-02,2013-04-28,2013-05-12,2013-04-30,2013-05-09,2013-05-20,0.37229,0.37458,0.37901,0.37062,0.38732
vancouverisland,EN,1000,rising,gcc_50,2014-04-14,2014-04-25,2014-05-11,2014-04-03,2014-04-20,2014-05-06,2014-04-21,2014-04-30,2014-05-16,0.3668,0.36923,0.37375,0.36508,0.38232
vancouverisland,EN,1000,rising,gcc_50,2015-04-20,2015-04-30,2015-05-11,2015-04-13,2015-04-26,2015-05-07,2015-04-27,2015-05-04,2015-05-14,0.36762,0.37017,0.37494,0.36602,0.38324
vancouverisland,EN,1000,rising,gcc_mean,2012-04-09,2012-04-28,2012-05-20,2012-03-27,2012-04-21,2012-05-14,2012-04-20,2012-05-06,2012-05-24,0.36719,0.37063,0.37689,0.36495,0.38844
vancouverisland,EN,1000,rising,gcc_mean,2013-04-08,2013-05-01,2013-05-15,2013-03-10,2013-04-21,2013-05-10,2013-04-26,2013-05-08,2013-05-19,0.37098,0.37351,0.37815,0.36934,0.38654
vancouverisland,EN,1000,rising,gcc_mean,2014-04-08,2014-04-22,2014-05-09,2014-03-28,2014-04-14,2014-05-03,2014-04-18,2014-04-29,2014-05-15,0.36545,0.36817,0.37265,0.36374,0.38151
vancouverisland,EN,1000,rising,gcc_mean,2015-04-18,2015-04-29,2015-05-10,2015-04-07,2015-04-23,2015-05-06,2015-04-27,2015-05-04,2015-05-14,0.36649,0.36901,0.37351,0.3649,0.38211
vancouverisland,EN,1000,falling,gcc_90,2014-11-24,2014-11-05,2014-09-03,2014-12-06,2014-11-15,2014-10-09,2014-11-12,2014-10-27,2014-08-14,0.37176,0.37382,0.37745,0.37037,0.38448
vancouverisland,EN,1000,falling,gcc_90,2013-11-22,2013-10-29,2013-09-24,2013-12-03,2013-11-06,2013-10-01,2013-11-12,2013-10-19,2013-09-17,0.3713,0.37422,0.37931,0.36941,0.38911
vancouverisland,EN,1000,falling,gcc_90,2012-09-21,2012-08-31,2012-08-07,2012-11-20,2012-09-09,2012-08-14,2012-09-07,2012-08-22,2012-08-02,0.37934,0.38137,0.38514,0.37802,0.39187
vancouverisland,EN,1000,falling,gcc_75,2014-11-26,2014-11-05,2014-09-17,2014-12-08,2014-11-14,2014-10-06,2014-11-15,2014-10-27,2014-08-30,0.3701,0.3723,0.37622,0.36864,0.38372
vancouverisland,EN,1000,falling,gcc_75,2013-11-24,2013-11-03,2013-09-27,2013-12-05,2013-11-10,2013-10-05,2013-11-16,2013-10-26,2013-09-21,0.36957,0.37257,0.37783,0.36754,0.38787
vancouverisland,EN,1000,falling,gcc_75,2012-10-09,2012-09-11,2012-08-14,2012-11-22,2012-09-21,2012-08-22,2012-09-22,2012-09-02,2012-08-08,0.37719,0.37938,0.38315,0.37574,0.3903
