#
# Transition date estimate for austincary
#
# Site: austincary
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2019
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:11:50
# Spline RMSE gcc_mean: 0.00796
# Spline RMSE gcc_50: 0.00855
# Spline RMSE gcc_75: 0.00842
# Spline RMSE gcc_90: 0.01137
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
austincary,EN,1000,rising,gcc_90,2016-05-01,2016-05-10,2016-06-05,2016-03-24,2016-05-01,2016-05-17,2016-05-11,2016-05-23,2016-06-30,0.02619,0.03142,0.04134,0.02273,0.05941
austincary,EN,1000,rising,gcc_90,2017-05-10,2017-05-24,2017-06-24,2017-03-04,2017-05-16,2017-06-09,2017-05-20,2017-06-04,2017-07-10,0.03601,0.04552,0.06181,0.02973,0.09342
austincary,EN,1000,rising,gcc_90,2018-04-07,2018-04-30,2018-05-14,2018-02-14,2018-04-02,2018-05-04,2018-05-05,2018-05-12,2018-05-27,0.04146,0.04566,0.05273,0.03884,0.0664
austincary,EN,1000,rising,gcc_75,2016-05-10,2016-05-23,2016-06-20,2016-04-26,2016-05-12,2016-06-02,2016-05-22,2016-06-05,2016-07-04,0.01519,0.01999,0.02804,0.01206,0.04388
austincary,EN,1000,rising,gcc_75,2017-04-30,2017-05-18,2017-06-07,2017-02-27,2017-05-11,2017-05-29,2017-05-15,2017-05-26,2017-06-15,0.02216,0.02885,0.04163,0.01747,0.06482
austincary,EN,1000,rising,gcc_75,2018-04-04,2018-04-22,2018-05-13,2018-02-15,2018-04-07,2018-05-05,2018-04-20,2018-05-06,2018-05-23,0.02884,0.0337,0.04204,0.02594,0.05783
austincary,EN,1000,rising,gcc_50,2016-05-20,2016-06-05,2016-07-04,2016-05-06,2016-05-21,2016-06-18,2016-06-06,2016-06-25,2016-07-14,0.00469,0.00922,0.01691,0.00193,0.03119
austincary,EN,1000,rising,gcc_50,2017-04-29,2017-05-16,2017-06-03,2017-02-25,2017-05-08,2017-05-25,2017-05-12,2017-05-22,2017-06-11,0.00839,0.01582,0.02818,0.0037,0.05235
austincary,EN,1000,rising,gcc_50,2018-04-16,2018-05-01,2018-05-13,2018-02-15,2018-04-19,2018-05-08,2018-05-01,2018-05-09,2018-05-20,0.0158,0.02037,0.02857,0.0129,0.04416
austincary,EN,1000,rising,gcc_mean,2016-05-13,2016-05-29,2016-07-01,2016-05-01,2016-05-15,2016-06-13,2016-05-28,2016-06-16,2016-07-09,0.00548,0.00989,0.01797,0.00252,0.03265
austincary,EN,1000,rising,gcc_mean,2017-04-25,2017-05-15,2017-06-01,2017-02-26,2017-05-07,2017-05-24,2017-05-10,2017-05-21,2017-06-09,0.00881,0.01585,0.02795,0.00414,0.05136
austincary,EN,1000,rising,gcc_mean,2018-04-11,2018-04-27,2018-05-12,2018-02-26,2018-04-13,2018-05-05,2018-04-26,2018-05-07,2018-05-18,0.01705,0.02136,0.02916,0.01416,0.04341
austincary,EN,1000,falling,gcc_90,2018-12-22,2018-11-27,2018-10-24,2019-03-22,2019-03-15,2018-11-20,2018-11-13,2018-10-28,2018-10-08,0.04385,0.04772,0.0543,0.04141,0.0667
austincary,EN,1000,falling,gcc_90,2017-11-21,2017-11-07,2017-10-18,2017-11-22,2017-11-22,2017-11-22,2017-07-22,2017-07-22,2017-07-22,0.04015,0.0486,0.06423,0.03427,0.09365
austincary,EN,1000,falling,gcc_90,2016-10-27,2016-10-20,2016-10-11,2016-11-02,2016-10-27,2016-10-17,2016-10-20,2016-10-15,2016-10-06,0.02669,0.03275,0.04313,0.02371,0.06032
austincary,EN,1000,falling,gcc_75,2017-11-15,2017-11-08,2017-10-28,2017-11-22,2017-11-22,2017-11-22,2017-07-22,2017-07-22,2017-07-22,0.01928,0.0262,0.04085,0.01473,0.06498
austincary,EN,1000,falling,gcc_75,2016-10-25,2016-10-20,2016-10-11,2016-10-30,2016-10-24,2016-10-16,2016-10-20,2016-10-15,2016-10-07,0.01515,0.01934,0.02887,0.01211,0.04406
austincary,EN,1000,falling,gcc_50,2017-11-13,2017-11-03,2017-10-24,2017-11-22,2017-11-22,2017-11-22,2017-07-22,2017-07-22,2017-07-22,0.00608,0.01418,0.02819,0.00149,0.05394
austincary,EN,1000,falling,gcc_50,2016-10-25,2016-10-19,2016-10-10,2016-10-31,2016-10-24,2016-10-15,2016-10-19,2016-10-14,2016-10-06,0.00237,0.00724,0.01638,-4e-04,0.0313
austincary,EN,1000,falling,gcc_mean,2017-11-18,2017-11-10,2017-10-30,2017-11-22,2017-11-22,2017-11-22,2017-07-22,2017-07-22,2017-07-22,0.0076,0.01505,0.02882,0.00342,0.05183
austincary,EN,1000,falling,gcc_mean,2016-10-25,2016-10-19,2016-10-10,2016-10-30,2016-10-23,2016-10-15,2016-10-19,2016-10-15,2016-10-06,0.00297,0.00794,0.01717,1e-04,0.03282
