#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:12:00
# Spline RMSE gcc_mean: 0.01573
# Spline RMSE gcc_50: 0.01604
# Spline RMSE gcc_75: 0.01459
# Spline RMSE gcc_90: 0.01537
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-05-11,2012-05-25,2012-06-09,2012-04-29,2012-05-16,2012-06-03,2012-05-23,2012-06-01,2012-06-13,-0.08601,-0.07958,-0.06705,-0.09052,-0.04515
canadaOBS,EN,1000,rising,gcc_90,2013-05-02,2013-05-14,2013-06-03,2013-04-25,2013-05-06,2013-05-20,2013-05-11,2013-06-10,2013-06-10,-0.09839,-0.09031,-0.07698,-0.10314,-0.05135
canadaOBS,EN,1000,rising,gcc_90,2014-05-07,2014-05-22,2014-06-08,2014-04-28,2014-05-13,2014-06-02,2014-05-17,2014-05-30,2014-06-13,-0.10478,-0.09687,-0.08271,-0.10983,-0.05624
canadaOBS,EN,1000,rising,gcc_90,2015-04-18,2015-05-11,2015-06-05,2015-03-27,2015-05-01,2015-05-30,2015-04-30,2015-05-21,2015-06-09,-0.1138,-0.10411,-0.08667,-0.12042,-0.0541
canadaOBS,EN,1000,rising,gcc_90,2016-04-02,2016-04-20,2016-05-15,2016-03-08,2016-04-14,2016-05-08,2016-04-12,2016-04-27,2016-05-22,-0.12288,-0.11112,-0.08995,-0.13062,-0.04971
canadaOBS,EN,1000,rising,gcc_90,2017-05-05,2017-05-19,2017-06-06,2017-04-28,2017-05-12,2017-06-01,2017-05-14,2017-05-27,2017-06-10,-0.10696,-0.09828,-0.08233,-0.11234,-0.05403
canadaOBS,EN,1000,rising,gcc_90,2018-04-17,2018-04-29,2018-05-22,2018-03-15,2018-03-15,2018-05-12,2018-04-26,2018-05-06,2018-05-29,-0.11335,-0.10354,-0.08664,-0.11963,-0.05434
canadaOBS,EN,1000,rising,gcc_75,2012-05-05,2012-05-21,2012-06-06,2012-04-25,2012-05-10,2012-05-31,2012-05-16,2012-05-29,2012-06-11,-0.09825,-0.09135,-0.07987,-0.10256,-0.05738
canadaOBS,EN,1000,rising,gcc_75,2013-05-02,2013-05-14,2013-06-04,2013-04-24,2013-05-06,2013-05-20,2013-05-10,2013-06-10,2013-06-10,-0.10811,-0.10053,-0.08706,-0.11305,-0.06278
canadaOBS,EN,1000,rising,gcc_75,2014-05-12,2014-05-26,2014-06-10,2014-05-03,2014-05-18,2014-06-04,2014-05-22,2014-06-02,2014-06-15,-0.11203,-0.10438,-0.09113,-0.11679,-0.06614
canadaOBS,EN,1000,rising,gcc_75,2015-04-17,2015-05-16,2015-06-08,2014-12-13,2015-05-03,2015-06-01,2015-05-05,2015-05-26,2015-06-12,-0.12134,-0.11308,-0.0984,-0.12684,-0.07158
canadaOBS,EN,1000,rising,gcc_75,2016-04-06,2016-04-23,2016-05-18,2016-03-17,2016-04-17,2016-05-10,2016-04-15,2016-04-29,2016-05-25,-0.12884,-0.11754,-0.09814,-0.13639,-0.06054
canadaOBS,EN,1000,rising,gcc_75,2017-05-05,2017-05-19,2017-06-05,2017-04-28,2017-05-11,2017-05-31,2017-05-13,2017-05-26,2017-06-09,-0.11719,-0.10847,-0.09415,-0.12242,-0.06647
