#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:12:19
# Spline RMSE gcc_mean: 0.01021
# Spline RMSE gcc_50: 0.01009
# Spline RMSE gcc_75: 0.01127
# Spline RMSE gcc_90: 0.01372
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,3000,rising,gcc_90,2011-04-13,2011-04-28,2011-05-18,2011-04-03,2011-04-21,2011-05-12,2011-04-23,2011-05-05,2011-05-23,-0.00592,0.00201,0.0175,-0.01156,0.04515
howland1,EN,3000,rising,gcc_90,2012-03-29,2012-04-14,2012-05-10,2012-03-20,2012-04-06,2012-05-02,2012-04-07,2012-04-25,2012-05-15,-0.00594,0.00196,0.01688,-0.01143,0.04392
howland1,EN,3000,rising,gcc_90,2013-04-13,2013-05-01,2013-05-21,2013-04-04,2013-04-23,2013-05-15,2013-04-23,2013-05-08,2013-05-26,-0.00331,0.00549,0.02099,-0.00919,0.05044
howland1,EN,3000,rising,gcc_90,2014-04-06,2014-04-22,2014-05-16,2014-03-27,2014-04-12,2014-05-08,2014-04-16,2014-05-03,2014-05-23,0.00601,0.0133,0.02539,0.00127,0.04948
howland1,EN,3000,rising,gcc_90,2015-04-08,2015-04-22,2015-05-18,2015-04-01,2015-04-15,2015-05-10,2015-04-17,2015-05-01,2015-05-24,0.00216,0.01013,0.02401,-0.00266,0.05035
howland1,EN,3000,rising,gcc_90,2016-04-03,2016-04-18,2016-05-15,2016-03-25,2016-04-11,2016-05-06,2016-04-12,2016-04-26,2016-05-23,-0.00266,0.00603,0.02081,-0.00798,0.04944
howland1,EN,3000,rising,gcc_90,2017-04-05,2017-04-20,2017-05-16,2017-03-24,2017-04-12,2017-05-06,2017-04-15,2017-04-29,2017-05-26,0.00336,0.0108,0.02369,-0.00126,0.0483
howland1,EN,3000,rising,gcc_90,2018-04-06,2018-04-22,2018-05-20,2018-03-23,2018-04-14,2018-05-09,2018-04-17,2018-05-02,2018-05-30,0.00661,0.01379,0.02671,0.00205,0.05084
howland1,EN,3000,rising,gcc_75,2011-04-09,2011-04-26,2011-05-16,2011-04-03,2011-04-20,2011-05-11,2011-04-18,2011-05-02,2011-05-20,-0.01376,-0.00479,0.01076,-0.01919,0.03985
howland1,EN,3000,rising,gcc_75,2012-03-26,2012-04-11,2012-05-08,2012-03-19,2012-04-05,2012-05-02,2012-04-02,2012-04-20,2012-05-13,-0.01168,-0.0036,0.01119,-0.01729,0.03931
howland1,EN,3000,rising,gcc_75,2013-04-11,2013-04-29,2013-05-20,2013-04-05,2013-04-22,2013-05-16,2013-04-18,2013-05-05,2013-05-24,-0.01138,-0.00184,0.01469,-0.01779,0.04645
howland1,EN,3000,rising,gcc_75,2014-04-14,2014-05-01,2014-05-22,2014-04-06,2014-04-23,2014-05-17,2014-04-22,2014-05-08,2014-05-27,-0.00149,0.00602,0.01937,-0.00662,0.04493
