#
# Transition date estimate for niwot3
#
# Site: niwot3
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2019
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:12:25
# Spline RMSE gcc_mean: 0.00848
# Spline RMSE gcc_50: 0.00664
# Spline RMSE gcc_75: 0.01313
# Spline RMSE gcc_90: 0.02205
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot3,EN,1000,rising,gcc_90,2016-04-27,2016-05-22,2016-06-10,2016-04-02,2016-04-18,2016-05-30,2016-05-27,2016-06-06,2016-06-21,-0.04007,-0.03105,-0.01519,-0.04597,0.01545
niwot3,EN,1000,rising,gcc_90,2017-03-26,2017-04-05,2017-05-01,2017-03-14,2017-03-28,2017-04-18,2017-04-03,2017-04-17,2017-05-31,-0.06328,-0.05012,-0.02744,-0.07216,0.01714
niwot3,EN,1000,rising,gcc_90,2018-02-20,2018-03-12,2018-05-17,2018-01-24,2018-02-25,2018-05-05,2018-03-07,2018-05-04,2018-05-27,-0.0546,-0.04121,-0.01752,-0.06348,0.02676
niwot3,EN,1000,rising,gcc_75,2016-04-25,2016-05-12,2016-06-04,2016-04-12,2016-05-02,2016-05-28,2016-05-07,2016-05-21,2016-06-10,-0.06645,-0.05524,-0.03627,-0.07372,0.00093
niwot3,EN,1000,rising,gcc_75,2017-03-30,2017-04-16,2017-05-24,2017-03-23,2017-04-08,2017-05-11,2017-04-08,2017-04-25,2017-06-02,-0.074,-0.06163,-0.03995,-0.08161,0.00083
niwot3,EN,1000,rising,gcc_75,2018-04-21,2018-05-04,2018-05-20,2018-04-15,2018-04-29,2018-05-15,2018-04-28,2018-05-08,2018-05-25,-0.07056,-0.05624,-0.03232,-0.07924,0.01316
niwot3,EN,1000,rising,gcc_50,2016-05-02,2016-05-15,2016-06-04,2016-04-27,2016-05-12,2016-05-31,2016-05-08,2016-05-20,2016-06-06,-0.07865,-0.06763,-0.04714,-0.08555,-0.01034
niwot3,EN,1000,rising,gcc_50,2017-04-15,2017-05-02,2017-06-02,2017-04-09,2017-04-27,2017-05-27,2017-04-21,2017-05-09,2017-06-06,-0.0754,-0.06538,-0.04716,-0.08204,-0.01326
niwot3,EN,1000,rising,gcc_50,2018-04-30,2018-05-09,2018-05-26,2018-04-26,2018-05-07,2018-05-22,2018-05-03,2018-05-12,2018-05-28,-0.07387,-0.0622,-0.03975,-0.08202,2e-05
niwot3,EN,1000,rising,gcc_mean,2016-05-02,2016-05-16,2016-06-05,2016-04-23,2016-05-11,2016-05-31,2016-05-10,2016-05-22,2016-06-08,-0.0709,-0.06043,-0.04125,-0.07787,-0.00542
niwot3,EN,1000,rising,gcc_mean,2017-03-31,2017-04-18,2017-05-24,2017-03-25,2017-04-12,2017-05-15,2017-04-07,2017-04-25,2017-05-30,-0.07874,-0.06694,-0.0467,-0.08612,-0.00818
niwot3,EN,1000,rising,gcc_mean,2018-04-22,2018-05-05,2018-05-23,2018-04-16,2018-05-02,2018-05-19,2018-04-28,2018-05-09,2018-05-26,-0.07392,-0.06187,-0.0384,-0.08262,0.00482
niwot3,EN,1000,falling,gcc_90,2017-11-12,2017-10-30,2017-10-14,2017-12-02,2017-11-09,2017-10-22,2017-10-30,2017-10-21,2017-10-04,-0.05871,-0.04643,-0.02426,-0.06632,0.01749
niwot3,EN,1000,falling,gcc_90,2016-10-28,2016-10-19,2016-09-30,2017-02-02,2016-10-26,2016-10-11,2016-10-19,2016-10-09,2016-09-19,-0.05811,-0.0469,-0.02525,-0.06614,0.01514
niwot3,EN,1000,falling,gcc_90,2015-11-24,2015-11-13,2015-10-23,2016-02-13,2015-11-27,2015-11-07,2015-11-11,2015-10-30,2015-09-27,-0.05412,-0.0448,-0.02859,-0.06003,0.00243
niwot3,EN,1000,falling,gcc_75,2017-11-06,2017-10-25,2017-10-11,2017-11-14,2017-10-30,2017-10-16,2017-10-29,2017-10-21,2017-10-05,-0.07213,-0.0594,-0.0388,-0.0795,0.00135
