#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:12:51
# Spline RMSE gcc_mean: 0.01231
# Spline RMSE gcc_50: 0.01266
# Spline RMSE gcc_75: 0.01367
# Spline RMSE gcc_90: 0.01591
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,2000,rising,gcc_90,2016-03-24,2016-04-03,2016-04-17,2016-03-15,2016-03-26,2016-04-09,2016-04-02,2016-04-10,2016-04-25,-0.04692,-0.03834,-0.02398,-0.05181,0.00219
oregonYP,EN,2000,rising,gcc_90,2017-04-03,2017-04-20,2017-05-08,2017-03-13,2017-04-04,2017-04-29,2017-04-21,2017-05-01,2017-05-18,-0.05228,-0.04519,-0.03229,-0.05682,-0.00874
oregonYP,EN,2000,rising,gcc_90,2018-04-02,2018-04-11,2018-04-24,2018-03-20,2018-04-03,2018-04-16,2018-04-11,2018-04-18,2018-05-02,-0.05311,-0.04549,-0.03231,-0.05741,-0.00864
oregonYP,EN,2000,rising,gcc_75,2016-03-15,2016-03-27,2016-04-12,2016-03-07,2016-03-20,2016-04-06,2016-03-24,2016-04-03,2016-04-18,-0.06582,-0.05668,-0.04013,-0.07136,-0.00966
oregonYP,EN,2000,rising,gcc_75,2017-03-24,2017-04-15,2017-05-10,2017-03-11,2017-04-02,2017-05-02,2017-04-08,2017-04-27,2017-05-18,-0.07067,-0.06178,-0.04603,-0.07617,-0.01692
oregonYP,EN,2000,rising,gcc_75,2018-03-24,2018-04-07,2018-04-23,2018-03-09,2018-03-31,2018-04-17,2018-04-04,2018-04-13,2018-05-01,-0.07316,-0.06441,-0.04852,-0.07903,-0.01808
oregonYP,EN,2000,rising,gcc_50,2016-03-13,2016-03-27,2016-04-13,2016-03-05,2016-03-20,2016-04-08,2016-03-21,2016-04-02,2016-04-18,-0.07722,-0.06734,-0.05014,-0.0834,-0.01822
oregonYP,EN,2000,rising,gcc_50,2017-03-17,2017-04-09,2017-05-08,2017-03-04,2017-03-29,2017-05-01,2017-03-28,2017-04-19,2017-05-14,-0.08779,-0.07703,-0.05894,-0.09458,-0.02423
oregonYP,EN,2000,rising,gcc_50,2018-03-21,2018-04-06,2018-04-23,2018-03-10,2018-03-31,2018-04-17,2018-03-30,2018-04-11,2018-04-28,-0.08828,-0.07756,-0.05836,-0.09516,-0.02349
oregonYP,EN,2000,rising,gcc_mean,2016-03-16,2016-03-29,2016-04-14,2016-03-09,2016-03-22,2016-04-09,2016-03-24,2016-04-04,2016-04-20,-0.07325,-0.06344,-0.04696,-0.07921,-0.01528
