#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:13:32
# Spline RMSE gcc_mean: 0.0084
# Spline RMSE gcc_50: 0.00953
# Spline RMSE gcc_75: 0.0079
# Spline RMSE gcc_90: 0.01016
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,2000,rising,gcc_90,2017-05-24,2017-05-28,2017-06-06,2017-03-28,2017-05-25,2017-05-31,2017-05-29,2017-06-02,2017-06-09,0.07246,0.07771,0.09009,0.06934,0.10812
vancouverisland,EN,2000,rising,gcc_90,2017-11-24,2017-11-25,2017-11-28,2017-11-01,2017-11-01,2017-11-01,2018-05-05,2018-05-05,2018-05-05,0.05798,0.06257,0.07651,0.05822,0.09087
vancouverisland,EN,2000,rising,gcc_75,2017-04-05,2017-05-24,2017-06-01,2017-03-26,2017-05-20,2017-05-29,2017-04-17,2017-05-28,2017-06-05,0.0578,0.0641,0.07612,0.05361,0.09843
vancouverisland,EN,2000,rising,gcc_75,2017-11-24,2017-11-25,2017-11-28,2017-11-01,2017-11-01,2017-11-01,2018-05-05,2018-05-05,2018-05-05,0.05138,0.05562,0.06838,0.05102,0.08415
vancouverisland,EN,2000,rising,gcc_50,2017-04-01,2017-05-23,2017-06-02,2017-01-30,2017-04-07,2017-05-28,2017-04-24,2017-05-28,2017-06-06,0.04941,0.05642,0.06998,0.04504,0.09231
vancouverisland,EN,2000,rising,gcc_50,2017-11-24,2017-11-26,2017-12-01,2017-11-01,2017-11-01,2017-11-01,2018-05-05,2018-05-05,2018-05-05,0.045,0.05017,0.06127,0.04263,0.07831
vancouverisland,EN,2000,rising,gcc_mean,2017-11-25,2017-11-27,2017-12-02,2017-11-01,2017-11-01,2017-11-01,2018-05-05,2018-05-05,2018-05-05,0.04718,0.05258,0.06294,0.04578,0.07943
vancouverisland,EN,2000,falling,gcc_90,2017-11-03,2017-11-01,2017-10-28,2018-05-05,2017-11-05,2017-10-31,2017-11-01,2017-10-29,2017-10-26,0.04841,0.05787,0.07435,0.04339,0.10445
vancouverisland,EN,2000,falling,gcc_75,2017-11-03,2017-11-01,2017-10-27,2018-05-05,2017-11-05,2017-10-30,2017-11-01,2017-10-29,2017-10-26,0.03991,0.04924,0.06874,0.03494,0.0976
vancouverisland,EN,2000,falling,gcc_50,2017-11-03,2017-11-01,2017-10-26,2018-05-05,2017-11-06,2017-10-30,2017-11-01,2017-10-28,2017-10-23,0.03845,0.04537,0.06315,0.03483,0.08983
vancouverisland,EN,2000,falling,gcc_mean,2017-11-03,2017-11-01,2017-10-26,2018-05-05,2017-11-06,2017-10-29,2017-11-01,2017-10-28,2017-10-24,0.03998,0.04714,0.065,0.0362,0.092
