#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:13:48
# Spline RMSE gcc_mean: 4.01929
# Spline RMSE gcc_50: 4.23161
# Spline RMSE gcc_75: 4.42352
# Spline RMSE gcc_90: 4.48374
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-03-16,2012-04-05,2012-05-01,2012-03-15,2012-04-04,2012-04-30,2012-03-17,2012-04-06,2012-05-02,-24.12335,-17.31937,-5.54019,-28.34463,16.80067
canadaOBS,EN,1000,rising,gcc_90,2013-03-30,2013-04-17,2013-05-09,2013-03-29,2013-04-16,2013-05-08,2013-03-31,2013-04-18,2013-05-10,-25.01408,-18.20571,-6.00877,-29.42063,16.85682
canadaOBS,EN,1000,rising,gcc_90,2014-03-21,2014-04-13,2014-05-08,2014-03-20,2014-04-12,2014-05-07,2014-03-22,2014-04-14,2014-05-09,-27.76044,-19.84163,-6.00422,-32.98444,20.39039
canadaOBS,EN,1000,rising,gcc_90,2015-03-16,2015-04-06,2015-05-02,2015-03-15,2015-04-05,2015-05-01,2015-03-17,2015-04-07,2015-05-03,-24.67784,-17.94646,-6.39728,-28.94523,15.61003
canadaOBS,EN,1000,rising,gcc_90,2016-03-26,2016-04-12,2016-05-04,2016-03-25,2016-04-11,2016-05-03,2016-03-27,2016-04-13,2016-05-05,-22.42614,-15.61145,-3.14784,-27.0614,20.44924
canadaOBS,EN,1000,rising,gcc_90,2017-03-17,2017-04-09,2017-05-03,2017-03-06,2017-04-08,2017-05-02,2017-03-27,2017-04-10,2017-05-04,-23.77886,-16.28209,-3.44462,-28.49729,20.91472
canadaOBS,EN,1000,rising,gcc_90,2018-03-08,2018-03-28,2018-04-25,2018-03-07,2018-03-15,2018-03-15,2018-03-09,2018-04-26,2018-04-26,-24.03904,-16.27479,-2.83473,-29.12064,22.3433
canadaOBS,EN,1000,rising,gcc_75,2012-03-16,2012-04-04,2012-04-30,2012-03-15,2012-04-03,2012-04-29,2012-03-17,2012-04-05,2012-05-01,-26.13463,-19.77047,-8.15707,-30.4578,13.47456
canadaOBS,EN,1000,rising,gcc_75,2013-03-30,2013-04-17,2013-05-08,2013-03-29,2013-04-16,2013-05-07,2013-03-31,2013-04-18,2013-05-09,-26.09966,-19.53435,-8.29215,-30.46699,13.57311
canadaOBS,EN,1000,rising,gcc_75,2014-03-26,2014-04-15,2014-05-09,2014-03-25,2014-04-14,2014-05-08,2014-03-27,2014-04-16,2014-05-10,-27.45776,-20.28606,-7.64481,-32.21246,16.34002
