#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:14:05
# Spline RMSE gcc_mean: 3.18427
# Spline RMSE gcc_50: 3.66361
# Spline RMSE gcc_75: 3.79721
# Spline RMSE gcc_90: 3.64276
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,3000,rising,gcc_90,2011-04-01,2011-04-18,2011-05-12,2011-03-31,2011-04-17,2011-05-11,2011-04-02,2011-04-19,2011-05-13,2.9352,6.6546,13.18238,0.68324,25.14926
howland1,EN,3000,rising,gcc_90,2012-03-19,2012-04-04,2012-05-04,2012-03-18,2012-04-03,2012-05-03,2012-03-21,2012-04-05,2012-05-05,2.0041,5.8794,12.49725,-0.31352,24.99788
howland1,EN,3000,rising,gcc_90,2013-03-29,2013-04-13,2013-05-11,2013-03-28,2013-04-12,2013-05-10,2013-03-30,2013-04-14,2013-05-12,1.96977,6.0931,13.19937,-0.69004,26.66667
howland1,EN,3000,rising,gcc_90,2014-04-02,2014-04-16,2014-05-13,2014-04-01,2014-04-15,2014-05-12,2014-04-03,2014-04-17,2014-05-14,1.72736,5.69863,12.78813,-0.9675,26.4016
howland1,EN,3000,rising,gcc_90,2015-03-31,2015-04-15,2015-05-12,2015-03-30,2015-04-14,2015-05-11,2015-04-01,2015-04-16,2015-05-13,0.99594,5.25659,12.17348,-1.55306,25.69354
howland1,EN,3000,rising,gcc_90,2016-03-28,2016-04-12,2016-05-05,2016-03-27,2016-04-11,2016-05-04,2016-03-29,2016-04-13,2016-05-06,0.83332,5.16785,12.25857,-1.7781,26.0586
howland1,EN,3000,rising,gcc_90,2017-04-01,2017-04-15,2017-05-08,2017-03-31,2017-04-14,2017-05-07,2017-04-02,2017-04-16,2017-05-09,0.3657,4.01233,10.66888,-2.08682,23.14128
howland1,EN,3000,rising,gcc_90,2018-04-02,2018-04-17,2018-05-08,2018-04-01,2018-04-16,2018-05-07,2018-04-03,2018-04-18,2018-05-09,-1.14509,2.8882,9.41888,-3.54941,22.20592
howland1,EN,3000,rising,gcc_75,2011-03-31,2011-04-17,2011-05-12,2011-03-30,2011-04-16,2011-05-11,2011-04-01,2011-04-18,2011-05-13,0.50442,3.89485,9.89336,-1.70851,21.1119
howland1,EN,3000,rising,gcc_75,2012-03-20,2012-04-05,2012-05-05,2012-03-19,2012-04-04,2012-05-04,2012-03-21,2012-04-06,2012-05-06,0.28513,3.9367,10.3387,-2.19355,22.63155
howland1,EN,3000,rising,gcc_75,2013-03-29,2013-04-13,2013-05-11,2013-03-28,2013-04-12,2013-05-10,2013-03-30,2013-04-14,2013-05-12,-0.16931,3.75424,10.49301,-2.69913,23.29345
howland1,EN,3000,rising,gcc_75,2014-04-03,2014-04-18,2014-05-15,2014-04-02,2014-04-17,2014-05-14,2014-04-04,2014-04-19,2014-05-16,-0.40712,3.43438,10.18147,-2.86862,23.19315
