#
# Transition date estimate for oregonMP
#
# Site: oregonMP
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:14:24
# Spline RMSE gcc_mean: 4.94422
# Spline RMSE gcc_50: 5.37885
# Spline RMSE gcc_75: 5.03405
# Spline RMSE gcc_90: 5.01075
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonMP,EN,1000,rising,gcc_90,2012-03-19,2012-04-05,2012-05-02,2012-03-18,2012-04-04,2012-04-30,2012-03-20,2012-04-06,2012-05-03,-21.83267,-15.92941,-5.52469,-25.59202,13.8897
oregonMP,EN,1000,rising,gcc_90,2013-03-30,2013-04-14,2013-05-09,2013-03-29,2013-04-13,2013-05-08,2013-03-31,2013-04-15,2013-05-10,-14.31824,-9.39536,-1.1858,-17.32677,14.81578
oregonMP,EN,1000,rising,gcc_90,2014-03-30,2014-04-15,2014-05-12,2014-03-29,2014-04-14,2014-05-11,2014-03-31,2014-04-16,2014-05-13,-17.52399,-12.55749,-3.62088,-20.73161,13.20266
oregonMP,EN,1000,rising,gcc_90,2015-03-21,2015-04-07,2015-05-03,2015-03-20,2015-04-06,2015-05-01,2015-03-22,2015-04-08,2015-05-04,-10.57869,-6.97223,-0.37539,-13.05899,11.86777
oregonMP,EN,1000,rising,gcc_90,2016-03-07,2016-03-21,2016-04-18,2016-03-06,2016-03-20,2016-04-17,2016-03-08,2016-03-23,2016-04-19,-17.44036,-12.95698,-5.09961,-20.17502,9.80126
oregonMP,EN,1000,rising,gcc_90,2017-04-02,2017-04-18,2017-05-15,2017-04-01,2017-04-17,2017-05-14,2017-04-03,2017-04-19,2017-05-16,-19.6061,-14.57301,-5.59688,-22.72899,11.03302
oregonMP,EN,1000,rising,gcc_90,2018-03-21,2018-04-09,2018-05-04,2018-03-20,2018-04-08,2018-05-03,2018-03-22,2018-04-10,2018-05-05,-23.00441,-17.7264,-8.86832,-26.34832,8.23002
oregonMP,EN,1000,rising,gcc_75,2012-03-21,2012-04-06,2012-05-03,2012-03-20,2012-04-05,2012-05-02,2012-03-22,2012-04-08,2012-05-04,-23.90504,-18.29127,-7.96855,-27.78699,11.73778
oregonMP,EN,1000,rising,gcc_75,2013-03-31,2013-04-15,2013-05-11,2013-03-30,2013-04-14,2013-05-10,2013-04-01,2013-04-16,2013-05-12,-16.72814,-11.93526,-3.68227,-19.88214,12.24425
oregonMP,EN,1000,rising,gcc_75,2014-03-31,2014-04-16,2014-05-12,2014-03-30,2014-04-15,2014-05-11,2014-04-01,2014-04-17,2014-05-13,-19.96616,-14.95244,-6.34346,-23.33058,10.6343
oregonMP,EN,1000,rising,gcc_75,2015-03-20,2015-04-07,2015-05-03,2015-03-19,2015-04-06,2015-05-02,2015-03-21,2015-04-08,2015-05-04,-13.33133,-9.67364,-3.31307,-15.70619,9.02864
oregonMP,EN,1000,rising,gcc_75,2016-03-06,2016-03-20,2016-04-19,2016-03-05,2016-03-19,2016-04-18,2016-03-07,2016-03-22,2016-04-20,-19.94264,-15.62554,-7.7314,-22.81339,7.04612
oregonMP,EN,1000,rising,gcc_75,2017-04-05,2017-04-20,2017-05-16,2017-04-04,2017-04-19,2017-05-15,2017-04-06,2017-04-21,2017-05-17,-21.95834,-17.09879,-8.45169,-25.20885,8.04523
oregonMP,EN,1000,rising,gcc_75,2018-03-23,2018-04-10,2018-05-05,2018-03-22,2018-04-09,2018-05-04,2018-03-24,2018-04-11,2018-05-06,-25.36073,-20.44516,-11.67752,-28.74045,5.10342
oregonMP,EN,1000,rising,gcc_50,2012-03-24,2012-04-09,2012-05-06,2012-03-23,2012-04-08,2012-05-05,2012-03-25,2012-04-10,2012-05-07,-26.73571,-21.00589,-11.02735,-30.55627,7.90903
oregonMP,EN,1000,rising,gcc_50,2013-04-01,2013-04-16,2013-05-13,2013-03-31,2013-04-15,2013-05-12,2013-04-02,2013-04-17,2013-05-14,-20.50623,-15.97523,-7.80746,-23.40214,7.49917
oregonMP,EN,1000,rising,gcc_50,2014-04-03,2014-04-18,2014-05-14,2014-04-02,2014-04-17,2014-05-13,2014-04-04,2014-04-19,2014-05-15,-23.65742,-18.90403,-10.48515,-26.87041,5.54878
oregonMP,EN,1000,rising,gcc_50,2015-03-26,2015-04-12,2015-05-08,2015-03-25,2015-04-11,2015-05-07,2015-03-27,2015-04-13,2015-05-09,-17.10419,-13.70161,-7.86375,-19.20983,3.29486
oregonMP,EN,1000,rising,gcc_50,2016-03-10,2016-03-26,2016-04-24,2016-03-09,2016-03-25,2016-04-23,2016-03-11,2016-03-27,2016-04-25,-23.45117,-19.24962,-12.23819,-26.15301,1.61848
oregonMP,EN,1000,rising,gcc_50,2017-04-06,2017-04-21,2017-05-17,2017-04-05,2017-04-20,2017-05-16,2017-04-07,2017-04-22,2017-05-18,-27.14667,-22.36243,-13.87019,-30.20368,2.09371
oregonMP,EN,1000,rising,gcc_50,2018-03-27,2018-04-14,2018-05-08,2018-03-26,2018-04-13,2018-05-07,2018-03-28,2018-04-15,2018-05-09,-29.92208,-24.88932,-16.4114,-33.03886,-0.0362
oregonMP,EN,1000,rising,gcc_mean,2012-03-23,2012-04-08,2012-05-06,2012-03-22,2012-04-07,2012-05-04,2012-03-24,2012-04-09,2012-05-07,-28.36218,-23.56614,-14.88419,-31.46201,1.18564
oregonMP,EN,1000,rising,gcc_mean,2013-04-03,2013-04-18,2013-05-16,2013-04-02,2013-04-17,2013-05-15,2013-04-04,2013-04-19,2013-05-17,-21.94362,-18.38419,-11.93179,-24.38392,0.37487
oregonMP,EN,1000,rising,gcc_mean,2014-03-29,2014-04-17,2014-05-17,2014-03-28,2014-04-16,2014-05-16,2014-03-30,2014-04-18,2014-05-18,-26.51057,-22.25609,-14.58063,-29.33975,-0.30177
oregonMP,EN,1000,rising,gcc_mean,2017-04-07,2017-04-23,2017-05-20,2017-04-06,2017-04-22,2017-05-19,2017-04-08,2017-04-24,2017-05-21,-28.7158,-24.81211,-17.97732,-31.1218,-5.28297
oregonMP,EN,1000,rising,gcc_mean,2018-03-26,2018-04-14,2018-05-11,2018-03-25,2018-04-13,2018-05-09,2018-03-27,2018-04-15,2018-05-12,-31.78885,-27.69995,-20.57912,-34.31995,-7.31607
oregonMP,EN,1000,falling,gcc_90,2018-12-10,2018-11-05,2018-09-29,2018-12-11,2018-11-06,2018-09-30,2018-12-09,2018-11-04,2018-09-28,-33.3673,-26.39668,-14.62475,-37.89041,8.15576
oregonMP,EN,1000,falling,gcc_90,2017-11-20,2017-11-01,2017-10-06,2017-11-21,2017-11-02,2017-10-07,2017-11-19,2017-10-31,2017-10-05,-23.68983,-18.08435,-8.07313,-27.43332,10.96887
oregonMP,EN,1000,falling,gcc_90,2016-11-22,2016-10-30,2016-10-01,2016-11-23,2016-10-31,2016-10-02,2016-11-20,2016-10-29,2016-09-30,-20.08308,-14.9921,-6.58875,-23.19768,9.80426
oregonMP,EN,1000,falling,gcc_90,2015-11-20,2015-10-31,2015-10-04,2015-11-21,2015-11-01,2015-10-05,2015-11-19,2015-10-30,2015-10-03,-16.17552,-11.45969,-3.54411,-19.11046,11.83394
oregonMP,EN,1000,falling,gcc_90,2014-11-25,2014-11-06,2014-10-09,2014-11-26,2014-11-07,2014-10-10,2014-11-24,2014-11-04,2014-10-08,-11.38497,-7.48716,-0.38959,-14.09698,13.16222
oregonMP,EN,1000,falling,gcc_90,2013-11-26,2013-11-07,2013-10-12,2013-11-27,2013-11-08,2013-10-13,2013-11-25,2013-11-06,2013-10-11,-18.58047,-13.21428,-3.34358,-22.1791,14.8223
