#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:14:36
# Spline RMSE gcc_mean: 3.34378
# Spline RMSE gcc_50: 3.4185
# Spline RMSE gcc_75: 3.45557
# Spline RMSE gcc_90: 3.51327
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,2000,rising,gcc_90,2016-02-27,2016-03-12,2016-04-02,2016-02-26,2016-03-11,2016-04-01,2016-02-28,2016-03-13,2016-04-03,21.18428,25.65718,33.30356,18.3612,47.69633
oregonYP,EN,2000,rising,gcc_90,2017-03-16,2017-03-31,2017-05-02,2017-03-15,2017-03-30,2017-05-01,2017-03-17,2017-04-01,2017-05-03,12.86078,18.35163,27.45837,9.53066,45.19303
oregonYP,EN,2000,rising,gcc_90,2018-03-25,2018-04-07,2018-04-22,2018-03-24,2018-04-06,2018-04-21,2018-03-26,2018-04-08,2018-04-23,13.51711,18.06806,26.48165,10.30245,42.62661
oregonYP,EN,2000,rising,gcc_75,2016-02-28,2016-03-13,2016-04-02,2016-02-27,2016-03-12,2016-04-01,2016-03-01,2016-03-14,2016-04-03,18.7822,23.34103,30.92032,16.15868,45.5298
oregonYP,EN,2000,rising,gcc_75,2017-03-17,2017-04-02,2017-05-02,2017-03-16,2017-04-01,2017-05-01,2017-03-18,2017-04-03,2017-05-03,11.39503,16.93091,25.83007,8.04458,43.60558
oregonYP,EN,2000,rising,gcc_75,2018-03-23,2018-04-06,2018-04-21,2018-03-22,2018-04-05,2018-04-20,2018-03-24,2018-04-07,2018-04-22,11.37751,15.88325,24.21242,8.32024,39.69628
oregonYP,EN,2000,rising,gcc_50,2016-02-29,2016-03-13,2016-04-02,2016-02-28,2016-03-12,2016-04-01,2016-03-01,2016-03-14,2016-04-03,16.16184,20.50142,28.31618,13.36563,42.76841
oregonYP,EN,2000,rising,gcc_50,2017-03-18,2017-04-03,2017-05-02,2017-03-17,2017-04-02,2017-05-01,2017-03-19,2017-04-04,2017-05-03,9.6555,14.97746,23.70521,6.4143,40.9559
oregonYP,EN,2000,rising,gcc_50,2018-03-22,2018-04-05,2018-04-19,2018-03-21,2018-04-04,2018-04-18,2018-03-23,2018-04-06,2018-04-20,9.03584,13.22019,20.83089,6.28593,35.10196
oregonYP,EN,2000,rising,gcc_mean,2016-02-27,2016-03-11,2016-03-31,2016-02-26,2016-03-10,2016-03-30,2016-02-28,2016-03-12,2016-04-01,15.45401,19.53519,26.59137,12.89167,40.00243
oregonYP,EN,2000,rising,gcc_mean,2017-03-17,2017-04-01,2017-05-01,2017-03-16,2017-03-31,2017-04-30,2017-03-18,2017-04-02,2017-05-02,9.03726,13.86728,22.14726,6.08472,37.88697
oregonYP,EN,2000,rising,gcc_mean,2018-03-22,2018-04-05,2018-04-19,2018-03-21,2018-04-04,2018-04-18,2018-03-23,2018-04-06,2018-04-20,8.78125,12.82251,20.17968,6.13562,34.07021
oregonYP,EN,2000,falling,gcc_90,2018-10-31,2018-09-12,2018-08-27,2018-11-01,2018-09-13,2018-08-29,2018-10-30,2018-09-11,2018-08-26,17.93835,22.1235,29.50265,15.26084,42.86751
oregonYP,EN,2000,falling,gcc_90,2017-11-23,2017-11-11,2017-10-14,2017-11-24,2017-11-12,2017-10-15,2017-11-22,2017-11-10,2017-10-13,15.23075,20.4501,28.52681,12.41212,44.59739
oregonYP,EN,2000,falling,gcc_90,2016-12-18,2016-12-06,2016-11-12,2016-12-19,2016-12-07,2016-11-14,2016-12-17,2016-12-05,2016-11-11,9.3456,15.69011,26.93201,5.48393,47.56935
oregonYP,EN,2000,falling,gcc_90,2015-12-13,2015-12-06,2015-11-19,2015-12-14,2015-12-07,2015-11-20,2015-12-12,2015-12-05,2015-11-18,19.27959,24.19348,33.94596,15.95952,51.31875
oregonYP,EN,2000,falling,gcc_75,2018-10-30,2018-09-12,2018-08-27,2018-10-31,2018-09-13,2018-08-28,2018-10-29,2018-09-11,2018-08-26,16.2522,20.08193,27.09644,13.69618,39.96563
oregonYP,EN,2000,falling,gcc_75,2017-11-21,2017-11-10,2017-10-10,2017-11-22,2017-11-11,2017-10-11,2017-11-20,2017-11-08,2017-10-09,13.55318,18.25423,26.86876,10.38823,43.26368
oregonYP,EN,2000,falling,gcc_75,2016-12-17,2016-12-05,2016-11-10,2016-12-18,2016-12-06,2016-11-11,2016-12-16,2016-12-04,2016-11-09,8.51916,14.41971,25.11484,4.40308,45.69246
