#
# Transition date estimate for turkeypointenf74
#
# Site: turkeypointenf74
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:16:36
# Spline RMSE gcc_mean: 5.22652
# Spline RMSE gcc_50: 5.53361
# Spline RMSE gcc_75: 5.23948
# Spline RMSE gcc_90: 5.32865
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf74,EN,1000,rising,gcc_90,2013-04-02,2013-04-16,2013-05-09,2013-04-01,2013-04-15,2013-05-08,2013-04-03,2013-04-17,2013-05-10,-7.59755,-0.71999,10.64309,-11.68114,32.82413
turkeypointenf74,EN,1000,rising,gcc_90,2014-04-03,2014-04-18,2014-05-06,2014-04-02,2014-04-14,2014-04-14,2014-04-04,2014-05-14,2014-05-14,-6.69497,-0.77522,9.75164,-10.44555,28.82309
turkeypointenf74,EN,1000,rising,gcc_90,2015-03-26,2015-04-05,2015-04-25,2015-03-25,2015-04-04,2015-04-24,2015-03-27,2015-04-06,2015-04-26,-9.09466,-3.28221,7.99041,-13.29143,28.91168
turkeypointenf74,EN,1000,rising,gcc_90,2016-03-31,2016-04-13,2016-05-04,2016-03-30,2016-04-12,2016-05-03,2016-04-01,2016-04-14,2016-05-05,-1.0578,3.64789,12.28707,-4.14116,28.42335
turkeypointenf74,EN,1000,rising,gcc_90,2017-03-25,2017-04-10,2017-05-06,2017-03-24,2017-04-09,2017-05-05,2017-03-26,2017-04-11,2017-05-07,-3.07604,3.27713,13.99482,-7.00228,34.55112
turkeypointenf74,EN,1000,rising,gcc_90,2018-04-02,2018-04-16,2018-05-13,2018-04-01,2018-04-15,2018-05-11,2018-04-03,2018-04-17,2018-05-14,6.73656,14.84347,29.61774,1.6873,56.31618
turkeypointenf74,EN,1000,rising,gcc_75,2013-04-03,2013-04-16,2013-05-10,2013-04-02,2013-04-15,2013-05-09,2013-04-04,2013-04-17,2013-05-11,-9.00796,-2.86203,8.37165,-13.30194,29.74158
turkeypointenf74,EN,1000,rising,gcc_75,2014-04-03,2014-04-18,2014-05-06,2014-04-02,2014-04-14,2014-04-14,2014-04-04,2014-05-14,2014-05-14,-8.55062,-2.8414,7.43001,-12.11233,26.23799
turkeypointenf74,EN,1000,rising,gcc_75,2015-03-25,2015-04-05,2015-04-25,2015-03-24,2015-04-04,2015-04-24,2015-03-27,2015-04-06,2015-04-26,-11.3327,-5.20521,5.68893,-14.90654,25.73063
turkeypointenf74,EN,1000,rising,gcc_75,2016-03-31,2016-04-13,2016-05-04,2016-03-30,2016-04-12,2016-05-03,2016-04-01,2016-04-14,2016-05-05,-3.2267,1.41406,9.91362,-6.42998,25.79744
