#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2019-09-10
# Final Processing Time: 15:17:33
# Spline RMSE gcc_mean: 3.60235
# Spline RMSE gcc_50: 3.17126
# Spline RMSE gcc_75: 2.87085
# Spline RMSE gcc_90: 2.78861
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,1000,rising,gcc_90,2012-04-16,2012-05-02,2012-05-22,2012-04-15,2012-05-01,2012-05-21,2012-04-17,2012-05-04,2012-05-23,14.204,17.92415,24.58586,11.82015,37.27894
vancouverisland,EN,1000,rising,gcc_90,2013-04-21,2013-05-05,2013-05-17,2013-04-20,2013-05-04,2013-05-16,2013-04-22,2013-05-06,2013-05-18,16.29088,19.16414,24.71093,14.3164,34.6933
vancouverisland,EN,1000,rising,gcc_90,2014-04-13,2014-04-25,2014-05-11,2014-04-12,2014-04-24,2014-05-10,2014-04-14,2014-04-26,2014-05-12,10.16223,13.37322,19.20257,8.11298,29.71974
vancouverisland,EN,1000,rising,gcc_90,2015-04-21,2015-05-01,2015-05-11,2015-04-20,2015-04-30,2015-05-10,2015-04-22,2015-05-02,2015-05-12,12.60266,15.71406,20.86758,10.76824,30.82729
vancouverisland,EN,1000,rising,gcc_75,2012-03-28,2012-04-19,2012-05-17,2012-03-27,2012-04-18,2012-05-16,2012-03-29,2012-04-21,2012-05-18,9.68367,13.65633,20.90297,6.99026,34.47316
vancouverisland,EN,1000,rising,gcc_75,2013-04-20,2013-05-05,2013-05-18,2013-04-19,2013-05-04,2013-05-17,2013-04-21,2013-05-06,2013-05-19,14.77519,17.60645,23.29198,12.82678,32.90512
vancouverisland,EN,1000,rising,gcc_75,2014-04-15,2014-04-26,2014-05-11,2014-04-14,2014-04-25,2014-05-10,2014-04-16,2014-04-27,2014-05-12,8.67692,11.7351,17.03446,6.66567,27.36807
vancouverisland,EN,1000,rising,gcc_75,2015-04-24,2015-05-02,2015-05-12,2015-04-23,2015-05-01,2015-05-11,2015-04-25,2015-05-03,2015-05-13,10.9667,13.9026,19.19614,9.03039,29.01382
vancouverisland,EN,1000,rising,gcc_50,2012-03-27,2012-04-17,2012-05-15,2012-03-26,2012-04-16,2012-05-14,2012-03-28,2012-04-18,2012-05-16,7.40928,11.34539,18.27297,4.79237,31.67589
vancouverisland,EN,1000,rising,gcc_50,2013-04-20,2013-05-05,2013-05-17,2013-04-19,2013-05-04,2013-05-16,2013-04-21,2013-05-06,2013-05-18,12.59824,15.35034,20.40461,10.68192,29.95062
