#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:51:47
# Spline RMSE gcc_mean: 2.31083
# Spline RMSE gcc_50: 2.34862
# Spline RMSE gcc_75: 2.31844
# Spline RMSE gcc_90: 2.37966
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-03-09,2012-03-26,2012-04-24,2012-03-08,2012-03-25,2012-04-23,2012-03-10,2012-03-27,2012-04-25,2.79868,6.42069,12.86989,0.35991,25.15917
canadaOBS,EN,1000,rising,gcc_90,2013-03-28,2013-04-16,2013-05-09,2013-03-27,2013-04-15,2013-05-08,2013-03-29,2013-04-17,2013-05-10,0.27196,4.23925,11.53152,-2.35121,25.03346
canadaOBS,EN,1000,rising,gcc_90,2014-03-26,2014-04-15,2014-05-09,2014-03-25,2014-04-14,2014-05-08,2014-03-27,2014-04-16,2014-05-10,-0.30612,4.14179,12.07986,-3.28693,26.86617
canadaOBS,EN,1000,rising,gcc_90,2015-03-15,2015-04-04,2015-05-01,2015-03-14,2015-04-03,2015-04-30,2015-03-16,2015-04-05,2015-05-02,0.49115,4.43471,11.34561,-2.17572,24.49722
canadaOBS,EN,1000,rising,gcc_90,2016-03-19,2016-04-07,2016-05-01,2016-03-18,2016-04-06,2016-04-30,2016-03-20,2016-04-08,2016-05-02,0.87513,5.138,12.82599,-1.99963,27.10988
canadaOBS,EN,1000,rising,gcc_90,2017-03-20,2017-04-10,2017-05-05,2017-03-03,2017-04-09,2017-05-03,2017-03-27,2017-04-11,2017-05-06,0.93449,5.20283,13.0691,-1.93947,27.45445
canadaOBS,EN,1000,rising,gcc_90,2018-03-13,2018-04-01,2018-04-27,2018-03-12,2018-03-15,2018-04-26,2018-03-14,2018-04-26,2018-04-28,1.63235,6.02572,13.6201,-1.11003,28.04626
canadaOBS,EN,1000,rising,gcc_75,2012-03-09,2012-03-26,2012-04-24,2012-03-08,2012-03-25,2012-04-22,2012-03-10,2012-03-27,2012-04-25,1.8807,5.41019,11.65843,-0.49785,23.35095
canadaOBS,EN,1000,rising,gcc_75,2013-03-28,2013-04-16,2013-05-09,2013-03-27,2013-04-15,2013-05-08,2013-03-29,2013-04-17,2013-05-10,-0.77188,3.11407,10.16709,-3.3497,23.27398
canadaOBS,EN,1000,rising,gcc_75,2014-03-26,2014-04-15,2014-05-08,2014-03-25,2014-04-14,2014-05-07,2014-03-27,2014-04-16,2014-05-09,-1.43793,2.85528,10.18449,-4.32897,24.65096
canadaOBS,EN,1000,rising,gcc_75,2015-03-14,2015-04-02,2015-04-30,2015-03-13,2015-04-01,2015-04-29,2015-03-15,2015-04-04,2015-05-01,-0.5692,3.09043,9.59771,-2.96797,21.99241
canadaOBS,EN,1000,rising,gcc_75,2016-03-19,2016-04-07,2016-05-01,2016-03-18,2016-04-06,2016-04-30,2016-03-20,2016-04-08,2016-05-02,0.04152,4.13166,11.51572,-2.72129,25.28115
canadaOBS,EN,1000,rising,gcc_75,2017-03-21,2017-04-11,2017-05-05,2017-03-03,2017-04-10,2017-05-04,2017-03-27,2017-04-12,2017-05-06,0.29082,4.45253,11.74576,-2.44523,25.59862
canadaOBS,EN,1000,rising,gcc_75,2018-03-13,2018-04-01,2018-04-27,2018-03-12,2018-03-15,2018-04-26,2018-03-14,2018-04-26,2018-04-28,0.87233,5.01452,12.3468,-1.87623,26.20381
canadaOBS,EN,1000,rising,gcc_50,2012-03-07,2012-03-24,2012-04-22,2012-03-06,2012-03-23,2012-04-21,2012-03-08,2012-03-25,2012-04-23,0.22226,3.52174,9.3824,-1.91882,20.48462
canadaOBS,EN,1000,rising,gcc_50,2013-03-30,2013-04-17,2013-05-09,2013-03-29,2013-04-16,2013-05-08,2013-03-31,2013-04-18,2013-05-10,-2.15957,1.55802,8.1103,-4.62763,20.3661
canadaOBS,EN,1000,rising,gcc_50,2014-03-26,2014-04-15,2014-05-08,2014-03-25,2014-04-14,2014-05-07,2014-03-27,2014-04-16,2014-05-09,-2.87624,1.23077,8.266,-5.56451,22.00113
canadaOBS,EN,1000,rising,gcc_50,2015-03-12,2015-03-31,2015-04-29,2015-03-11,2015-03-30,2015-04-28,2015-03-13,2015-04-01,2015-04-30,-2.02981,1.41957,7.33585,-4.18001,18.60794
canadaOBS,EN,1000,rising,gcc_50,2016-03-20,2016-04-08,2016-05-01,2016-03-19,2016-04-07,2016-04-30,2016-03-21,2016-04-09,2016-05-02,-1.25683,2.61773,9.38387,-3.85062,22.29386
canadaOBS,EN,1000,rising,gcc_50,2017-03-20,2017-04-10,2017-05-04,2017-03-03,2017-04-09,2017-05-03,2017-03-27,2017-04-11,2017-05-05,-0.9604,2.78681,9.5354,-3.46554,22.38841
canadaOBS,EN,1000,rising,gcc_50,2018-03-13,2018-04-01,2018-04-27,2018-03-12,2018-03-15,2018-04-26,2018-03-14,2018-04-26,2018-04-28,-0.40422,3.48156,10.3978,-2.89935,23.17445
canadaOBS,EN,1000,rising,gcc_mean,2012-03-07,2012-03-24,2012-04-22,2012-03-06,2012-03-23,2012-04-21,2012-03-08,2012-03-25,2012-04-23,-0.19747,3.08091,8.68367,-2.2587,19.32619
canadaOBS,EN,1000,rising,gcc_mean,2013-03-30,2013-04-17,2013-05-09,2013-03-29,2013-04-16,2013-05-08,2013-03-31,2013-04-18,2013-05-10,-2.48142,1.04219,7.23431,-4.79708,19.18133
