#
# Transition date estimate for niwot3
#
# Site: niwot3
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:52:10
# Spline RMSE gcc_mean: 1.95396
# Spline RMSE gcc_50: 2.10227
# Spline RMSE gcc_75: 2.04578
# Spline RMSE gcc_90: 2.03364
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot3,EN,1000,rising,gcc_90,2016-04-09,2016-04-27,2016-05-19,2016-04-08,2016-04-26,2016-05-18,2016-04-11,2016-04-28,2016-05-20,17.80888,20.95631,26.47885,15.8012,37.01761
niwot3,EN,1000,rising,gcc_90,2017-03-20,2017-04-11,2017-05-15,2017-03-19,2017-04-10,2017-05-14,2017-03-21,2017-04-12,2017-05-16,18.53797,21.82952,27.35401,16.45772,38.04876
niwot3,EN,1000,rising,gcc_90,2018-04-11,2018-04-24,2018-05-11,2018-04-10,2018-04-23,2018-05-10,2018-04-12,2018-04-25,2018-05-12,16.99238,20.67529,26.89494,14.80422,38.54864
niwot3,EN,1000,rising,gcc_75,2016-04-11,2016-04-28,2016-05-20,2016-04-10,2016-04-27,2016-05-19,2016-04-12,2016-04-29,2016-05-21,16.76676,19.70607,25.09809,14.77375,35.06044
niwot3,EN,1000,rising,gcc_75,2017-03-21,2017-04-12,2017-05-17,2017-03-20,2017-04-11,2017-05-15,2017-03-22,2017-04-13,2017-05-18,17.71894,20.80983,26.17074,15.74743,36.28725
niwot3,EN,1000,rising,gcc_75,2018-04-11,2018-04-24,2018-05-11,2018-04-10,2018-04-23,2018-05-10,2018-04-12,2018-04-25,2018-05-12,16.24925,19.69971,25.57571,14.09305,36.76419
niwot3,EN,1000,rising,gcc_50,2016-04-12,2016-04-30,2016-05-20,2016-04-11,2016-04-29,2016-05-19,2016-04-13,2016-05-01,2016-05-21,15.35392,18.18718,23.03804,13.54368,32.4402
niwot3,EN,1000,rising,gcc_50,2017-03-19,2017-04-10,2017-05-18,2017-03-18,2017-04-09,2017-05-16,2017-03-20,2017-04-11,2017-05-19,16.4285,19.36598,24.45781,14.56109,34.06532
niwot3,EN,1000,rising,gcc_50,2018-04-11,2018-04-24,2018-05-11,2018-04-10,2018-04-23,2018-05-10,2018-04-12,2018-04-25,2018-05-12,15.0595,18.27643,23.96958,12.91838,34.62056
niwot3,EN,1000,rising,gcc_mean,2016-04-12,2016-04-30,2016-05-20,2016-04-11,2016-04-29,2016-05-19,2016-04-13,2016-05-01,2016-05-21,14.90816,17.87478,22.95682,13.07916,32.45328
niwot3,EN,1000,rising,gcc_mean,2017-03-19,2017-04-12,2017-05-16,2017-03-18,2017-04-11,2017-05-15,2017-03-20,2017-04-13,2017-05-17,16.30168,19.15991,24.04187,14.46792,33.50322
niwot3,EN,1000,rising,gcc_mean,2018-04-11,2018-04-23,2018-05-10,2018-04-10,2018-04-22,2018-05-09,2018-04-12,2018-04-24,2018-05-11,14.66368,17.67572,23.26157,12.67386,33.64695
niwot3,EN,1000,falling,gcc_90,2018-11-19,2018-11-03,2018-10-12,2018-11-20,2018-11-04,2018-10-13,2018-11-17,2018-11-02,2018-10-11,18.85426,22.23465,27.83601,16.83484,38.45652
niwot3,EN,1000,falling,gcc_90,2017-11-18,2017-11-02,2017-10-10,2017-11-19,2017-11-03,2017-10-11,2017-11-17,2017-11-01,2017-10-09,17.32549,20.68896,26.71591,15.04364,38.04198
niwot3,EN,1000,falling,gcc_90,2016-11-16,2016-11-03,2016-10-15,2016-11-17,2016-11-04,2016-10-16,2016-11-15,2016-11-02,2016-10-14,17.41851,20.56462,26.33035,15.29703,37.00914
niwot3,EN,1000,falling,gcc_90,2015-11-11,2015-10-18,2015-09-13,2015-11-12,2015-10-19,2015-09-14,2015-11-10,2015-10-17,2015-09-12,19.16541,25.11426,35.20499,15.42251,54.64392
niwot3,EN,1000,falling,gcc_75,2018-11-19,2018-11-04,2018-10-13,2018-11-20,2018-11-05,2018-10-14,2018-11-18,2018-11-03,2018-10-12,17.76557,20.92204,26.16432,15.70853,36.60664
niwot3,EN,1000,falling,gcc_75,2017-11-19,2017-11-01,2017-10-09,2017-11-20,2017-11-02,2017-10-10,2017-11-18,2017-10-31,2017-10-08,15.92951,19.23428,25.16483,13.74122,36.34305
niwot3,EN,1000,falling,gcc_75,2016-11-16,2016-11-01,2016-10-12,2016-11-17,2016-11-02,2016-10-13,2016-11-15,2016-10-31,2016-10-11,16.52943,19.73124,24.99738,14.64252,35.02823
niwot3,EN,1000,falling,gcc_75,2015-11-08,2015-10-19,2015-09-14,2015-11-09,2015-10-20,2015-09-15,2015-11-07,2015-10-18,2015-09-13,17.60953,23.28212,32.73798,14.03216,51.33447
niwot3,EN,1000,falling,gcc_50,2018-11-18,2018-11-05,2018-10-13,2018-11-19,2018-11-06,2018-10-14,2018-11-17,2018-11-03,2018-10-12,16.35841,19.137,24.50922,14.34485,34.50105
niwot3,EN,1000,falling,gcc_50,2017-11-17,2017-10-30,2017-10-08,2017-11-18,2017-10-31,2017-10-09,2017-11-16,2017-10-29,2017-10-07,14.5694,17.73052,23.25458,12.41004,34.01588
niwot3,EN,1000,falling,gcc_50,2016-11-13,2016-10-30,2016-10-10,2016-11-14,2016-10-31,2016-10-11,2016-11-12,2016-10-29,2016-10-09,14.93525,17.80374,22.82498,13.07642,32.40021
niwot3,EN,1000,falling,gcc_50,2015-11-08,2015-10-21,2015-09-17,2015-11-09,2015-10-22,2015-09-18,2015-11-07,2015-10-20,2015-09-16,15.78058,20.52212,28.84961,12.73705,44.65458
niwot3,EN,1000,falling,gcc_mean,2018-11-17,2018-11-02,2018-10-12,2018-11-18,2018-11-03,2018-10-13,2018-11-16,2018-11-01,2018-10-11,16.17237,19.04756,24.04693,14.28368,33.62679
niwot3,EN,1000,falling,gcc_mean,2017-11-19,2017-10-31,2017-10-06,2017-11-20,2017-11-01,2017-10-07,2017-11-18,2017-10-30,2017-10-05,14.45625,17.57637,23.11519,12.45422,33.49762
niwot3,EN,1000,falling,gcc_mean,2016-11-15,2016-11-01,2016-10-12,2016-11-16,2016-11-02,2016-10-13,2016-11-14,2016-10-31,2016-10-11,14.80266,17.7371,22.79533,13.01152,32.42992
niwot3,EN,1000,falling,gcc_mean,2015-11-08,2015-10-20,2015-09-16,2015-11-09,2015-10-21,2015-09-18,2015-11-07,2015-10-19,2015-09-15,15.71253,20.54927,29.29209,12.58028,45.24604
