#
# Transition date estimate for turkeypointenf74
#
# Site: turkeypointenf74
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:53:04
# Spline RMSE gcc_mean: 2.85531
# Spline RMSE gcc_50: 3.02643
# Spline RMSE gcc_75: 3.04786
# Spline RMSE gcc_90: 3.1084
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf74,EN,1000,rising,gcc_90,2013-04-02,2013-04-16,2013-05-10,2013-04-01,2013-04-15,2013-05-08,2013-04-03,2013-04-17,2013-05-11,8.74984,13.37377,21.2999,5.97461,36.12317
turkeypointenf74,EN,1000,rising,gcc_90,2014-04-01,2014-04-16,2014-05-05,2014-03-31,2014-04-14,2014-04-14,2014-04-02,2014-05-14,2014-05-14,9.97891,13.86924,21.07454,7.54937,33.91932
turkeypointenf74,EN,1000,rising,gcc_90,2015-03-23,2015-04-04,2015-04-23,2015-03-22,2015-04-03,2015-04-22,2015-03-25,2015-04-05,2015-04-24,8.28388,12.65199,19.74112,5.81569,33.57673
turkeypointenf74,EN,1000,rising,gcc_90,2016-03-27,2016-04-11,2016-05-04,2016-03-26,2016-04-10,2016-05-03,2016-03-28,2016-04-13,2016-05-05,13.77856,16.89016,22.60177,11.72257,33.36934
turkeypointenf74,EN,1000,rising,gcc_90,2017-03-24,2017-04-10,2017-05-08,2017-03-23,2017-04-09,2017-05-07,2017-03-25,2017-04-11,2017-05-09,11.55234,15.90729,23.39133,8.93494,37.38307
turkeypointenf74,EN,1000,rising,gcc_90,2018-04-02,2018-04-16,2018-05-13,2018-04-01,2018-04-15,2018-05-12,2018-04-03,2018-04-17,2018-05-14,18.47224,23.64912,32.93266,14.97429,50.29429
turkeypointenf74,EN,1000,rising,gcc_75,2013-04-03,2013-04-17,2013-05-11,2013-04-02,2013-04-16,2013-05-10,2013-04-04,2013-04-18,2013-05-12,7.56123,11.84992,19.05997,4.72316,33.30277
turkeypointenf74,EN,1000,rising,gcc_75,2014-04-01,2014-04-16,2014-05-05,2014-03-31,2014-04-14,2014-04-14,2014-04-02,2014-05-14,2014-05-14,8.0188,11.69129,18.5111,5.48952,30.84126
turkeypointenf74,EN,1000,rising,gcc_75,2015-03-24,2015-04-05,2015-04-25,2015-03-23,2015-04-04,2015-04-24,2015-03-25,2015-04-06,2015-04-26,6.95683,11.04619,17.73755,4.6478,30.45703
turkeypointenf74,EN,1000,rising,gcc_75,2016-03-29,2016-04-13,2016-05-05,2016-03-28,2016-04-12,2016-05-04,2016-03-30,2016-04-14,2016-05-06,12.27158,15.361,20.52274,10.38067,30.43675
