#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:53:10
# Spline RMSE gcc_mean: 2.37665
# Spline RMSE gcc_50: 2.24717
# Spline RMSE gcc_75: 2.07972
# Spline RMSE gcc_90: 2.04069
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,1000,rising,gcc_90,2012-04-20,2012-05-16,2012-05-30,2012-04-19,2012-05-15,2012-05-29,2012-04-21,2012-05-17,2012-05-31,35.65498,37.08711,39.81046,34.64623,44.79403
vancouverisland,EN,1000,rising,gcc_90,2013-04-29,2013-05-08,2013-05-20,2013-04-28,2013-05-07,2013-05-19,2013-05-01,2013-05-10,2013-05-21,31.99833,33.70277,37.32833,30.86206,43.25807
vancouverisland,EN,1000,rising,gcc_90,2014-04-18,2014-04-28,2014-05-13,2014-04-17,2014-04-27,2014-05-12,2014-04-19,2014-04-29,2014-05-14,28.2144,30.2356,33.73697,26.94132,40.42193
vancouverisland,EN,1000,rising,gcc_90,2015-04-27,2015-05-03,2015-05-13,2015-04-26,2015-05-02,2015-05-12,2015-04-28,2015-05-04,2015-05-14,30.30782,31.92951,35.35119,29.09581,41.45273
vancouverisland,EN,1000,rising,gcc_75,2012-04-20,2012-05-18,2012-06-01,2012-04-19,2012-05-17,2012-05-31,2012-04-21,2012-05-19,2012-06-02,34.79651,36.08408,38.60902,33.9142,43.00603
vancouverisland,EN,1000,rising,gcc_75,2013-04-28,2013-05-08,2013-05-20,2013-04-27,2013-05-07,2013-05-19,2013-04-29,2013-05-09,2013-05-21,30.39324,32.09735,35.48388,29.21532,41.61615
vancouverisland,EN,1000,rising,gcc_75,2014-04-18,2014-04-28,2014-05-14,2014-04-17,2014-04-27,2014-05-13,2014-04-20,2014-04-29,2014-05-15,26.53235,28.39046,31.88364,25.39024,38.15738
vancouverisland,EN,1000,rising,gcc_75,2015-04-26,2015-05-03,2015-05-13,2015-04-25,2015-05-02,2015-05-12,2015-04-27,2015-05-04,2015-05-14,28.09189,29.95588,33.42512,26.99379,39.69617
vancouverisland,EN,1000,rising,gcc_50,2013-04-26,2013-05-08,2013-05-20,2013-04-25,2013-05-07,2013-05-19,2013-04-28,2013-05-09,2013-05-21,28.46837,30.22525,33.3598,27.37379,39.03871
vancouverisland,EN,1000,rising,gcc_50,2014-04-19,2014-04-29,2014-05-15,2014-04-18,2014-04-28,2014-05-14,2014-04-20,2014-04-30,2014-05-16,24.83099,26.52258,29.69533,23.70035,35.63923
vancouverisland,EN,1000,rising,gcc_50,2015-04-25,2015-05-03,2015-05-13,2015-04-24,2015-05-02,2015-05-12,2015-04-27,2015-05-04,2015-05-14,25.68621,27.72319,31.15836,24.58574,37.3194
vancouverisland,EN,1000,rising,gcc_mean,2012-03-30,2012-04-18,2012-05-26,2012-03-29,2012-04-17,2012-05-25,2012-03-31,2012-04-19,2012-05-27,31.32321,32.77552,35.42924,30.33089,40.26646
vancouverisland,EN,1000,rising,gcc_mean,2013-04-25,2013-05-07,2013-05-19,2013-04-24,2013-05-06,2013-05-18,2013-04-27,2013-05-08,2013-05-20,28.19614,29.85458,33.07915,27.09179,38.72819
vancouverisland,EN,1000,rising,gcc_mean,2014-04-17,2014-04-27,2014-05-14,2014-04-16,2014-04-26,2014-05-13,2014-04-18,2014-04-29,2014-05-15,24.27399,25.9775,29.47778,23.06468,35.51534
