#
# Transition date estimate for chibougamau
#
# Site: chibougamau
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2010
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:50:07
# Spline RMSE gcc_mean: 0.02056
# Spline RMSE gcc_50: 0.02109
# Spline RMSE gcc_75: 0.02208
# Spline RMSE gcc_90: 0.02396
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
chibougamau,EN,1000,rising,gcc_90,2009-04-08,2009-04-25,2009-05-27,2009-04-02,2009-04-22,2009-05-23,2009-04-12,2009-04-29,2009-05-30,0.29649,0.35309,0.45501,0.2573,0.65256
chibougamau,EN,1000,rising,gcc_90,2010-03-31,2010-04-18,2010-05-12,2010-03-25,2010-04-14,2010-05-08,2010-04-06,2010-04-23,2010-05-14,0.33003,0.36904,0.44328,0.3028,0.57658
chibougamau,EN,1000,rising,gcc_75,2009-04-12,2009-04-29,2009-05-30,2009-04-09,2009-04-26,2009-05-26,2009-04-16,2009-05-02,2009-06-01,0.28374,0.34322,0.44211,0.24847,0.63207
chibougamau,EN,1000,rising,gcc_75,2010-03-29,2010-04-18,2010-05-12,2010-03-25,2010-04-14,2010-05-09,2010-04-05,2010-04-23,2010-05-15,0.31154,0.35251,0.42248,0.28657,0.55618
chibougamau,EN,1000,rising,gcc_50,2009-04-13,2009-05-01,2009-05-31,2009-04-09,2009-04-28,2009-05-28,2009-04-17,2009-05-04,2009-06-02,0.26369,0.32106,0.4188,0.22681,0.60465
chibougamau,EN,1000,rising,gcc_50,2010-04-02,2010-04-20,2010-05-13,2010-03-28,2010-04-16,2010-05-09,2010-04-08,2010-04-25,2010-05-15,0.29589,0.33512,0.40508,0.27055,0.53463
chibougamau,EN,1000,rising,gcc_mean,2009-04-12,2009-04-30,2009-05-31,2009-04-09,2009-04-27,2009-05-27,2009-04-16,2009-05-04,2009-06-02,0.26192,0.31715,0.41152,0.22767,0.58974
chibougamau,EN,1000,rising,gcc_mean,2010-04-01,2010-04-19,2010-05-12,2010-03-27,2010-04-15,2010-05-09,2010-04-06,2010-04-23,2010-05-15,0.29487,0.33333,0.40085,0.26876,0.53003
chibougamau,EN,1000,falling,gcc_90,2010-11-02,2010-10-23,2010-10-02,2010-11-08,2010-10-27,2010-10-23,2010-10-28,2010-10-17,2010-08-30,0.29304,0.33793,0.42382,0.26223,0.57769
chibougamau,EN,1000,falling,gcc_90,2009-12-04,2009-11-09,2009-10-08,2010-03-03,2009-11-17,2009-10-12,2009-11-28,2009-11-02,2009-10-05,0.29612,0.35397,0.45426,0.2577,0.6461
chibougamau,EN,1000,falling,gcc_90,2008-11-14,2008-10-29,2008-10-03,2008-11-22,2008-11-02,2008-10-07,2008-11-07,2008-10-24,2008-10-01,0.30117,0.34462,0.42288,0.27201,0.56768
chibougamau,EN,1000,falling,gcc_75,2010-11-01,2010-10-21,2010-10-01,2010-11-06,2010-10-23,2010-10-23,2010-10-27,2010-08-30,2010-08-30,0.28366,0.33004,0.40939,0.25686,0.55643
chibougamau,EN,1000,falling,gcc_75,2009-11-29,2009-10-29,2009-10-03,2010-03-03,2009-11-02,2009-10-06,2009-11-28,2009-10-25,2009-09-30,0.29941,0.35382,0.44709,0.26489,0.62764
chibougamau,EN,1000,falling,gcc_75,2008-11-14,2008-10-30,2008-10-04,2008-11-22,2008-11-03,2008-10-08,2008-11-07,2008-10-25,2008-10-01,0.28341,0.32724,0.40092,0.25722,0.54426
chibougamau,EN,1000,falling,gcc_50,2010-10-29,2010-10-15,2010-09-29,2010-11-04,2010-10-23,2010-10-23,2010-10-21,2010-08-30,2010-08-30,0.27153,0.31477,0.39013,0.24388,0.53515
chibougamau,EN,1000,falling,gcc_50,2009-10-30,2009-10-18,2009-09-27,2009-11-03,2009-10-21,2009-10-01,2009-10-27,2009-10-14,2009-09-25,0.31706,0.36422,0.44658,0.28632,0.60091
chibougamau,EN,1000,falling,gcc_50,2008-11-05,2008-10-23,2008-09-30,2008-11-10,2008-10-27,2008-10-04,2008-10-31,2008-10-18,2008-09-28,0.27908,0.31928,0.39078,0.25451,0.52044
chibougamau,EN,1000,falling,gcc_mean,2010-10-29,2010-10-15,2010-09-28,2010-11-03,2010-10-23,2010-10-23,2010-10-22,2010-08-30,2010-08-30,0.26456,0.30931,0.38744,0.23733,0.53036
chibougamau,EN,1000,falling,gcc_mean,2009-11-06,2009-10-22,2009-10-01,2009-11-12,2009-10-25,2009-10-04,2009-10-31,2009-10-19,2009-09-28,0.29901,0.3476,0.42986,0.26882,0.58679
chibougamau,EN,1000,falling,gcc_mean,2008-11-05,2008-10-23,2008-10-01,2008-11-10,2008-10-26,2008-10-04,2008-10-31,2008-10-18,2008-09-28,0.27657,0.31546,0.38228,0.25394,0.50878
