#
# Transition date estimate for turkeypointenf02
#
# Site: turkeypointenf02
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:51:00
# Spline RMSE gcc_mean: 0.02937
# Spline RMSE gcc_50: 0.03022
# Spline RMSE gcc_75: 0.0302
# Spline RMSE gcc_90: 0.02994
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
turkeypointenf02,EN,1000,rising,gcc_90,2013-04-01,2013-04-16,2013-05-11,2013-03-29,2013-04-13,2013-05-08,2013-04-05,2013-04-19,2013-05-13,-0.09615,-0.02614,0.08872,-0.13846,0.31195
turkeypointenf02,EN,1000,rising,gcc_90,2014-03-31,2014-04-14,2014-05-09,2014-03-27,2014-04-11,2014-05-05,2014-04-03,2014-04-17,2014-05-11,-0.06991,-0.01142,0.09249,-0.10946,0.28716
turkeypointenf02,EN,1000,rising,gcc_90,2015-03-31,2015-04-13,2015-05-07,2015-03-28,2015-04-11,2015-05-03,2015-04-03,2015-04-17,2015-05-10,-0.03441,0.02193,0.12715,-0.07372,0.32734
turkeypointenf02,EN,1000,rising,gcc_90,2016-03-30,2016-04-15,2016-05-12,2016-03-26,2016-04-12,2016-05-08,2016-04-04,2016-04-19,2016-05-16,0.00139,0.05199,0.1383,-0.03096,0.30652
turkeypointenf02,EN,1000,rising,gcc_90,2017-03-20,2017-04-05,2017-04-26,2017-03-17,2017-04-02,2017-04-23,2017-03-25,2017-04-09,2017-04-29,-0.01855,0.03259,0.11903,-0.04948,0.2844
turkeypointenf02,EN,1000,rising,gcc_90,2018-04-05,2018-04-18,2018-05-11,2018-04-02,2018-04-16,2018-05-07,2018-04-09,2018-04-21,2018-05-14,-0.03616,0.01808,0.11331,-0.07196,0.29801
turkeypointenf02,EN,1000,rising,gcc_75,2013-04-01,2013-04-16,2013-05-11,2013-03-29,2013-04-14,2013-05-08,2013-04-05,2013-04-19,2013-05-14,-0.10488,-0.03709,0.07441,-0.1459,0.29309
turkeypointenf02,EN,1000,rising,gcc_75,2014-04-01,2014-04-15,2014-05-10,2014-03-28,2014-04-12,2014-05-06,2014-04-05,2014-04-18,2014-05-13,-0.07816,-0.02144,0.07834,-0.11605,0.26865
turkeypointenf02,EN,1000,rising,gcc_75,2015-04-01,2015-04-14,2015-05-08,2015-03-29,2015-04-12,2015-05-04,2015-04-05,2015-04-18,2015-05-11,-0.04495,0.01089,0.11295,-0.08154,0.30541
turkeypointenf02,EN,1000,rising,gcc_75,2016-03-31,2016-04-16,2016-05-14,2016-03-27,2016-04-13,2016-05-09,2016-04-05,2016-04-20,2016-05-17,-0.00922,0.03995,0.12529,-0.03928,0.28411
turkeypointenf02,EN,1000,rising,gcc_75,2017-03-21,2017-04-06,2017-04-27,2017-03-17,2017-04-03,2017-04-23,2017-03-26,2017-04-09,2017-04-30,-0.03035,0.01932,0.10274,-0.06146,0.26298
turkeypointenf02,EN,1000,rising,gcc_75,2018-04-05,2018-04-18,2018-05-12,2018-04-01,2018-04-16,2018-05-08,2018-04-09,2018-04-22,2018-05-15,-0.04546,0.00568,0.09936,-0.07975,0.27609
turkeypointenf02,EN,1000,rising,gcc_50,2013-04-01,2013-04-16,2013-05-11,2013-03-29,2013-04-13,2013-05-08,2013-04-05,2013-04-19,2013-05-14,-0.11759,-0.05209,0.05542,-0.15728,0.26618
turkeypointenf02,EN,1000,rising,gcc_50,2014-04-02,2014-04-16,2014-05-12,2014-03-29,2014-04-14,2014-05-08,2014-04-06,2014-04-20,2014-05-14,-0.09273,-0.03842,0.06119,-0.12978,0.24544
