#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:44:39
# Spline RMSE gcc_mean: 0.00384
# Spline RMSE gcc_50: 0.00435
# Spline RMSE gcc_75: 0.00413
# Spline RMSE gcc_90: 0.00425
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,3000,rising,gcc_90,2011-03-31,2011-04-16,2011-05-10,2011-03-26,2011-04-10,2011-05-05,2011-04-06,2011-04-23,2011-05-14,0.36486,0.36913,0.37629,0.36228,0.39018
howland1,EN,3000,rising,gcc_90,2012-03-17,2012-04-01,2012-05-01,2012-03-10,2012-03-27,2012-04-24,2012-03-23,2012-04-07,2012-05-06,0.36531,0.36923,0.3762,0.36264,0.38951
howland1,EN,3000,rising,gcc_90,2013-03-29,2013-04-13,2013-05-12,2013-03-25,2013-04-09,2013-05-07,2013-04-03,2013-04-19,2013-05-16,0.36378,0.36843,0.37664,0.36093,0.39206
howland1,EN,3000,rising,gcc_90,2014-04-02,2014-04-16,2014-05-13,2014-03-29,2014-04-12,2014-05-08,2014-04-07,2014-04-21,2014-05-16,0.36362,0.36837,0.37678,0.3607,0.39226
howland1,EN,3000,rising,gcc_90,2015-04-01,2015-04-15,2015-05-12,2015-03-27,2015-04-11,2015-05-06,2015-04-07,2015-04-20,2015-05-17,0.3638,0.36835,0.37621,0.36108,0.39123
howland1,EN,3000,rising,gcc_90,2016-03-29,2016-04-12,2016-05-06,2016-03-24,2016-04-09,2016-05-01,2016-04-03,2016-04-17,2016-05-11,0.3626,0.36721,0.37555,0.35963,0.39112
howland1,EN,3000,rising,gcc_90,2017-03-31,2017-04-14,2017-05-06,2017-03-25,2017-04-10,2017-05-01,2017-04-06,2017-04-19,2017-05-10,0.36223,0.3665,0.37416,0.35942,0.38853
howland1,EN,3000,rising,gcc_90,2018-04-01,2018-04-15,2018-05-07,2018-03-25,2018-04-12,2018-05-02,2018-04-07,2018-04-20,2018-05-11,0.35964,0.36402,0.37224,0.3566,0.38742
howland1,EN,3000,rising,gcc_75,2011-03-27,2011-04-12,2011-05-09,2011-03-22,2011-04-07,2011-05-04,2011-04-02,2011-04-19,2011-05-12,0.36122,0.36569,0.37336,0.35854,0.38762
howland1,EN,3000,rising,gcc_75,2012-03-17,2012-04-02,2012-05-03,2012-03-11,2012-03-28,2012-04-27,2012-03-24,2012-04-09,2012-05-08,0.36268,0.36671,0.37387,0.36007,0.38751
howland1,EN,3000,rising,gcc_75,2013-03-28,2013-04-12,2013-05-11,2013-03-24,2013-04-08,2013-05-06,2013-04-02,2013-04-17,2013-05-14,0.36084,0.3656,0.3739,0.35794,0.38926
howland1,EN,3000,rising,gcc_75,2014-04-02,2014-04-17,2014-05-14,2014-03-29,2014-04-13,2014-05-10,2014-04-08,2014-04-23,2014-05-18,0.36106,0.36575,0.37378,0.35824,0.38927
howland1,EN,3000,rising,gcc_75,2015-03-29,2015-04-13,2015-05-11,2015-03-24,2015-04-09,2015-05-04,2015-04-04,2015-04-18,2015-05-15,0.36046,0.36506,0.37298,0.3577,0.38788
