#
# Transition date estimate for niwot3
#
# Site: niwot3
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:44:46
# Spline RMSE gcc_mean: 0.00306
# Spline RMSE gcc_50: 0.00333
# Spline RMSE gcc_75: 0.00369
# Spline RMSE gcc_90: 0.00339
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot3,EN,1000,rising,gcc_90,2016-04-08,2016-04-25,2016-05-16,2016-03-26,2016-04-20,2016-05-12,2016-04-16,2016-05-01,2016-05-20,0.36316,0.36822,0.37711,0.35982,0.39422
niwot3,EN,1000,rising,gcc_90,2017-03-14,2017-04-03,2017-05-11,2017-03-06,2017-03-28,2017-05-03,2017-03-23,2017-04-10,2017-05-17,0.3622,0.36791,0.37751,0.3586,0.39614
niwot3,EN,1000,rising,gcc_90,2018-04-09,2018-04-22,2018-05-10,2018-04-05,2018-04-19,2018-05-07,2018-04-14,2018-04-26,2018-05-12,0.36074,0.36689,0.3773,0.35712,0.3967
niwot3,EN,1000,rising,gcc_75,2016-04-08,2016-04-25,2016-05-17,2016-03-23,2016-04-19,2016-05-11,2016-04-17,2016-05-01,2016-05-20,0.36068,0.3657,0.37466,0.35733,0.39116
niwot3,EN,1000,rising,gcc_75,2017-03-22,2017-04-12,2017-05-16,2017-03-11,2017-04-04,2017-05-09,2017-03-31,2017-04-20,2017-05-23,0.36142,0.36656,0.37545,0.35793,0.39297
niwot3,EN,1000,rising,gcc_75,2018-04-08,2018-04-20,2018-05-09,2018-04-02,2018-04-17,2018-05-05,2018-04-13,2018-04-25,2018-05-11,0.35817,0.36375,0.37422,0.35448,0.39314
niwot3,EN,1000,rising,gcc_50,2016-04-09,2016-04-25,2016-05-18,2016-03-26,2016-04-20,2016-05-10,2016-04-18,2016-05-03,2016-05-20,0.35714,0.36177,0.37076,0.35418,0.38559
niwot3,EN,1000,rising,gcc_50,2017-03-29,2017-04-17,2017-05-18,2017-03-19,2017-04-10,2017-05-11,2017-04-06,2017-04-24,2017-05-25,0.35863,0.36332,0.37145,0.35544,0.38739
niwot3,EN,1000,rising,gcc_50,2018-04-10,2018-04-23,2018-05-11,2018-04-05,2018-04-20,2018-05-08,2018-04-15,2018-04-27,2018-05-13,0.35596,0.36152,0.37104,0.35269,0.38871
niwot3,EN,1000,rising,gcc_mean,2016-04-10,2016-04-28,2016-05-18,2016-04-01,2016-04-22,2016-05-13,2016-04-19,2016-05-04,2016-05-21,0.35746,0.36241,0.37056,0.35467,0.3859
niwot3,EN,1000,rising,gcc_mean,2017-03-25,2017-04-19,2017-05-23,2017-03-15,2017-04-09,2017-05-17,2017-04-02,2017-04-28,2017-05-28,0.35846,0.36337,0.37164,0.35533,0.38763
