#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2014
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:45:05
# Spline RMSE gcc_mean: 0.00465
# Spline RMSE gcc_50: 0.00466
# Spline RMSE gcc_75: 0.00518
# Spline RMSE gcc_90: 0.00621
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,1000,rising,gcc_90,2012-03-16,2012-03-25,2012-04-10,2012-02-22,2012-03-20,2012-04-04,2012-03-23,2012-03-31,2012-04-14,0.37178,0.37669,0.38686,0.36825,0.40432
oregonYP,EN,1000,rising,gcc_90,2013-03-04,2013-03-17,2013-04-11,2013-02-26,2013-03-09,2013-04-02,2013-03-11,2013-03-25,2013-04-20,0.37868,0.38423,0.39369,0.37494,0.41235
oregonYP,EN,1000,rising,gcc_90,2014-03-16,2014-03-27,2014-04-16,2014-03-11,2014-03-22,2014-04-10,2014-03-22,2014-04-02,2014-04-21,0.3738,0.37995,0.39107,0.36963,0.41217
oregonYP,EN,1000,rising,gcc_75,2012-03-16,2012-03-26,2012-04-10,2012-03-02,2012-03-21,2012-04-05,2012-03-23,2012-03-31,2012-04-14,0.36951,0.37493,0.38421,0.36629,0.40185
oregonYP,EN,1000,rising,gcc_75,2013-03-06,2013-03-19,2013-04-14,2013-02-28,2013-03-13,2013-04-06,2013-03-13,2013-03-26,2013-04-22,0.37609,0.38123,0.39051,0.37268,0.40813
oregonYP,EN,1000,rising,gcc_75,2014-03-17,2014-03-28,2014-04-18,2014-03-12,2014-03-23,2014-04-12,2014-03-22,2014-04-03,2014-04-22,0.37188,0.37746,0.38774,0.36815,0.40656
oregonYP,EN,1000,rising,gcc_50,2012-03-15,2012-03-24,2012-04-09,2012-02-29,2012-03-20,2012-04-04,2012-03-21,2012-03-29,2012-04-13,0.36664,0.37124,0.38056,0.36323,0.39761
oregonYP,EN,1000,rising,gcc_50,2013-03-08,2013-03-21,2013-04-15,2013-03-02,2013-03-16,2013-04-09,2013-03-15,2013-03-28,2013-04-22,0.37379,0.37866,0.38768,0.37042,0.40482
oregonYP,EN,1000,rising,gcc_50,2014-03-17,2014-03-28,2014-04-17,2014-03-13,2014-03-24,2014-04-12,2014-03-22,2014-04-02,2014-04-21,0.36891,0.37417,0.38376,0.36549,0.40183
oregonYP,EN,1000,rising,gcc_mean,2012-03-15,2012-03-25,2012-04-10,2012-03-01,2012-03-20,2012-04-05,2012-03-21,2012-03-30,2012-04-13,0.36695,0.37203,0.38126,0.36374,0.39777
oregonYP,EN,1000,rising,gcc_mean,2013-03-06,2013-03-20,2013-04-14,2013-03-01,2013-03-14,2013-04-07,2013-03-13,2013-03-27,2013-04-20,0.37344,0.37857,0.38756,0.3702,0.40435
oregonYP,EN,1000,rising,gcc_mean,2014-03-16,2014-03-27,2014-04-16,2014-03-13,2014-03-23,2014-04-10,2014-03-21,2014-04-01,2014-04-20,0.36842,0.37399,0.38383,0.3653,0.40179
oregonYP,EN,1000,falling,gcc_90,2014-12-10,2014-11-27,2014-11-06,2014-12-22,2014-12-22,2014-11-07,2014-11-25,2014-11-25,2014-09-01,0.38225,0.38675,0.39503,0.37917,0.41086
oregonYP,EN,1000,falling,gcc_90,2013-12-14,2013-12-01,2013-11-05,2013-12-30,2013-12-08,2013-11-18,2013-12-05,2013-11-25,2013-10-25,0.37473,0.38095,0.39166,0.37058,0.41254
oregonYP,EN,1000,falling,gcc_90,2012-12-31,2012-12-26,2012-12-14,2013-01-08,2013-01-08,2013-01-08,2012-12-12,2012-12-12,2012-12-12,0.37294,0.37721,0.38611,0.36996,0.40198
oregonYP,EN,1000,falling,gcc_90,2011-12-12,2011-12-03,2011-11-21,2011-12-21,2011-12-08,2011-11-26,2011-12-05,2011-11-27,2011-11-15,0.37138,0.37631,0.38631,0.36807,0.40321
