#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:46:04
# Spline RMSE gcc_mean: 0.00342
# Spline RMSE gcc_50: 0.00396
# Spline RMSE gcc_75: 0.00223
# Spline RMSE gcc_90: 0.00214
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,2000,rising,gcc_90,2017-04-17,2017-05-09,2017-05-22,2017-04-09,2017-05-04,2017-05-19,2017-04-27,2017-05-13,2017-05-24,0.38997,0.39319,0.39894,0.38796,0.40918
vancouverisland,EN,2000,rising,gcc_75,2017-04-19,2017-05-09,2017-05-22,2017-04-09,2017-05-05,2017-05-18,2017-04-30,2017-05-13,2017-05-24,0.38856,0.39145,0.39737,0.38652,0.4075
vancouverisland,EN,2000,rising,gcc_50,2017-04-20,2017-05-09,2017-05-21,2017-03-29,2017-05-01,2017-05-16,2017-05-08,2017-05-15,2017-05-24,0.38583,0.38861,0.39441,0.38384,0.40416
vancouverisland,EN,2000,rising,gcc_mean,2017-04-20,2017-05-09,2017-05-21,2017-04-01,2017-05-01,2017-05-16,2017-05-05,2017-05-14,2017-05-24,0.38512,0.38811,0.39357,0.38313,0.40341
vancouverisland,EN,2000,falling,gcc_90,2018-10-20,2018-10-08,2018-08-15,2018-10-24,2018-10-11,2018-08-24,2018-10-14,2018-10-03,2018-08-09,0.38541,0.38868,0.39456,0.38348,0.40538
vancouverisland,EN,2000,falling,gcc_75,2018-10-21,2018-10-11,2018-08-22,2018-10-25,2018-10-15,2018-09-16,2018-10-17,2018-10-06,2018-08-15,0.38301,0.38634,0.39195,0.381,0.40282
vancouverisland,EN,2000,falling,gcc_50,2018-09-11,2018-09-03,2018-08-13,2018-10-14,2018-09-10,2018-08-25,2018-09-03,2018-08-23,2018-08-04,0.38489,0.38732,0.39141,0.3834,0.39927
vancouverisland,EN,2000,falling,gcc_50,2017-11-24,2017-11-20,2017-11-08,2018-05-05,2018-05-05,2018-05-05,2017-11-01,2017-11-01,2017-11-01,0.38133,0.38467,0.39074,0.37992,0.40116
vancouverisland,EN,2000,falling,gcc_mean,2018-10-18,2018-09-15,2018-08-26,2018-10-22,2018-10-15,2018-09-03,2018-10-11,2018-09-08,2018-08-17,0.37892,0.38217,0.38763,0.37694,0.3983
vancouverisland,EN,2000,falling,gcc_mean,2017-11-24,2017-11-20,2017-11-10,2018-05-05,2018-05-05,2018-05-05,2017-11-01,2017-11-01,2017-11-01,0.37919,0.38287,0.3892,0.37766,0.40027
