#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:46:20
# Spline RMSE gcc_mean: 0.01485
# Spline RMSE gcc_50: 0.01507
# Spline RMSE gcc_75: 0.01307
# Spline RMSE gcc_90: 0.01385
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-05-02,2012-05-21,2012-06-07,2012-04-20,2012-05-11,2012-06-02,2012-05-13,2012-05-28,2012-06-11,-0.08965,-0.08195,-0.06904,-0.09427,-0.04466
canadaOBS,EN,1000,rising,gcc_90,2013-04-27,2013-05-09,2013-06-01,2013-04-21,2013-05-03,2013-05-20,2013-05-04,2013-05-17,2013-06-10,-0.10134,-0.09275,-0.07774,-0.10648,-0.05064
canadaOBS,EN,1000,rising,gcc_90,2014-04-28,2014-05-12,2014-06-04,2014-04-20,2014-05-06,2014-05-29,2014-05-05,2014-05-20,2014-06-09,-0.10966,-0.10036,-0.08455,-0.11549,-0.05426
canadaOBS,EN,1000,rising,gcc_90,2015-04-24,2015-05-15,2015-06-07,2015-04-11,2015-05-07,2015-06-02,2015-05-05,2015-05-24,2015-06-10,-0.11148,-0.10166,-0.08434,-0.11753,-0.05307
canadaOBS,EN,1000,rising,gcc_90,2016-03-25,2016-04-17,2016-05-12,2016-02-25,2016-04-11,2016-05-06,2016-04-07,2016-04-24,2016-05-18,-0.12615,-0.11392,-0.09153,-0.13469,-0.04874
canadaOBS,EN,1000,rising,gcc_90,2017-04-21,2017-05-05,2017-05-30,2017-04-13,2017-04-30,2017-05-24,2017-04-28,2017-05-12,2017-06-03,-0.11799,-0.10744,-0.08801,-0.12488,-0.05233
canadaOBS,EN,1000,rising,gcc_90,2018-04-13,2018-04-26,2018-05-17,2018-03-15,2018-03-15,2018-05-10,2018-04-26,2018-05-02,2018-05-23,-0.11934,-0.10859,-0.08978,-0.12636,-0.05437
canadaOBS,EN,1000,rising,gcc_75,2012-04-25,2012-05-12,2012-06-04,2012-04-12,2012-05-04,2012-05-29,2012-05-05,2012-05-22,2012-06-08,-0.10222,-0.09482,-0.08135,-0.10711,-0.05679
canadaOBS,EN,1000,rising,gcc_75,2013-04-25,2013-05-08,2013-05-31,2013-04-18,2013-05-02,2013-05-20,2013-05-03,2013-05-15,2013-06-10,-0.11221,-0.1035,-0.08946,-0.11712,-0.06204
canadaOBS,EN,1000,rising,gcc_75,2014-04-30,2014-05-14,2014-06-06,2014-04-23,2014-05-08,2014-05-31,2014-05-07,2014-05-22,2014-06-10,-0.1185,-0.10934,-0.09322,-0.1242,-0.0639
canadaOBS,EN,1000,rising,gcc_75,2015-04-25,2015-05-20,2015-06-09,2015-03-28,2015-05-10,2015-06-04,2015-05-09,2015-05-28,2015-06-13,-0.11884,-0.11093,-0.09721,-0.12404,-0.07067
canadaOBS,EN,1000,rising,gcc_75,2016-03-30,2016-04-19,2016-05-14,2016-03-09,2016-04-14,2016-05-08,2016-04-10,2016-04-25,2016-05-20,-0.13248,-0.12095,-0.09986,-0.14043,-0.05953
canadaOBS,EN,1000,rising,gcc_75,2017-04-20,2017-05-04,2017-05-28,2017-04-12,2017-04-29,2017-05-22,2017-04-27,2017-05-10,2017-06-01,-0.12832,-0.11776,-0.09975,-0.135,-0.06519
canadaOBS,EN,1000,rising,gcc_75,2018-04-13,2018-04-26,2018-05-16,2018-03-15,2018-03-15,2018-05-09,2018-04-26,2018-05-02,2018-05-22,-0.12541,-0.11535,-0.09858,-0.1313,-0.06707
