#
# Transition date estimate for niwot3
#
# Site: niwot3
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:46:45
# Spline RMSE gcc_mean: 0.00788
# Spline RMSE gcc_50: 0.00597
# Spline RMSE gcc_75: 0.01191
# Spline RMSE gcc_90: 0.02148
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot3,EN,1000,rising,gcc_90,2016-05-09,2016-05-28,2016-06-12,2016-04-01,2016-04-29,2016-06-02,2016-05-31,2016-06-08,2016-06-22,-0.03654,-0.02785,-0.01284,-0.04202,0.0155
niwot3,EN,1000,rising,gcc_90,2017-03-29,2017-04-07,2017-05-14,2017-03-21,2017-03-30,2017-04-19,2017-04-07,2017-04-21,2017-06-09,-0.05686,-0.04402,-0.02276,-0.06392,0.01829
niwot3,EN,1000,rising,gcc_90,2018-04-26,2018-05-08,2018-05-25,2018-02-24,2018-04-28,2018-05-15,2018-05-08,2018-05-17,2018-06-03,-0.03852,-0.02779,-0.00784,-0.04559,0.02881
niwot3,EN,1000,rising,gcc_75,2016-04-27,2016-05-14,2016-06-05,2016-04-11,2016-05-04,2016-05-29,2016-05-09,2016-05-21,2016-06-10,-0.06616,-0.05488,-0.03554,-0.07344,0.00082
niwot3,EN,1000,rising,gcc_75,2017-04-10,2017-04-26,2017-06-01,2017-04-01,2017-04-17,2017-05-21,2017-04-19,2017-05-07,2017-06-09,-0.06521,-0.05417,-0.03505,-0.07263,0.00177
niwot3,EN,1000,rising,gcc_75,2018-04-22,2018-05-04,2018-05-20,2018-04-17,2018-04-30,2018-05-15,2018-04-28,2018-05-08,2018-05-24,-0.07053,-0.05665,-0.03216,-0.07902,0.01309
niwot3,EN,1000,rising,gcc_50,2016-05-02,2016-05-15,2016-06-04,2016-04-27,2016-05-12,2016-05-31,2016-05-07,2016-05-19,2016-06-06,-0.07904,-0.06791,-0.04719,-0.08632,-0.01034
niwot3,EN,1000,rising,gcc_50,2017-04-15,2017-05-02,2017-06-02,2017-04-09,2017-04-27,2017-05-28,2017-04-21,2017-05-08,2017-06-05,-0.07564,-0.06539,-0.04726,-0.08227,-0.01372
niwot3,EN,1000,rising,gcc_50,2018-04-30,2018-05-09,2018-05-24,2018-04-27,2018-05-07,2018-05-21,2018-05-03,2018-05-11,2018-05-26,-0.07588,-0.06298,-0.04149,-0.08376,2e-05
niwot3,EN,1000,rising,gcc_mean,2016-05-02,2016-05-16,2016-06-05,2016-04-24,2016-05-12,2016-06-01,2016-05-10,2016-05-22,2016-06-08,-0.07142,-0.06085,-0.04129,-0.07815,-0.00536
niwot3,EN,1000,rising,gcc_mean,2017-04-13,2017-04-30,2017-06-01,2017-04-06,2017-04-23,2017-05-25,2017-04-20,2017-05-08,2017-06-06,-0.06951,-0.05919,-0.04175,-0.07638,-0.00756
niwot3,EN,1000,rising,gcc_mean,2018-04-24,2018-05-06,2018-05-22,2018-04-20,2018-05-03,2018-05-18,2018-04-29,2018-05-09,2018-05-25,-0.07536,-0.06181,-0.03842,-0.08351,0.00497
niwot3,EN,1000,falling,gcc_90,2018-11-28,2018-11-10,2018-10-12,2018-12-30,2018-11-26,2018-10-31,2018-11-10,2018-10-26,2018-09-21,-0.04975,-0.03711,-0.0149,-0.05826,0.02791
niwot3,EN,1000,falling,gcc_90,2017-11-11,2017-10-28,2017-10-10,2017-12-02,2017-11-07,2017-10-19,2017-10-29,2017-10-19,2017-09-30,-0.05669,-0.0447,-0.02243,-0.06469,0.01869
niwot3,EN,1000,falling,gcc_90,2016-10-26,2016-10-16,2016-09-28,2017-02-05,2016-10-24,2016-10-07,2016-10-17,2016-10-06,2016-09-18,-0.05487,-0.04289,-0.0232,-0.06183,0.01519
niwot3,EN,1000,falling,gcc_90,2015-11-25,2015-11-14,2015-10-24,2016-02-12,2015-11-28,2015-11-08,2015-11-12,2015-10-31,2015-10-04,-0.0535,-0.04459,-0.02789,-0.05968,0.00243
niwot3,EN,1000,falling,gcc_75,2017-11-07,2017-10-25,2017-10-09,2017-11-17,2017-10-30,2017-10-15,2017-10-30,2017-10-21,2017-10-04,-0.0728,-0.06025,-0.03866,-0.08063,0.00155
niwot3,EN,1000,falling,gcc_75,2016-10-27,2016-10-17,2016-09-26,2016-11-03,2016-10-21,2016-10-03,2016-10-21,2016-10-10,2016-09-21,-0.06889,-0.05786,-0.03657,-0.07591,0.00087
niwot3,EN,1000,falling,gcc_75,2015-11-23,2015-11-10,2015-10-17,2015-12-06,2015-11-17,2015-10-26,2015-11-15,2015-11-01,2015-10-07,-0.07167,-0.06119,-0.04293,-0.07826,-0.00819
niwot3,EN,1000,falling,gcc_50,2017-11-10,2017-10-27,2017-10-10,2017-11-15,2017-10-30,2017-10-14,2017-11-05,2017-10-24,2017-10-07,-0.08256,-0.07126,-0.05111,-0.09012,-0.01394
niwot3,EN,1000,falling,gcc_50,2016-11-02,2016-10-20,2016-09-28,2016-11-08,2016-10-23,2016-10-02,2016-10-28,2016-10-17,2016-09-25,-0.08032,-0.06894,-0.04858,-0.08792,-0.01041
niwot3,EN,1000,falling,gcc_50,2015-11-16,2015-11-01,2015-10-09,2015-11-21,2015-11-05,2015-10-14,2015-11-11,2015-10-28,2015-10-04,-0.07957,-0.06915,-0.05101,-0.08659,-0.01567
niwot3,EN,1000,falling,gcc_mean,2017-11-11,2017-10-28,2017-10-11,2017-11-17,2017-10-31,2017-10-15,2017-11-05,2017-10-24,2017-10-06,-0.07759,-0.06645,-0.04613,-0.08494,-0.00768
niwot3,EN,1000,falling,gcc_mean,2016-11-01,2016-10-20,2016-09-29,2016-11-08,2016-10-23,2016-10-04,2016-10-27,2016-10-16,2016-09-26,-0.07547,-0.06395,-0.04345,-0.08286,-0.00546
niwot3,EN,1000,falling,gcc_mean,2015-11-20,2015-11-05,2015-10-13,2015-11-26,2015-11-10,2015-10-20,2015-11-13,2015-10-30,2015-10-07,-0.07498,-0.06446,-0.04623,-0.08126,-0.01238
