#
# Transition date estimate for oregonMP
#
# Site: oregonMP
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2017
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:46:59
# Spline RMSE gcc_mean: 0.01129
# Spline RMSE gcc_50: 0.01161
# Spline RMSE gcc_75: 0.01169
# Spline RMSE gcc_90: 0.0136
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonMP,EN,1000,rising,gcc_90,2012-03-29,2012-04-13,2012-05-10,2012-03-21,2012-04-07,2012-05-02,2012-04-06,2012-04-20,2012-05-16,-0.09671,-0.08626,-0.06799,-0.10303,-0.0335
oregonMP,EN,1000,rising,gcc_90,2013-04-03,2013-04-16,2013-05-12,2013-03-25,2013-04-10,2013-05-03,2013-04-10,2013-04-23,2013-05-19,-0.07704,-0.06849,-0.05239,-0.08297,-0.02248
oregonMP,EN,1000,rising,gcc_90,2014-04-06,2014-04-23,2014-05-21,2014-03-23,2014-04-14,2014-05-20,2014-04-16,2014-05-03,2014-05-27,-0.07467,-0.06666,-0.05251,-0.07994,-0.02613
oregonMP,EN,1000,rising,gcc_75,2012-03-31,2012-04-14,2012-05-11,2012-03-25,2012-04-10,2012-05-04,2012-04-06,2012-04-20,2012-05-15,-0.11053,-0.09953,-0.07922,-0.11769,-0.04224
oregonMP,EN,1000,rising,gcc_75,2013-04-01,2013-04-15,2013-05-09,2013-03-26,2013-04-10,2013-05-02,2013-04-07,2013-04-20,2013-05-15,-0.09287,-0.08286,-0.06618,-0.09892,-0.03398
oregonMP,EN,1000,rising,gcc_75,2014-04-06,2014-04-24,2014-05-21,2014-03-27,2014-04-16,2014-05-20,2014-04-16,2014-05-02,2014-05-26,-0.08738,-0.07871,-0.06447,-0.09249,-0.03712
oregonMP,EN,1000,rising,gcc_75,2017-03-28,2017-04-13,2017-05-09,2017-03-18,2017-04-06,2017-05-01,2017-04-06,2017-04-20,2017-05-16,-0.08843,-0.08014,-0.06464,-0.09424,-0.03576
oregonMP,EN,1000,rising,gcc_50,2012-04-02,2012-04-17,2012-05-14,2012-03-27,2012-04-12,2012-05-08,2012-04-08,2012-04-23,2012-05-18,-0.11822,-0.10678,-0.0869,-0.12542,-0.04946
oregonMP,EN,1000,rising,gcc_50,2013-04-01,2013-04-15,2013-05-09,2013-03-26,2013-04-10,2013-05-02,2013-04-07,2013-04-20,2013-05-15,-0.10457,-0.09424,-0.07703,-0.11084,-0.04362
oregonMP,EN,1000,rising,gcc_50,2014-04-05,2014-04-21,2014-05-17,2014-03-28,2014-04-15,2014-05-16,2014-04-13,2014-04-28,2014-05-23,-0.10325,-0.0939,-0.07814,-0.10907,-0.04734
oregonMP,EN,1000,rising,gcc_50,2017-03-31,2017-04-16,2017-05-12,2017-03-22,2017-04-10,2017-05-05,2017-04-08,2017-04-22,2017-05-18,-0.1031,-0.09404,-0.07774,-0.10929,-0.04693
oregonMP,EN,1000,rising,gcc_mean,2012-04-02,2012-04-17,2012-05-13,2012-03-28,2012-04-12,2012-05-08,2012-04-08,2012-04-22,2012-05-17,-0.11926,-0.10762,-0.0884,-0.1261,-0.05098
oregonMP,EN,1000,rising,gcc_mean,2013-04-01,2013-04-15,2013-05-09,2013-03-26,2013-04-10,2013-05-02,2013-04-07,2013-04-20,2013-05-15,-0.10253,-0.09275,-0.07652,-0.10842,-0.04482
oregonMP,EN,1000,rising,gcc_mean,2014-04-06,2014-04-22,2014-05-19,2014-03-28,2014-04-16,2014-05-18,2014-04-14,2014-04-29,2014-05-24,-0.09969,-0.09107,-0.07598,-0.10504,-0.04747
oregonMP,EN,1000,rising,gcc_mean,2017-03-31,2017-04-16,2017-05-11,2017-03-21,2017-04-10,2017-05-04,2017-04-08,2017-04-22,2017-05-18,-0.10022,-0.09138,-0.07604,-0.10613,-0.04637
oregonMP,EN,1000,falling,gcc_90,2013-12-12,2013-11-26,2013-10-27,2013-12-24,2013-12-04,2013-11-07,2013-12-02,2013-11-16,2013-10-18,-0.07258,-0.06434,-0.04994,-0.0777,-0.02264
oregonMP,EN,1000,falling,gcc_90,2012-12-30,2012-12-15,2012-11-21,2013-01-05,2013-01-05,2012-12-01,2012-12-15,2012-12-04,2012-11-10,-0.07417,-0.06744,-0.0561,-0.0783,-0.03405
oregonMP,EN,1000,falling,gcc_90,2011-12-07,2011-11-22,2011-10-24,2012-01-14,2012-01-14,2011-11-03,2011-11-13,2011-11-13,2011-10-17,-0.09445,-0.08445,-0.06618,-0.10138,-0.03128
oregonMP,EN,1000,falling,gcc_75,2016-12-18,2016-12-02,2016-10-28,2016-12-21,2016-12-03,2016-10-29,2016-12-03,2016-11-22,2016-10-14,-0.08537,-0.07746,-0.0635,-0.09046,-0.03662
oregonMP,EN,1000,falling,gcc_75,2013-12-10,2013-11-24,2013-10-25,2013-12-20,2013-12-01,2013-11-03,2013-12-02,2013-11-16,2013-10-18,-0.08547,-0.07699,-0.06222,-0.09112,-0.03409
oregonMP,EN,1000,falling,gcc_75,2012-12-30,2012-12-14,2012-11-18,2013-01-05,2013-01-05,2012-11-27,2012-12-15,2012-12-05,2012-11-09,-0.08909,-0.08135,-0.06826,-0.09394,-0.04289
oregonMP,EN,1000,falling,gcc_75,2011-12-09,2011-11-22,2011-10-24,2012-01-14,2012-01-14,2011-11-01,2011-11-13,2011-11-13,2011-10-18,-0.10599,-0.09485,-0.07609,-0.11337,-0.03898
oregonMP,EN,1000,falling,gcc_50,2016-12-17,2016-11-29,2016-10-21,2016-12-21,2016-11-30,2016-10-22,2016-12-03,2016-11-19,2016-10-09,-0.09921,-0.09053,-0.07617,-0.10439,-0.04835
oregonMP,EN,1000,falling,gcc_50,2013-12-12,2013-11-25,2013-10-26,2013-12-20,2013-12-02,2013-11-03,2013-12-04,2013-11-18,2013-10-20,-0.09971,-0.0902,-0.07444,-0.1056,-0.04377
oregonMP,EN,1000,falling,gcc_50,2012-12-27,2012-12-10,2012-11-14,2013-01-05,2013-01-05,2012-11-22,2012-12-15,2012-12-02,2012-11-06,-0.09988,-0.09148,-0.07719,-0.10527,-0.04994
oregonMP,EN,1000,falling,gcc_50,2011-12-10,2011-11-23,2011-10-24,2012-01-14,2012-01-14,2011-11-01,2011-11-13,2011-11-13,2011-10-18,-0.11429,-0.10321,-0.08356,-0.1215,-0.04633
oregonMP,EN,1000,falling,gcc_mean,2016-12-20,2016-12-03,2016-10-27,2016-12-21,2016-12-04,2016-10-28,2016-12-03,2016-11-23,2016-10-14,-0.09525,-0.08759,-0.07385,-0.10046,-0.04758
oregonMP,EN,1000,falling,gcc_mean,2013-12-15,2013-11-29,2013-10-31,2013-12-24,2013-12-05,2013-11-09,2013-12-07,2013-11-22,2013-10-24,-0.09721,-0.08842,-0.07345,-0.10262,-0.04503
oregonMP,EN,1000,falling,gcc_mean,2012-12-30,2012-12-14,2012-11-19,2013-01-05,2013-01-05,2012-11-27,2012-12-15,2012-12-06,2012-11-12,-0.09839,-0.09029,-0.0768,-0.10294,-0.05136
oregonMP,EN,1000,falling,gcc_mean,2011-12-12,2011-11-24,2011-10-25,2012-01-14,2012-01-14,2011-11-02,2011-11-13,2011-11-13,2011-10-19,-0.1114,-0.10064,-0.08212,-0.11864,-0.04597
