#
# Transition date estimate for canadaOBS
#
# Site: canadaOBS
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2011
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:48:14
# Spline RMSE gcc_mean: 4.04971
# Spline RMSE gcc_50: 4.26267
# Spline RMSE gcc_75: 4.47671
# Spline RMSE gcc_90: 4.52387
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
canadaOBS,EN,1000,rising,gcc_90,2012-03-17,2012-04-06,2012-05-01,2012-03-16,2012-04-05,2012-04-30,2012-03-18,2012-04-07,2012-05-02,-23.35255,-16.58733,-5.28674,-27.66841,16.83789
canadaOBS,EN,1000,rising,gcc_90,2013-03-31,2013-04-17,2013-05-09,2013-03-30,2013-04-16,2013-05-08,2013-04-01,2013-04-18,2013-05-10,-24.81512,-18.18248,-5.9017,-29.25768,16.86453
canadaOBS,EN,1000,rising,gcc_90,2014-03-21,2014-04-13,2014-05-07,2014-03-20,2014-04-12,2014-05-06,2014-03-22,2014-04-14,2014-05-08,-27.84792,-19.70045,-5.85836,-33.08428,20.62615
canadaOBS,EN,1000,rising,gcc_90,2015-03-16,2015-04-05,2015-05-01,2015-03-15,2015-04-04,2015-04-30,2015-03-17,2015-04-06,2015-05-02,-24.29002,-17.70202,-6.37448,-28.50799,15.67533
canadaOBS,EN,1000,rising,gcc_90,2016-03-24,2016-04-11,2016-05-04,2016-03-23,2016-04-10,2016-05-03,2016-03-25,2016-04-12,2016-05-05,-22.17266,-15.16675,-2.49186,-26.57436,20.60248
canadaOBS,EN,1000,rising,gcc_90,2017-03-15,2017-04-07,2017-05-02,2017-03-03,2017-04-06,2017-05-01,2017-03-27,2017-04-09,2017-05-03,-23.96185,-16.69408,-3.70265,-28.68904,20.91722
canadaOBS,EN,1000,rising,gcc_90,2018-03-08,2018-03-28,2018-04-25,2018-03-07,2018-03-15,2018-03-15,2018-03-09,2018-04-26,2018-04-26,-23.8349,-16.03366,-2.73285,-28.81383,22.35571
canadaOBS,EN,1000,rising,gcc_75,2012-03-18,2012-04-06,2012-05-01,2012-03-17,2012-04-05,2012-04-30,2012-03-19,2012-04-07,2012-05-02,-25.07487,-18.70799,-7.4548,-29.26642,13.54038
canadaOBS,EN,1000,rising,gcc_75,2013-03-31,2013-04-17,2013-05-08,2013-03-30,2013-04-16,2013-05-07,2013-04-01,2013-04-18,2013-05-09,-25.89876,-19.51312,-8.19634,-30.13605,13.57706
canadaOBS,EN,1000,rising,gcc_75,2014-03-26,2014-04-15,2014-05-08,2014-03-25,2014-04-14,2014-05-07,2014-03-27,2014-04-16,2014-05-09,-27.58191,-20.20069,-7.54018,-32.32277,16.54485
canadaOBS,EN,1000,rising,gcc_75,2015-03-17,2015-04-06,2015-05-02,2015-03-16,2015-04-05,2015-05-01,2015-03-18,2015-04-07,2015-05-03,-24.99023,-18.79149,-8.30587,-28.88195,12.24184
canadaOBS,EN,1000,rising,gcc_75,2016-03-26,2016-04-12,2016-05-04,2016-03-25,2016-04-11,2016-05-02,2016-03-27,2016-04-13,2016-05-05,-22.9461,-16.36705,-4.55274,-27.39529,17.25735
canadaOBS,EN,1000,rising,gcc_75,2017-03-20,2017-04-10,2017-05-03,2017-03-03,2017-04-09,2017-05-02,2017-03-27,2017-04-11,2017-05-04,-23.64612,-16.90314,-5.31718,-27.96099,16.85904
canadaOBS,EN,1000,rising,gcc_75,2018-03-16,2018-04-04,2018-04-28,2018-03-15,2018-03-15,2018-04-27,2018-04-26,2018-04-26,2018-04-29,-21.97258,-15.14508,-3.34444,-26.24045,19.24798
canadaOBS,EN,1000,rising,gcc_50,2012-03-19,2012-04-07,2012-05-01,2012-03-18,2012-04-06,2012-04-30,2012-03-20,2012-04-08,2012-05-02,-27.38974,-21.39673,-10.86068,-31.11322,8.94379
canadaOBS,EN,1000,rising,gcc_50,2013-04-01,2013-04-17,2013-05-08,2013-03-31,2013-04-16,2013-05-07,2013-04-02,2013-04-18,2013-05-09,-27.45907,-21.58386,-10.88498,-31.45633,9.2239
canadaOBS,EN,1000,rising,gcc_50,2014-03-26,2014-04-14,2014-05-07,2014-03-25,2014-04-13,2014-05-06,2014-03-27,2014-04-16,2014-05-08,-29.22084,-22.65041,-10.70119,-33.60847,12.07662
canadaOBS,EN,1000,rising,gcc_50,2015-03-18,2015-04-06,2015-05-03,2015-03-17,2015-04-05,2015-05-02,2015-03-19,2015-04-07,2015-05-04,-26.36544,-20.78702,-10.94125,-30.14012,7.64703
canadaOBS,EN,1000,rising,gcc_50,2016-03-25,2016-04-11,2016-05-03,2016-03-24,2016-04-10,2016-05-02,2016-03-27,2016-04-12,2016-05-04,-24.70165,-18.6487,-7.61913,-28.52004,12.57651
canadaOBS,EN,1000,rising,gcc_50,2017-03-20,2017-04-10,2017-05-03,2017-03-03,2017-04-09,2017-05-02,2017-03-27,2017-04-11,2017-05-04,-25.30927,-19.09937,-8.33799,-29.3978,12.46508
canadaOBS,EN,1000,rising,gcc_50,2018-03-19,2018-04-07,2018-04-30,2018-03-15,2018-03-15,2018-04-29,2018-04-26,2018-04-26,2018-05-01,-23.06575,-16.63988,-5.56242,-27.11553,15.01664
canadaOBS,EN,1000,rising,gcc_mean,2012-03-19,2012-04-07,2012-05-01,2012-03-18,2012-04-06,2012-04-30,2012-03-20,2012-04-08,2012-05-02,-27.37737,-21.53678,-11.52754,-31.20493,7.97852
canadaOBS,EN,1000,rising,gcc_mean,2013-03-30,2013-04-17,2013-05-08,2013-03-29,2013-04-16,2013-05-07,2013-04-01,2013-04-18,2013-05-09,-28.11273,-22.07342,-11.89553,-31.87535,7.9384
