#
# Transition date estimate for howland1
#
# Site: howland1
# Veg Type: EN
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2010
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:48:34
# Spline RMSE gcc_mean: 3.16855
# Spline RMSE gcc_50: 3.67598
# Spline RMSE gcc_75: 3.77049
# Spline RMSE gcc_90: 3.5581
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
howland1,EN,3000,rising,gcc_90,2011-04-01,2011-04-18,2011-05-12,2011-03-31,2011-04-17,2011-05-11,2011-04-02,2011-04-19,2011-05-13,3.14416,6.8742,13.09831,0.87988,24.87255
howland1,EN,3000,rising,gcc_90,2012-03-18,2012-04-04,2012-05-04,2012-03-17,2012-04-03,2012-05-03,2012-03-19,2012-04-05,2012-05-05,3.28725,7.0352,13.10175,1.05823,25.00837
howland1,EN,3000,rising,gcc_90,2013-03-27,2013-04-11,2013-05-09,2013-03-26,2013-04-10,2013-05-08,2013-03-28,2013-04-12,2013-05-10,1.962,6.15329,13.09025,-0.66487,26.67856
howland1,EN,3000,rising,gcc_90,2014-04-02,2014-04-16,2014-05-13,2014-04-01,2014-04-15,2014-05-12,2014-04-03,2014-04-17,2014-05-14,2.02163,6.03012,13.1326,-0.45156,26.44469
howland1,EN,3000,rising,gcc_90,2015-04-02,2015-04-16,2015-05-14,2015-04-01,2015-04-15,2015-05-13,2015-04-03,2015-04-17,2015-05-15,2.33125,6.13909,12.99341,-0.20035,25.70917
howland1,EN,3000,rising,gcc_90,2016-03-28,2016-04-11,2016-05-05,2016-03-27,2016-04-10,2016-05-03,2016-03-29,2016-04-12,2016-05-06,1.03945,5.06342,12.50658,-1.56395,26.0961
howland1,EN,3000,rising,gcc_90,2017-03-31,2017-04-15,2017-05-07,2017-03-30,2017-04-14,2017-05-06,2017-04-01,2017-04-16,2017-05-08,0.80093,4.61096,10.91985,-1.50669,23.08036
howland1,EN,3000,rising,gcc_90,2018-04-02,2018-04-16,2018-05-08,2018-04-01,2018-04-15,2018-05-07,2018-04-03,2018-04-17,2018-05-09,-0.97506,2.76025,9.61521,-3.4105,22.32845
howland1,EN,3000,rising,gcc_75,2011-03-31,2011-04-16,2011-05-11,2011-03-30,2011-04-15,2011-05-10,2011-04-01,2011-04-18,2011-05-12,0.72825,4.02436,9.86215,-1.44752,21.13175
howland1,EN,3000,rising,gcc_75,2012-03-18,2012-04-04,2012-05-05,2012-03-17,2012-04-03,2012-05-04,2012-03-20,2012-04-05,2012-05-06,1.2744,4.79442,10.88632,-0.8993,22.60685
howland1,EN,3000,rising,gcc_75,2013-03-28,2013-04-12,2013-05-10,2013-03-27,2013-04-11,2013-05-09,2013-03-29,2013-04-13,2013-05-11,-0.20443,3.72076,10.28111,-2.69628,23.20087
howland1,EN,3000,rising,gcc_75,2014-04-04,2014-04-19,2014-05-16,2014-04-03,2014-04-18,2014-05-15,2014-04-05,2014-04-20,2014-05-17,0.10502,3.9639,10.74654,-2.28505,23.24895
howland1,EN,3000,rising,gcc_75,2015-03-30,2015-04-14,2015-05-12,2015-03-29,2015-04-13,2015-05-11,2015-03-31,2015-04-15,2015-05-13,-0.50589,3.19981,9.54685,-2.93713,21.7706
howland1,EN,3000,rising,gcc_75,2016-03-27,2016-04-11,2016-05-04,2016-03-26,2016-04-10,2016-05-03,2016-03-28,2016-04-12,2016-05-05,-1.16941,2.76323,9.37411,-3.56504,22.26357
howland1,EN,3000,rising,gcc_75,2017-03-31,2017-04-15,2017-05-08,2017-03-30,2017-04-14,2017-05-07,2017-04-01,2017-04-16,2017-05-09,-1.40767,1.93683,7.66697,-3.5758,18.79951
howland1,EN,3000,rising,gcc_75,2018-04-04,2018-04-17,2018-05-09,2018-04-03,2018-04-16,2018-05-08,2018-04-05,2018-04-18,2018-05-10,-2.72653,0.55206,6.82181,-5.04326,18.23212
howland1,EN,3000,rising,gcc_50,2011-03-31,2011-04-17,2011-05-12,2011-03-30,2011-04-16,2011-05-11,2011-04-01,2011-04-18,2011-05-13,-2.1685,0.9312,6.17391,-4.01734,16.09614
howland1,EN,3000,rising,gcc_50,2012-03-17,2012-04-02,2012-05-04,2012-03-16,2012-04-01,2012-05-03,2012-03-18,2012-04-04,2012-05-05,-1.34576,1.63853,7.25826,-3.44735,17.65716
howland1,EN,3000,rising,gcc_50,2013-03-26,2013-04-10,2013-05-09,2013-03-25,2013-04-09,2013-05-08,2013-03-27,2013-04-11,2013-05-10,-3.29053,0.35482,6.66982,-5.62961,18.91853
howland1,EN,3000,rising,gcc_50,2014-04-01,2014-04-16,2014-05-14,2014-03-31,2014-04-15,2014-05-13,2014-04-02,2014-04-17,2014-05-15,-3.52446,-0.15911,5.86057,-5.60495,16.9701
howland1,EN,3000,rising,gcc_50,2015-03-30,2015-04-14,2015-05-12,2015-03-29,2015-04-13,2015-05-11,2015-04-01,2015-04-15,2015-05-13,-3.46826,-0.11792,5.55505,-5.44345,16.19974
howland1,EN,3000,rising,gcc_50,2016-03-27,2016-04-11,2016-05-04,2016-03-26,2016-04-10,2016-05-03,2016-03-28,2016-04-12,2016-05-05,-3.85829,-0.47426,5.20539,-5.94042,16.25833
howland1,EN,3000,rising,gcc_50,2017-03-30,2017-04-15,2017-05-09,2017-03-29,2017-04-14,2017-05-08,2017-04-01,2017-04-16,2017-05-10,-4.39815,-1.50825,3.34224,-6.13387,12.64935
howland1,EN,3000,rising,gcc_50,2018-04-03,2018-04-17,2018-05-08,2018-04-02,2018-04-16,2018-05-07,2018-04-04,2018-04-18,2018-05-09,-5.34829,-2.48586,2.41331,-7.16902,11.73587
howland1,EN,3000,rising,gcc_mean,2011-03-31,2011-04-16,2011-05-11,2011-03-30,2011-04-15,2011-05-10,2011-04-01,2011-04-17,2011-05-12,-2.0509,0.92333,6.09546,-3.93126,15.97839
howland1,EN,3000,rising,gcc_mean,2012-03-17,2012-04-02,2012-05-03,2012-03-16,2012-04-01,2012-05-02,2012-03-18,2012-04-03,2012-05-04,-1.40325,1.59632,7.02496,-3.45252,17.41438
howland1,EN,3000,rising,gcc_mean,2013-03-26,2013-04-09,2013-05-08,2013-03-25,2013-04-08,2013-05-07,2013-03-27,2013-04-10,2013-05-09,-3.19181,0.19926,6.39769,-5.52608,18.18978
howland1,EN,3000,rising,gcc_mean,2014-04-02,2014-04-17,2014-05-14,2014-04-01,2014-04-16,2014-05-13,2014-04-04,2014-04-18,2014-05-15,-3.51861,-0.03019,5.83638,-5.52599,16.76196
howland1,EN,3000,rising,gcc_mean,2015-03-31,2015-04-14,2015-05-11,2015-03-30,2015-04-13,2015-05-10,2015-04-01,2015-04-15,2015-05-12,-3.48762,-0.27533,5.29031,-5.55506,16.0834
howland1,EN,3000,rising,gcc_mean,2016-03-28,2016-04-11,2016-05-04,2016-03-27,2016-04-10,2016-05-03,2016-03-29,2016-04-12,2016-05-05,-3.87695,-0.63337,5.14464,-6.08103,16.28567
howland1,EN,3000,rising,gcc_mean,2017-03-31,2017-04-14,2017-05-07,2017-03-30,2017-04-13,2017-05-06,2017-04-01,2017-04-15,2017-05-08,-4.13723,-1.46233,3.48813,-6.02653,12.9528
howland1,EN,3000,rising,gcc_mean,2018-04-02,2018-04-16,2018-05-08,2018-04-01,2018-04-15,2018-05-07,2018-04-03,2018-04-17,2018-05-09,-5.68266,-2.7851,2.53751,-7.55811,12.23218
howland1,EN,3000,falling,gcc_90,2017-12-16,2017-11-27,2017-10-31,2018-01-26,2017-11-28,2017-11-01,2017-12-07,2017-11-26,2017-10-30,1.63265,5.16571,11.36914,-0.59388,23.05585
howland1,EN,3000,falling,gcc_90,2016-12-04,2016-11-17,2016-10-20,2016-12-05,2016-11-18,2016-10-21,2016-12-03,2016-11-15,2016-10-19,2.88124,6.53059,13.34521,0.3406,26.04255
howland1,EN,3000,falling,gcc_90,2015-12-01,2015-11-14,2015-10-20,2015-12-02,2015-11-15,2015-10-21,2015-11-30,2015-11-13,2015-10-19,2.58674,6.42712,12.98217,0.0802,25.6829
