#
# Transition date estimate for niwot3
#
# Site: niwot3
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:48:41
# Spline RMSE gcc_mean: 2.87196
# Spline RMSE gcc_50: 3.2433
# Spline RMSE gcc_75: 3.6676
# Spline RMSE gcc_90: 3.3775
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
niwot3,EN,1000,rising,gcc_90,2016-04-08,2016-04-26,2016-05-19,2016-04-07,2016-04-25,2016-05-18,2016-04-09,2016-04-27,2016-05-20,1.79096,6.7954,15.77809,-1.59613,32.40834
niwot3,EN,1000,rising,gcc_90,2017-03-10,2017-03-31,2017-05-09,2017-03-09,2017-03-30,2017-05-08,2017-03-11,2017-04-01,2017-05-10,-0.18598,5.31718,14.95195,-3.82472,33.37854
niwot3,EN,1000,rising,gcc_90,2018-04-09,2018-04-22,2018-05-10,2018-04-08,2018-04-21,2018-05-09,2018-04-11,2018-04-23,2018-05-11,-0.45605,5.2152,15.15362,-3.89314,34.07867
niwot3,EN,1000,rising,gcc_75,2016-04-08,2016-04-26,2016-05-18,2016-04-07,2016-04-25,2016-05-17,2016-04-09,2016-04-27,2016-05-19,-0.50255,4.41355,12.88438,-3.65106,28.65124
niwot3,EN,1000,rising,gcc_75,2017-03-19,2017-04-09,2017-05-16,2017-03-18,2017-04-08,2017-05-15,2017-03-21,2017-04-10,2017-05-17,-0.06397,5.15462,13.8354,-3.2454,30.62746
niwot3,EN,1000,rising,gcc_75,2018-04-07,2018-04-21,2018-05-10,2018-04-06,2018-04-20,2018-05-09,2018-04-08,2018-04-22,2018-05-11,-2.72753,2.89266,12.90622,-6.39882,31.08711
niwot3,EN,1000,rising,gcc_50,2016-04-06,2016-04-25,2016-05-17,2016-04-05,2016-04-24,2016-05-16,2016-04-07,2016-04-26,2016-05-18,-3.62787,1.03036,8.78491,-6.58244,23.94258
niwot3,EN,1000,rising,gcc_50,2017-03-11,2017-04-02,2017-05-08,2017-03-10,2017-04-01,2017-05-07,2017-03-12,2017-04-03,2017-05-09,-3.95326,0.97468,9.44027,-7.14973,25.80759
niwot3,EN,1000,rising,gcc_50,2018-04-05,2018-04-20,2018-05-10,2018-04-04,2018-04-19,2018-05-09,2018-04-06,2018-04-21,2018-05-11,-5.90067,-0.39024,9.45862,-9.38087,27.47515
niwot3,EN,1000,rising,gcc_mean,2016-04-09,2016-04-27,2016-05-18,2016-04-08,2016-04-26,2016-05-17,2016-04-10,2016-04-28,2016-05-19,-3.31963,1.13509,9.03857,-6.31266,24.10175
niwot3,EN,1000,rising,gcc_mean,2017-03-09,2017-04-01,2017-05-07,2017-03-08,2017-03-31,2017-05-06,2017-03-10,2017-04-02,2017-05-08,-4.14803,0.61856,9.05052,-7.35421,25.41335
niwot3,EN,1000,rising,gcc_mean,2018-04-10,2018-04-22,2018-05-10,2018-04-09,2018-04-21,2018-05-09,2018-04-11,2018-04-23,2018-05-11,-4.43716,0.44335,9.64516,-7.71749,26.17149
niwot3,EN,1000,falling,gcc_90,2018-11-13,2018-10-29,2018-10-08,2018-11-14,2018-10-30,2018-10-09,2018-11-12,2018-10-28,2018-10-07,2.28293,7.57312,16.7248,-0.99377,33.86815
niwot3,EN,1000,falling,gcc_90,2017-11-17,2017-10-31,2017-10-09,2017-11-18,2017-11-01,2017-10-10,2017-11-16,2017-10-30,2017-10-08,-1.00429,4.80469,14.48409,-4.80031,33.64327
niwot3,EN,1000,falling,gcc_90,2016-11-11,2016-10-28,2016-10-11,2016-11-12,2016-10-29,2016-10-12,2016-11-09,2016-10-27,2016-10-10,0.26269,5.85182,14.87394,-2.93583,32.44227
