#
# Transition date estimate for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2015
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:49:05
# Spline RMSE gcc_mean: 3.34389
# Spline RMSE gcc_50: 3.42443
# Spline RMSE gcc_75: 3.43484
# Spline RMSE gcc_90: 3.46644
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
oregonYP,EN,2000,rising,gcc_90,2016-02-28,2016-03-13,2016-04-03,2016-02-27,2016-03-12,2016-04-02,2016-02-29,2016-03-14,2016-04-04,21.52528,25.89472,33.68693,18.93106,47.70569
oregonYP,EN,2000,rising,gcc_90,2017-03-16,2017-03-31,2017-05-04,2017-03-15,2017-03-30,2017-05-03,2017-03-17,2017-04-01,2017-05-05,13.57161,18.78433,27.89176,10.15703,45.19303
oregonYP,EN,2000,rising,gcc_90,2018-03-25,2018-04-07,2018-04-23,2018-03-24,2018-04-06,2018-04-22,2018-03-26,2018-04-08,2018-04-24,14.0937,18.43728,27.08754,10.95416,42.62661
oregonYP,EN,2000,rising,gcc_75,2016-02-28,2016-03-13,2016-04-02,2016-02-27,2016-03-12,2016-04-01,2016-02-29,2016-03-14,2016-04-03,18.86277,23.38204,30.92633,16.22507,45.53214
oregonYP,EN,2000,rising,gcc_75,2017-03-17,2017-04-02,2017-05-04,2017-03-16,2017-04-01,2017-05-03,2017-03-18,2017-04-03,2017-05-05,12.03033,17.28712,26.30321,8.63406,43.60558
oregonYP,EN,2000,rising,gcc_75,2018-03-23,2018-04-06,2018-04-21,2018-03-22,2018-04-05,2018-04-20,2018-03-24,2018-04-07,2018-04-22,12.00408,16.31783,24.39616,8.9391,39.69628
oregonYP,EN,2000,rising,gcc_50,2016-02-29,2016-03-13,2016-04-02,2016-02-28,2016-03-12,2016-04-01,2016-03-01,2016-03-14,2016-04-03,16.3781,20.70429,28.45306,13.52445,42.76841
oregonYP,EN,2000,rising,gcc_50,2017-03-18,2017-04-03,2017-05-04,2017-03-17,2017-04-02,2017-05-03,2017-03-19,2017-04-04,2017-05-05,10.17785,15.26447,24.19011,6.91009,40.9559
oregonYP,EN,2000,rising,gcc_50,2018-03-22,2018-04-05,2018-04-19,2018-03-21,2018-04-04,2018-04-18,2018-03-23,2018-04-06,2018-04-20,9.60525,13.59763,21.01152,6.86574,35.10196
oregonYP,EN,2000,rising,gcc_mean,2016-02-27,2016-03-11,2016-03-31,2016-02-26,2016-03-10,2016-03-30,2016-02-28,2016-03-12,2016-04-01,15.64179,19.68197,26.69059,13.07493,40.00042
oregonYP,EN,2000,rising,gcc_mean,2017-03-17,2017-04-02,2017-05-02,2017-03-16,2017-04-01,2017-05-01,2017-03-18,2017-04-03,2017-05-03,9.58747,14.47384,22.31581,6.72143,37.88697
oregonYP,EN,2000,rising,gcc_mean,2018-03-22,2018-04-05,2018-04-20,2018-03-21,2018-04-04,2018-04-18,2018-03-23,2018-04-06,2018-04-21,9.28966,13.15833,20.84225,6.63638,34.07021
oregonYP,EN,2000,falling,gcc_90,2018-09-26,2018-09-10,2018-08-26,2018-09-27,2018-09-11,2018-08-27,2018-09-25,2018-09-08,2018-08-25,19.35789,22.87603,29.92244,16.78782,42.86751
oregonYP,EN,2000,falling,gcc_90,2017-11-23,2017-11-12,2017-10-14,2017-11-24,2017-11-13,2017-10-15,2017-11-22,2017-11-10,2017-10-13,15.2497,20.08698,28.52681,12.43076,44.59739
