#
# Transition date estimate for vancouverisland
#
# Site: vancouverisland
# Veg Type: EN
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2018
# Final Processing Date: 2019-09-10
# Final Processing Time: 12:49:47
# Spline RMSE gcc_mean: 3.65432
# Spline RMSE gcc_50: 4.10883
# Spline RMSE gcc_75: 2.62493
# Spline RMSE gcc_90: 2.54597
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
vancouverisland,EN,2000,rising,gcc_90,2018-05-06,2018-05-09,2018-05-16,2018-05-05,2018-05-08,2018-05-15,2018-05-07,2018-05-10,2018-05-17,23.05984,25.83696,32.39321,21.28168,42.23888
vancouverisland,EN,2000,rising,gcc_75,2018-05-08,2018-05-10,2018-05-16,2018-05-07,2018-05-09,2018-05-15,2018-05-09,2018-05-11,2018-05-17,21.26473,23.44412,28.76065,19.58064,37.16842
vancouverisland,EN,2000,rising,gcc_50,2018-03-06,2018-03-14,2018-03-26,2017-11-01,2017-11-01,2017-11-01,2018-05-05,2018-05-05,2018-05-05,17.25253,19.68248,24.01983,15.89121,32.00905
vancouverisland,EN,2000,rising,gcc_mean,2018-03-07,2018-03-15,2018-03-29,2017-11-01,2017-11-01,2017-11-01,2018-05-05,2018-05-05,2018-05-05,17.77816,19.99699,24.25678,16.218,32.16357
vancouverisland,EN,2000,falling,gcc_90,2018-10-20,2018-10-05,2018-08-23,2018-10-21,2018-10-06,2018-08-24,2018-10-19,2018-10-04,2018-08-22,22.40101,25.6676,30.9432,20.51406,41.32572
vancouverisland,EN,2000,falling,gcc_90,2017-11-17,2017-11-08,2017-10-29,2018-05-05,2018-05-05,2017-10-30,2017-11-01,2017-11-01,2017-10-28,27.6949,31.6444,38.57207,25.30096,51.22416
vancouverisland,EN,2000,falling,gcc_75,2018-10-22,2018-10-15,2018-09-02,2018-10-23,2018-10-16,2018-09-03,2018-10-21,2018-10-14,2018-09-01,18.65476,21.59045,26.71766,17.03251,36.20305
vancouverisland,EN,2000,falling,gcc_75,2017-11-18,2017-11-10,2017-10-29,2018-05-05,2018-05-05,2017-10-31,2017-11-01,2017-11-01,2017-10-28,26.11001,29.94281,37.17642,23.9353,49.56838
vancouverisland,EN,2000,falling,gcc_50,2018-09-11,2018-09-05,2018-08-22,2018-09-12,2018-09-06,2018-08-23,2018-09-10,2018-09-04,2018-08-21,19.25665,21.31412,24.75856,18.12949,31.30576
vancouverisland,EN,2000,falling,gcc_50,2017-11-24,2017-11-20,2017-11-10,2018-05-05,2018-05-05,2018-05-05,2017-11-01,2017-11-01,2017-11-01,19.13507,23.75469,31.51386,17.21726,45.51053
vancouverisland,EN,2000,falling,gcc_mean,2018-10-18,2018-09-11,2018-08-28,2018-10-19,2018-09-12,2018-08-29,2018-10-17,2018-09-10,2018-08-27,14.89739,17.96129,22.50393,13.5078,31.33419
vancouverisland,EN,2000,falling,gcc_mean,2017-11-24,2017-11-20,2017-11-11,2018-05-05,2018-05-05,2018-05-05,2017-11-01,2017-11-01,2017-11-01,17.41025,22.35146,30.48438,15.37542,44.35662
