"site","flux_sitenames","veg_type","roi_id","direction","value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min","max"
"austincary","US-SP1","EN",1000,"rising","gcc_90","2016-03-05","2016-03-22","2016-05-30","2016-02-27","2016-03-21","2016-05-29","2016-03-11","2016-03-30","2016-06-11",0.39569,0.39885,0.40407,0.39382,0.41424
"austincary","US-SP1","EN",1000,"rising","gcc_75","2016-03-06","2016-03-25","2016-06-01","2016-02-26","2016-03-16","2016-05-15","2016-03-13","2016-04-04","2016-06-15",0.39367,0.39656,0.40135,0.39186,0.41078
"austincary","US-SP1","EN",1000,"rising","gcc_50","2016-03-03","2016-03-22","2016-05-30","2016-02-18","2016-03-13","2016-05-15","2016-03-11","2016-04-04","2016-06-13",0.39044,0.39281,0.39695,0.38888,0.40497
"austincary","US-SP1","EN",1000,"rising","gcc_mean","2016-03-02","2016-03-20","2016-06-11","2016-02-17","2016-03-12","2016-05-28","2016-03-09","2016-03-30","2016-06-22",0.38931,0.39164,0.39566,0.38775,0.40352
"austincary","US-SP1","EN",1000,"falling","gcc_90","2018-11-03","2018-10-26","2018-10-08","2018-11-04","2018-10-27","2018-10-09","2018-10-30","2018-10-21","2018-10-02",0.40015,0.4026,0.40724,0.39854,0.41568
"austincary","US-SP1","EN",1000,"falling","gcc_75","2018-11-03","2018-10-27","2018-10-15","2018-11-04","2018-10-28","2018-10-16","2018-10-30","2018-10-22","2018-10-11",0.39596,0.39833,0.40235,0.39458,0.41003
"austincary","US-SP1","EN",1000,"falling","gcc_50","2018-11-06","2018-10-30","2018-10-17","2018-11-07","2018-10-31","2018-10-18","2018-11-02","2018-10-25","2018-10-13",0.39037,0.39226,0.3956,0.38918,0.40164
"austincary","US-SP1","EN",1000,"falling","gcc_mean","2018-11-07","2018-10-31","2018-10-16","2018-11-08","2018-11-01","2018-10-17","2018-11-03","2018-10-26","2018-10-12",0.39015,0.39208,0.39575,0.38877,0.40259
"austincary","US-SP1","EN",1000,"rising","grvi_90","2016-05-01","2016-05-10","2016-06-05","2016-03-22","2016-05-01","2016-05-17","2016-05-11","2016-05-23","2016-06-30",0.02619,0.03142,0.04134,0.02278,0.05941
"austincary","US-SP1","EN",1000,"rising","grvi_90","2017-05-10","2017-05-24","2017-06-24","2017-03-03","2017-05-16","2017-06-09","2017-05-20","2017-06-04","2017-07-10",0.03601,0.04552,0.06181,0.02974,0.09342
"austincary","US-SP1","EN",1000,"rising","grvi_90","2018-04-07","2018-04-30","2018-05-14","2018-02-16","2018-04-03","2018-05-04","2018-05-04","2018-05-11","2018-05-27",0.04145,0.04566,0.05273,0.03882,0.0664
"austincary","US-SP1","EN",1000,"rising","grvi_75","2016-05-10","2016-05-23","2016-06-20","2016-04-27","2016-05-12","2016-06-02","2016-05-22","2016-06-05","2016-07-04",0.01519,0.01999,0.02804,0.01213,0.04388
"austincary","US-SP1","EN",1000,"rising","grvi_75","2017-04-30","2017-05-18","2017-06-07","2017-02-23","2017-05-11","2017-05-29","2017-05-15","2017-05-26","2017-06-15",0.02216,0.02885,0.04163,0.01754,0.06482
"austincary","US-SP1","EN",1000,"rising","grvi_75","2018-04-03","2018-04-21","2018-05-13","2018-02-19","2018-04-06","2018-05-04","2018-04-18","2018-05-05","2018-05-22",0.02858,0.03346,0.04204,0.02558,0.05783
"austincary","US-SP1","EN",1000,"rising","grvi_50","2016-05-20","2016-06-05","2016-07-04","2016-05-07","2016-05-21","2016-06-19","2016-06-06","2016-06-25","2016-07-14",0.00469,0.00922,0.01691,0.00197,0.03119
"austincary","US-SP1","EN",1000,"rising","grvi_50","2017-04-29","2017-05-16","2017-06-03","2017-02-25","2017-05-08","2017-05-25","2017-05-12","2017-05-22","2017-06-11",0.00839,0.01582,0.02818,0.0037,0.05235
"austincary","US-SP1","EN",1000,"rising","grvi_50","2018-04-16","2018-05-01","2018-05-13","2018-02-25","2018-04-20","2018-05-08","2018-05-01","2018-05-09","2018-05-20",0.0158,0.02037,0.02857,0.0129,0.04416
