"year","doy3","gcc","tmin","tmax","doy","date"
2014,111,0.35087,-10.5,-4,332,2014-11-28
2014,112,0.37286,-9.83333333333333,3.33333333333333,335,2014-12-01
2014,113,NA,-12.5,-1,338,2014-12-04
2014,114,NA,-14.1666666666667,-1.83333333333333,341,2014-12-07
2014,115,NA,-7.83333333333333,-2,344,2014-12-10
2014,116,NA,-6.33333333333333,-3,347,2014-12-13
2014,117,NA,-3.66666666666667,-0.5,350,2014-12-16
2014,118,NA,-8.66666666666667,-2.5,353,2014-12-19
2014,119,0.35252,-8.5,-1.5,356,2014-12-22
2014,120,0.35089,0.666666666666667,5,359,2014-12-25
2014,121,0.34785,-2.66666666666667,3.16666666666667,362,2014-12-28
2015,1,0.35002,-14.6666666666667,-5.66666666666667,2,2015-01-02
2015,2,0.34779,-15.5,-1.33333333333333,5,2015-01-05
2015,3,0.34768,-26.5,-11.3333333333333,8,2015-01-08
2015,4,0.34875,-16.6666666666667,-8.16666666666667,11,2015-01-11
2015,5,0.35377,-26.3333333333333,-6.33333333333333,14,2015-01-14
2015,6,0.34481,-24.6666666666667,-6.5,17,2015-01-17
2015,7,0.35497,-17.5,-2.83333333333333,20,2015-01-20
2015,8,0.35343,-20.5,-3.83333333333333,23,2015-01-23
2015,9,0.35615,-24.3333333333333,-6.5,26,2015-01-26
2015,10,0.35233,-23,-5.83333333333333,29,2015-01-29
2015,11,0.35242,-23.6666666666667,-9,32,2015-02-01
2015,12,0.34869,-23.6666666666667,-7.83333333333333,35,2015-02-04
2015,13,NA,-22.1666666666667,-8.66666666666667,38,2015-02-07
2015,14,NA,-16.8333333333333,-6.83333333333333,41,2015-02-10
2015,15,NA,-25.8333333333333,-8,44,2015-02-13
2015,16,NA,-27.3333333333333,-13.6666666666667,47,2015-02-16
2015,17,NA,-26.1666666666667,-8.16666666666667,50,2015-02-19
2015,18,NA,-22.8333333333333,-6.66666666666667,53,2015-02-22
2015,19,NA,-26.8333333333333,-10.8333333333333,56,2015-02-25
2015,20,0.36822,-26.1666666666667,-6.83333333333333,59,2015-02-28
2015,21,0.35596,-21.6666666666667,-3.83333333333333,62,2015-03-03
2015,22,0.37348,-25,-6.16666666666667,65,2015-03-06
2015,23,0.37548,-10.5,-0.5,68,2015-03-09
2015,24,0.37633,-11.5,3,71,2015-03-12
2015,25,0.35788,-9,1.5,74,2015-03-15
2015,26,0.34795,-13.8333333333333,-0.333333333333333,77,2015-03-18
2015,27,0.37465,-14.8333333333333,-1.16666666666667,80,2015-03-21
2015,28,NA,-20.5,-3.5,83,2015-03-24
2015,29,0.36398,-8.83333333333333,3.66666666666667,86,2015-03-27
2015,30,0.38428,-13,-0.666666666666667,89,2015-03-30
2015,31,0.37373,-10.1666666666667,6,92,2015-04-02
2015,32,0.36928,-4.83333333333333,4,95,2015-04-05
2015,33,0.3787,-5.66666666666667,5,98,2015-04-08
2015,34,0.39008,-1.83333333333333,5.16666666666667,101,2015-04-11
2015,35,0.40089,-4.33333333333333,15.1666666666667,104,2015-04-14
2015,36,0.38986,-4.5,13.8333333333333,107,2015-04-17
2015,37,0.36858,-1.5,10.8333333333333,110,2015-04-20
2015,38,0.38448,-2.83333333333333,5,113,2015-04-23
2015,39,0.43581,-2.33333333333333,4.83333333333333,116,2015-04-26
2015,40,0.44565,-1.16666666666667,12.8333333333333,119,2015-04-29
2015,41,0.44324,-1.33333333333333,17.1666666666667,122,2015-05-02
2015,42,0.39902,1.33333333333333,21.6666666666667,125,2015-05-05
2015,43,0.39886,4.16666666666667,25.5,128,2015-05-08
2015,44,0.40965,13.3333333333333,26.6666666666667,131,2015-05-11
2015,45,0.40033,-1,15.8333333333333,134,2015-05-14
2015,46,0.40952,5.16666666666667,22.8333333333333,137,2015-05-17
2015,47,0.4145,3.33333333333333,19,140,2015-05-20
2015,48,0.41198,-0.833333333333333,14.1666666666667,143,2015-05-23
2015,49,0.42033,10.8333333333333,24.5,146,2015-05-26
2015,50,0.36487,9.16666666666667,22.8333333333333,149,2015-05-29
2015,51,0.39509,6,14.5,152,2015-06-01
2015,52,0.40804,2.66666666666667,19.5,155,2015-06-04
2015,53,0.41042,5,19.8333333333333,158,2015-06-07
2015,54,0.40641,11.5,20.3333333333333,161,2015-06-10
2015,55,0.40084,10.1666666666667,22.3333333333333,164,2015-06-13
2015,56,0.41521,10.3333333333333,21.6666666666667,167,2015-06-16
2015,57,0.4085,7.66666666666667,20.3333333333333,170,2015-06-19
2015,58,0.42844,11.5,23.3333333333333,173,2015-06-22
2015,59,0.36243,9.66666666666667,22.5,176,2015-06-25
2015,60,0.4158,7.66666666666667,18,179,2015-06-28
2015,61,0.44197,8.5,18.6666666666667,182,2015-07-01
2015,62,0.41509,6.33333333333333,21,185,2015-07-04
2015,63,0.42417,10.6666666666667,24.3333333333333,188,2015-07-07
2015,64,0.42526,9.66666666666667,21.8333333333333,191,2015-07-10
2015,65,0.41825,12,27.1666666666667,194,2015-07-13
2015,66,0.41748,7,21.3333333333333,197,2015-07-16
2015,67,0.41923,12.8333333333333,26.1666666666667,200,2015-07-19
2015,68,0.41736,10.5,23,203,2015-07-22
2015,69,0.41179,8.5,23.3333333333333,206,2015-07-25
2015,70,0.4132,13,27.3333333333333,209,2015-07-28
2015,71,0.42174,12.3333333333333,25.6666666666667,212,2015-07-31
2015,72,0.41061,9.33333333333333,23.3333333333333,215,2015-08-03
2015,73,0.41117,9.66666666666667,20.8333333333333,218,2015-08-06
2015,74,0.41494,8,22.3333333333333,221,2015-08-09
2015,75,0.41539,12,22,224,2015-08-12
2015,76,0.40345,10.1666666666667,24.1666666666667,227,2015-08-15
2015,77,0.43248,12.6666666666667,28,230,2015-08-18
2015,78,0.40969,11.1666666666667,24.6666666666667,233,2015-08-21
2015,79,0.42207,9.66666666666667,23.8333333333333,236,2015-08-24
2015,80,0.41841,8.5,20.3333333333333,239,2015-08-27
2015,81,0.38708,8.5,22.1666666666667,242,2015-08-30
2015,82,0.41724,12.3333333333333,26.3333333333333,245,2015-09-02
2015,83,0.41371,8.16666666666667,26.5,248,2015-09-05
2015,84,0.40391,14.1666666666667,27,251,2015-09-08
2015,85,0.40593,10.3333333333333,23.3333333333333,254,2015-09-11
2015,86,0.39838,9.16666666666667,18.5,257,2015-09-14
2015,87,0.40165,8.33333333333333,25,260,2015-09-17
2015,88,0.40317,5.5,21,263,2015-09-20
2015,89,0.39951,1.83333333333333,19.8333333333333,266,2015-09-23
2015,90,0.38635,1.33333333333333,19.5,269,2015-09-26
2015,91,0.39103,7.66666666666667,19,272,2015-09-29
2015,92,0.39875,-0.666666666666667,10.6666666666667,275,2015-10-02
2015,93,0.39263,-0.833333333333333,12.8333333333333,278,2015-10-05
2015,94,0.39134,1.66666666666667,15.3333333333333,281,2015-10-08
2015,95,0.39003,1.33333333333333,14.8333333333333,284,2015-10-11
2015,96,0.38764,2.16666666666667,14.3333333333333,287,2015-10-14
2015,97,0.38233,-3,7.16666666666667,290,2015-10-17
2015,98,0.37972,-4,7,293,2015-10-20
2015,99,0.38488,-0.333333333333333,10.5,296,2015-10-23
2015,100,0.39375,-3.5,7.5,299,2015-10-26
2015,101,0.38221,-1.83333333333333,9.83333333333333,302,2015-10-29
2015,102,0.38499,-1.66666666666667,7,305,2015-11-01
2015,103,0.37882,-1.16666666666667,15.8333333333333,308,2015-11-04
2015,104,0.37838,2.66666666666667,14.1666666666667,311,2015-11-07
2015,105,0.37284,-4.16666666666667,9.83333333333333,314,2015-11-10
2015,106,0.37887,0.666666666666667,8,317,2015-11-13
2015,107,0.37219,-4.5,5.5,320,2015-11-16
2015,108,0.36791,-4.16666666666667,8.83333333333333,323,2015-11-19
2015,109,0.36645,-6.66666666666667,3.66666666666667,326,2015-11-22
2015,110,0.38514,-6.5,0.666666666666667,329,2015-11-25
2015,111,0.36074,-3.83333333333333,6.66666666666667,332,2015-11-28
2015,112,0.38672,-8.5,0.5,335,2015-12-01
2015,113,0.37306,-0.833333333333333,2.16666666666667,338,2015-12-04
2015,114,0.3742,-5,3.33333333333333,341,2015-12-07
2015,115,0.37087,-3.16666666666667,4.83333333333333,344,2015-12-10
2015,116,NA,2.16666666666667,8.16666666666667,347,2015-12-13
2015,117,0.34292,-0.833333333333333,5.66666666666667,350,2015-12-16
2015,118,0.35285,-4.5,0.5,353,2015-12-19
2015,119,0.36351,-2.33333333333333,4.16666666666667,356,2015-12-22
2015,120,0.36971,-2.33333333333333,11,359,2015-12-25
2015,121,NA,-7.83333333333333,1.16666666666667,362,2015-12-28
2016,1,0.35686,-6.16666666666667,-1.83333333333333,2,2016-01-02
2016,2,0.3815,-22.8333333333333,-8,5,2016-01-05
2016,3,0.35539,-17.3333333333333,0.833333333333333,8,2016-01-08
2016,4,0.37572,-10,-0.5,11,2016-01-11
