"year","doy3","gcc","tmin","tmax","doy","date"
2016,62,0.40313,8.33333333333333,17.3333333333333,185,2016-07-03
2016,63,0.39576,6.33333333333333,20.3333333333333,188,2016-07-06
2016,64,0.39166,7.66666666666667,23.1666666666667,191,2016-07-09
2016,65,0.40703,5,20,194,2016-07-12
2016,66,0.40999,5.5,22.1666666666667,197,2016-07-15
2016,67,0.4098,9,21.5,200,2016-07-18
2016,68,0.41011,10,22.1666666666667,203,2016-07-21
2016,69,0.41119,8,24,206,2016-07-24
2016,70,0.41156,8.66666666666667,22.5,209,2016-07-27
2016,71,0.4116,7.16666666666667,21.8333333333333,212,2016-07-30
2016,72,0.40929,7.33333333333333,22.3333333333333,215,2016-08-02
2016,73,0.40972,6.5,13.3333333333333,218,2016-08-05
2016,74,0.4099,7.5,20.3333333333333,221,2016-08-08
2016,75,0.40812,5.16666666666667,19,224,2016-08-11
2016,76,0.40918,4.33333333333333,20.5,227,2016-08-14
2016,77,0.40521,5.16666666666667,19.3333333333333,230,2016-08-17
2016,78,0.41061,2.33333333333333,17.6666666666667,233,2016-08-20
2016,79,0.40471,5.16666666666667,14.5,236,2016-08-23
2016,80,0.40692,3.5,13.3333333333333,239,2016-08-26
2016,81,0.40678,4.16666666666667,15.3333333333333,242,2016-08-29
2016,82,0.40132,4.16666666666667,17,245,2016-09-01
2016,83,0.40055,4.33333333333333,17.8333333333333,248,2016-09-04
2016,84,0.39969,4,18,251,2016-09-07
2016,85,0.4054,2.16666666666667,17.6666666666667,254,2016-09-10
2016,86,0.39938,2.83333333333333,15,257,2016-09-13
2016,87,0.40975,-0.166666666666667,11.8333333333333,260,2016-09-16
2016,88,0.40511,7.33333333333333,18.1666666666667,263,2016-09-19
2016,89,0.39523,3,16.8333333333333,266,2016-09-22
2016,90,0.40125,-0.666666666666667,10.5,269,2016-09-25
2016,91,0.40837,1.66666666666667,16.8333333333333,272,2016-09-28
2016,92,0.39575,3,13.5,275,2016-10-01
2016,93,0.388,-2.33333333333333,7,278,2016-10-04
2016,94,0.39818,-2.66666666666667,6.83333333333333,281,2016-10-07
2016,95,0.39554,1.83333333333333,12.1666666666667,284,2016-10-10
2016,96,0.38565,2.66666666666667,11.1666666666667,287,2016-10-13
2016,97,0.39216,2.66666666666667,13.3333333333333,290,2016-10-16
2016,98,0.39068,-3.83333333333333,5.5,293,2016-10-19
2016,99,0.39434,1.33333333333333,13,296,2016-10-22
2016,100,0.39606,2,10.3333333333333,299,2016-10-25
2016,101,0.39485,3.66666666666667,12.3333333333333,302,2016-10-28
2016,102,0.38118,1.83333333333333,11.1666666666667,305,2016-10-31
2016,103,0.39366,-2.5,9.5,308,2016-11-03
2016,104,0.37545,-1,8,311,2016-11-06
2016,105,0.37137,-2.16666666666667,10.3333333333333,314,2016-11-09
2016,106,0.37347,-0.666666666666667,6.66666666666667,317,2016-11-12
2016,107,0.36995,2.16666666666667,10.3333333333333,320,2016-11-15
2016,108,0.38554,-9.83333333333333,1.16666666666667,323,2016-11-18
2016,109,0.36876,-2.83333333333333,4.5,326,2016-11-21
2016,110,0.38054,-8.66666666666667,1.5,329,2016-11-24
2016,111,0.37442,-8,0.666666666666667,332,2016-11-27
2016,112,0.37163,-13.3333333333333,-7.5,335,2016-11-30
2016,113,0.35941,-13.3333333333333,-6,338,2016-12-03
2016,114,0.37313,-19.1666666666667,-8.33333333333333,341,2016-12-06
2016,115,0.37158,-10.6666666666667,-2.16666666666667,344,2016-12-09
2016,116,0.37601,-9.33333333333333,-3,347,2016-12-12
2016,117,0.37191,-8.16666666666667,1.5,350,2016-12-15
2016,118,0.38262,-18.1666666666667,-8.16666666666667,353,2016-12-18
2016,119,0.36667,-6.33333333333333,1.5,356,2016-12-21
2016,120,0.36562,-7.66666666666667,1.83333333333333,359,2016-12-24
2016,121,0.36663,-10,-3,362,2016-12-27
2017,1,0.35586,-9.5,-4,2,2017-01-02
2017,2,0.36952,-25.6666666666667,-10.6666666666667,5,2017-01-05
2017,3,0.3572,-9.5,-0.333333333333333,8,2017-01-08
2017,4,0.36373,-7.66666666666667,-3,11,2017-01-11
2017,5,0.36635,-8.83333333333333,0.333333333333333,14,2017-01-14
2017,6,0.37492,-11,1.5,17,2017-01-17
2017,7,0.37213,-9,0.166666666666667,20,2017-01-20
2017,8,0.3681,-11.1666666666667,-3.83333333333333,23,2017-01-23
2017,9,0.37934,-16.6666666666667,-9,26,2017-01-26
2017,10,0.37298,-6.66666666666667,0,29,2017-01-29
2017,11,0.36652,-4.33333333333333,2.66666666666667,32,2017-02-01
2017,12,0.37239,-4,0.833333333333333,35,2017-02-04
2017,13,0.37812,-3.66666666666667,0.333333333333333,38,2017-02-07
2017,14,0.38168,-1.5,6.5,41,2017-02-10
2017,15,0.38024,-11.1666666666667,1.83333333333333,44,2017-02-13
2017,16,0.38711,-5.16666666666667,8.5,47,2017-02-16
2017,17,0.38436,-3.66666666666667,5.5,50,2017-02-19
2017,18,0.36539,-7.33333333333333,2.16666666666667,53,2017-02-22
2017,19,0.37589,-16.5,-9.66666666666667,56,2017-02-25
2017,20,0.37381,-13.5,-4.16666666666667,59,2017-02-28
2017,21,0.37086,-7.16666666666667,3,62,2017-03-03
2017,22,0.379,-10,0.333333333333333,65,2017-03-06
2017,23,0.37798,-2.83333333333333,6.33333333333333,68,2017-03-09
2017,24,0.38461,-4.5,2.66666666666667,71,2017-03-12
2017,25,0.3841,1.66666666666667,9.83333333333333,74,2017-03-15
2017,26,0.39774,2,12,77,2017-03-18
2017,27,0.39607,0.5,11.6666666666667,80,2017-03-21
2017,28,0.3916,-2.5,7.33333333333333,83,2017-03-24
2017,29,0.38673,-2.83333333333333,3.5,86,2017-03-27
2017,30,0.38142,-4,4,89,2017-03-30
2017,31,0.37888,-5.16666666666667,2.83333333333333,92,2017-04-02
2017,32,0.39477,-8.16666666666667,2.16666666666667,95,2017-04-05
2017,33,0.39841,-3.33333333333333,7.5,98,2017-04-08
2017,34,0.39843,-4.16666666666667,8.5,101,2017-04-11
2017,35,0.40144,-1.16666666666667,13,104,2017-04-14
2017,36,0.39465,-1.33333333333333,12.3333333333333,107,2017-04-17
2017,37,0.40272,-4.16666666666667,4.33333333333333,110,2017-04-20
