"year","doy3","gcc","tmin","tmax","doy","date"
2012,10,0.335,-4.16666666666667,1.83333333333333,29,2012-01-29
2012,11,0.3352,0.5,6.83333333333333,32,2012-02-01
2012,12,0.3333,-2,3.16666666666667,35,2012-02-04
2012,13,0.33148,-3.83333333333333,2.66666666666667,38,2012-02-07
2012,14,0.32976,-6.33333333333333,-0.333333333333333,41,2012-02-10
2012,15,0.33288,-6.5,-0.5,44,2012-02-13
2012,16,0.33198,-1.5,3.66666666666667,47,2012-02-16
2012,17,0.33239,-5.83333333333333,0.833333333333333,50,2012-02-19
2012,18,0.3323,-1.33333333333333,4.5,53,2012-02-22
2012,19,0.33328,-2.5,2.5,56,2012-02-25
2012,20,0.33425,-1.83333333333333,4.66666666666667,59,2012-02-28
2012,21,0.33253,0.333333333333333,6.66666666666667,62,2012-03-02
2012,22,0.3362,-8,1.83333333333333,65,2012-03-05
2012,23,0.33905,0.666666666666667,10,68,2012-03-08
2012,24,0.34671,-1,10.1666666666667,71,2012-03-11
2012,25,0.35463,3.83333333333333,17.5,74,2012-03-14
2012,26,0.35725,7.5,20.3333333333333,77,2012-03-17
2012,27,0.36908,8.83333333333333,23,80,2012-03-20
2012,28,0.36187,8.5,18.1666666666667,83,2012-03-23
2012,29,0.36222,-1.33333333333333,10.3333333333333,86,2012-03-26
2012,30,0.36001,1.33333333333333,9.83333333333333,89,2012-03-29
2012,31,0.3589,0.5,7.83333333333333,92,2012-04-01
2012,32,0.35712,0.166666666666667,11,95,2012-04-04
2012,33,0.35554,-0.333333333333333,12.5,98,2012-04-07
2012,34,0.35706,1.33333333333333,9.66666666666667,101,2012-04-10
2012,35,0.36119,0.166666666666667,12.5,104,2012-04-13
2012,36,0.35958,7.83333333333333,17.8333333333333,107,2012-04-16
2012,37,0.36449,3.83333333333333,18.5,110,2012-04-19
2012,38,0.36229,2.66666666666667,7.83333333333333,113,2012-04-22
2012,39,0.35673,1.33333333333333,12.5,116,2012-04-25
2012,40,0.36368,-1.5,10.5,119,2012-04-28
2012,41,0.36917,5.5,15.5,122,2012-05-01
2012,42,0.36928,10.8333333333333,22,125,2012-05-04
2012,43,0.36647,9.16666666666667,17.8333333333333,128,2012-05-07
2012,44,0.36896,6.66666666666667,17.3333333333333,131,2012-05-10
2012,45,0.36767,8.83333333333333,21.6666666666667,134,2012-05-13
2012,46,0.36395,5.16666666666667,19,137,2012-05-16
2012,47,0.36709,8.66666666666667,27,140,2012-05-19
2012,48,0.36604,12.3333333333333,24.5,143,2012-05-22
2012,49,0.37027,15.6666666666667,27.6666666666667,146,2012-05-25
2012,50,0.36462,16.5,26.8333333333333,149,2012-05-28
2012,51,0.36746,10.6666666666667,19.6666666666667,152,2012-05-31
2012,52,0.36785,10,18.3333333333333,155,2012-06-03
2012,53,0.37001,9.66666666666667,21.5,158,2012-06-06
2012,54,0.36814,14.5,26,161,2012-06-09
2012,55,0.36805,13.5,24.8333333333333,164,2012-06-12
2012,56,0.37305,13,25.8333333333333,167,2012-06-15
2012,57,0.37133,19.6666666666667,27,170,2012-06-18
2012,58,0.37128,19.3333333333333,28.6666666666667,173,2012-06-21
2012,59,0.37127,14.1666666666667,23.3333333333333,176,2012-06-24
2012,60,0.37111,15,26.8333333333333,179,2012-06-27
2012,61,0.36925,18.1666666666667,28.6666666666667,182,2012-06-30
2012,62,0.37308,17.5,29,185,2012-07-03
2012,63,0.37166,21,31,188,2012-07-06
2012,64,0.37014,15.6666666666667,27.5,191,2012-07-09
2012,65,0.37221,17,30.5,194,2012-07-12
2012,66,0.37279,19,28.6666666666667,197,2012-07-15
2012,67,0.37127,20.1666666666667,28.5,200,2012-07-18
2012,68,0.37099,16.5,26.8333333333333,203,2012-07-21
2012,69,0.37333,18.5,28.6666666666667,206,2012-07-24
2012,70,0.36936,19.1666666666667,27,209,2012-07-27
2012,71,0.37014,16.8333333333333,28.3333333333333,212,2012-07-30
2012,72,0.37143,17.8333333333333,29.1666666666667,215,2012-08-02
2012,73,0.37402,18.1666666666667,28.5,218,2012-08-05
2012,74,0.37093,16.3333333333333,26.3333333333333,221,2012-08-08
2012,75,0.37157,16.5,23.1666666666667,224,2012-08-11
2012,76,0.36788,15.8333333333333,24.5,227,2012-08-14
2012,77,0.36653,14.3333333333333,24.1666666666667,230,2012-08-17
2012,78,0.36579,12,23.6666666666667,233,2012-08-20
2012,79,0.36631,14.6666666666667,26.8333333333333,236,2012-08-23
2012,80,0.36354,18,27.3333333333333,239,2012-08-26
2012,81,0.36451,13.5,24.8333333333333,242,2012-08-29
2012,82,0.36856,16.8333333333333,28.3333333333333,245,2012-09-01
2012,83,0.36657,16.3333333333333,27.5,248,2012-09-04
2012,84,0.36501,16.3333333333333,24.8333333333333,251,2012-09-07
2012,85,0.36476,10.5,21,254,2012-09-10
2012,86,0.36228,13.5,24.5,257,2012-09-13
2012,87,0.3652,9.83333333333333,21.8333333333333,260,2012-09-16
2012,88,0.3638,9.5,18.1666666666667,263,2012-09-19
2012,89,0.36303,9.16666666666667,17.3333333333333,266,2012-09-22
2012,90,0.35831,9.33333333333333,18.1666666666667,269,2012-09-25
2012,91,0.35632,6.66666666666667,17.3333333333333,272,2012-09-28
2012,92,0.35142,8.66666666666667,18,275,2012-10-01
2012,93,0.34308,13.6666666666667,20.3333333333333,278,2012-10-04
2012,94,0.34237,4.33333333333333,10.5,281,2012-10-07
2012,95,0.34891,3.83333333333333,13,284,2012-10-10
2012,96,0.35478,3.33333333333333,16.5,287,2012-10-13
2012,97,0.35432,6.5,15.1666666666667,290,2012-10-16
2012,98,0.35081,7.33333333333333,15.1666666666667,293,2012-10-19
2012,99,0.35674,6.66666666666667,16,296,2012-10-22
2012,100,0.35177,9.16666666666667,19.5,299,2012-10-25
2012,101,0.35587,3.66666666666667,7,302,2012-10-28
2012,102,0.35498,4.16666666666667,8.83333333333333,305,2012-10-31
2012,103,0.35367,1,5.16666666666667,308,2012-11-03
2012,104,0.35232,-1.16666666666667,4,311,2012-11-06
2012,105,0.35359,0.5,9.33333333333333,314,2012-11-09
2012,106,0.34831,4.5,13.1666666666667,317,2012-11-12
2012,107,0.34482,-1.33333333333333,6.83333333333333,320,2012-11-15
2012,108,0.34216,0.166666666666667,10.5,323,2012-11-18
2012,109,0.34238,0.833333333333333,12.1666666666667,326,2012-11-21
2012,110,0.33844,-1,4.83333333333333,329,2012-11-24
2012,111,0.33842,-2.33333333333333,2,332,2012-11-27
2012,112,0.34583,-1.66666666666667,7.33333333333333,335,2012-11-30
2012,113,0.34134,6,13.6666666666667,338,2012-12-03
2012,114,0.3398,-1.83333333333333,5.5,341,2012-12-06
2012,115,0.3361,-0.166666666666667,6.66666666666667,344,2012-12-09
2012,116,0.33793,-2.33333333333333,4.33333333333333,347,2012-12-12
2012,117,0.33918,-0.166666666666667,8.66666666666667,350,2012-12-15
2012,118,0.33603,1.16666666666667,6.16666666666667,353,2012-12-18
2012,119,0.33356,-1.16666666666667,3.66666666666667,356,2012-12-21
2012,120,0.33077,-3.16666666666667,1.16666666666667,359,2012-12-24
2012,121,0.3115,-5.5,-1.33333333333333,362,2012-12-27
2013,1,0.32031,-9.83333333333333,-2.5,2,2013-01-02
2013,2,0.32846,-3.5,1,5,2013-01-05
2013,3,0.33237,-4.83333333333333,3.66666666666667,8,2013-01-08
2013,4,0.3358,0.333333333333333,9.16666666666667,11,2013-01-11
2013,5,0.33094,-2,5.16666666666667,14,2013-01-14
2013,6,0.33158,-6.16666666666667,1.83333333333333,17,2013-01-17
2013,7,0.32552,-6.16666666666667,1,20,2013-01-20
2013,8,0.32453,-15.5,-9.5,23,2013-01-23
2013,9,0.3317,-13.8333333333333,-4,26,2013-01-26
2013,10,0.32872,0.666666666666667,11.1666666666667,29,2013-01-29
2013,11,0.31086,-9.83333333333333,-3.66666666666667,32,2013-02-01
2013,12,0.32676,-14.3333333333333,-5.33333333333333,35,2013-02-04
2013,13,0.32115,-10.3333333333333,-1.16666666666667,38,2013-02-07
2013,14,0.32672,-11.6666666666667,3,41,2013-02-10
2013,15,0.32454,-4.33333333333333,1.5,44,2013-02-13
2013,16,0.32561,-10.3333333333333,-2.83333333333333,47,2013-02-16
2013,17,0.32275,-9.66666666666667,0.833333333333333,50,2013-02-19
2013,18,0.31789,-7.33333333333333,-0.666666666666667,53,2013-02-22
2013,19,0.31663,-5.33333333333333,2.33333333333333,56,2013-02-25
2013,20,0.31528,-1.66666666666667,1.5,59,2013-02-28
2013,21,0.32549,-6.83333333333333,-3,62,2013-03-03
2013,22,0.32948,-4.83333333333333,2.5,65,2013-03-06
2013,23,0.32897,-2.16666666666667,8.5,68,2013-03-09
2013,24,0.32567,0.333333333333333,5.16666666666667,71,2013-03-12
2013,25,0.32542,-4.83333333333333,0.5,74,2013-03-15
2013,26,0.32277,-6.16666666666667,0.5,77,2013-03-18
2013,27,0.32157,-6.66666666666667,-1.16666666666667,80,2013-03-21
2013,28,0.32645,-3.83333333333333,3.16666666666667,83,2013-03-24
2013,29,0.33418,-0.666666666666667,5.33333333333333,86,2013-03-27
2013,30,0.33051,-1.5,10,89,2013-03-30
2013,31,0.33211,-4.5,2.66666666666667,92,2013-04-02
2013,32,0.34085,-5.33333333333333,8.16666666666667,95,2013-04-05
2013,33,0.33865,1.16666666666667,15.3333333333333,98,2013-04-08
2013,34,0.34306,1.66666666666667,5.83333333333333,101,2013-04-11
2013,35,0.35174,2.33333333333333,11.5,104,2013-04-14
2013,36,0.35271,5.16666666666667,18,107,2013-04-17
2013,37,0.35142,-1,10.1666666666667,110,2013-04-20
2013,38,0.35218,1.33333333333333,15.6666666666667,113,2013-04-23
2013,39,0.35762,-0.5,14,116,2013-04-26
2013,40,0.35799,9,18.8333333333333,119,2013-04-29
2013,41,0.35853,9.5,24.6666666666667,122,2013-05-02
2013,42,0.3627,6.33333333333333,23.3333333333333,125,2013-05-05
2013,43,0.36205,10.1666666666667,23.8333333333333,128,2013-05-08
2013,44,0.36091,5.5,14.6666666666667,131,2013-05-11
2013,45,0.36731,3,15.5,134,2013-05-14
2013,46,0.36577,8.16666666666667,21.3333333333333,137,2013-05-17
2013,47,0.36394,13.6666666666667,28.3333333333333,140,2013-05-20
2013,48,0.36222,9.33333333333333,20.3333333333333,143,2013-05-23
2013,49,0.36404,1.83333333333333,18,146,2013-05-26
2013,50,0.36369,13.5,24.5,149,2013-05-29
2013,51,0.3607,16.1666666666667,26,152,2013-06-01
2013,52,0.36069,7.16666666666667,19,155,2013-06-04
2013,53,0.36214,11.6666666666667,16.1666666666667,158,2013-06-07
2013,54,0.36229,13,22.3333333333333,161,2013-06-10
2013,55,0.36538,13.5,23,164,2013-06-13
2013,56,0.36533,13.3333333333333,24.1666666666667,167,2013-06-16
2013,57,0.36792,9.66666666666667,22.6666666666667,170,2013-06-19
2013,58,0.3694,15.5,28.8333333333333,173,2013-06-22
2013,59,0.36776,19.8333333333333,27.3333333333333,176,2013-06-25
2013,60,0.36804,16.8333333333333,23.5,179,2013-06-28
2013,61,0.37191,15.5,23.1666666666667,182,2013-07-01
2013,62,0.37198,18.5,27.6666666666667,185,2013-07-04
2013,63,0.37152,19.3333333333333,26.6666666666667,188,2013-07-07
2013,64,0.37103,18,27,191,2013-07-10
2013,65,0.37319,15.3333333333333,28.1666666666667,194,2013-07-13
2013,66,0.37201,21.3333333333333,32,197,2013-07-16
2013,67,0.36974,22,30.8333333333333,200,2013-07-19
2013,68,0.36891,16,26.5,203,2013-07-22
2013,69,0.36962,10.8333333333333,23.6666666666667,206,2013-07-25
2013,70,0.36949,13.1666666666667,21.5,209,2013-07-28
2013,71,0.36878,13.6666666666667,25,212,2013-07-31
2013,72,0.36756,13.1666666666667,24,215,2013-08-03
2013,73,0.3694,12.6666666666667,24.3333333333333,218,2013-08-06
2013,74,0.36766,15.6666666666667,25.1666666666667,221,2013-08-09
