"PhenoCam Site Name","Flux Site Name","Latitude (°)","Longitude (°)","Altitude (m)","MAT (°C)","MAP (mm)","Acknowledgements"
"canadaOBS","CA-Obs",53.9872,-105.1178,628,0.4,553,"BERMS sites are funded through the Global Institute for Water Security (GIWS) at the University of Saskatchewan"
"harvardbarn","",42.5353,-72.1899,350,7,1385,"Research at Harvard Forest is partially supported through the National Science Foundation’s LTER program (DEB-1237491)."
"harvardbarn2","",42.5353,-72.1899,350,7,1385,"Research at Harvard Forest is partially supported through the National Science Foundation’s LTER program (DEB-1237491)."
"harvardhemlock","US-Ha2",42.539,-72.18,355,7,1385,"Research at Harvard Forest is partially supported through the National Science Foundation’s LTER program (DEB-1237491), and Dept. of Energy Offfice of Science (BER) "
"harvardhemlock2","US-Ha2",42.5394,-72.178,355,7,1385,"Research at Harvard Forest is partially supported through the National Science Foundation’s LTER program (DEB-1237491)."
"howland1","US-Ho1",45.2041,-68.7403,80,6.1,1143,"Research at Howland Forest is supported by the Office of Science (BER), US Department of Energy, and the USDA Forest Service's Northern Research Station."
"huyckpreserveny","",42.5266,-74.1587,478,6.85,1141,"Research at the preserve is supported by the NSF Award #145544: Collaborative Research: IDBR: TYPE A. The NANAPHID: A novel aphid-like nanosensor network for real-time measurements of carbohydrates in live plant tissue, and the NSF MRI Award #72205: Acquisition of a Small Unmanned Aircraft System of Natural and Urban Ecosystem Studies and Risk Disaster Management"
"laclaflamme","",47.3227,-71.1215,784,-0.1,1576,""
"laurentides","",45.9881,-74.0055,350,4.05,1222,""
"missouriozarks","US-MOz",38.7441,-92.2,219,12.75,1102,"Research at the MOFLUX site is supported by the U.S. Department of Energy, Office of Science, Office of Biological and Environmental Research Program, Climate and Environmental Sciences Division through Oak Ridge National Laboratory’s Terrestrial Ecosystem Science – Science Focus Area. ORNL is managed by UT-Battelle, LLC, for the U.S. Department of Energy under contract DE-AC05-00OR22725."
"niwot2","US-NR1",40.0329,-105.547,3050,1.8,863,"The US-NR1 AmeriFlux site is currently supported by the U.S. DOE, Office of Science through the AmeriFlux Management Project (AMP) at Lawrence Berkeley National Laboratory under Award Number 7094866."
"niwot3","US-NR1",40.0329,-105.547,3050,1.8,863,"The US-NR1 AmeriFlux site is currently supported by the U.S. DOE, Office of Science through the AmeriFlux Management Project (AMP) at Lawrence Berkeley National Laboratory under Award Number 7094866."
"niwot5","US-NR1",40.0329,-105.547,2993,1.8,863,"The US-NR1 AmeriFlux site is currently supported by the U.S. DOE, Office of Science through the AmeriFlux Management Project (AMP) at Lawrence Berkeley National Laboratory under Award Number 7094866."
"oregonMP","US-Me2",44.4523,-121.5574,1253,6.9,1158,"Support for US-Me2 is provided from the Metolius Core Site Cluster by the DOE Office of Science Ameriflux Network Management Project"
"oregonYP","US-Me6",44.3238,-121.606,977,8,893,"Support for US-Me6 is provided from the Metolius Core Site Cluster by the DOE Office of Science Ameriflux Network Management Project"
"spruceA0EMI","",47.5049,-93.4541,413,4.05,717,""
"spruceA0P07","",47.5049,-93.4531,413,4.05,717,""
"spruceT0P06","",47.5051,-93.4535,410,4.05,717,""
"spruceT0P19E","",47.5065,-93.4535,410,4.05,717,""
"thompsonfarm2N","",43.1086,-70.9505,23,8.7,1247,"Research at the Thompson Farm Observatory is supported by NH EPSCoR with support from the National Science Foundation's Research Infrastructure Improvement Award (#EPS 1101245) and by the NH Agricultural Experiment Station/USDA NIFA (Hatch project #1006997)."
"turkeypointenf02","CA-TP1",42.6617,-80.5599,194,8.85,1019,"Research at this site was funded by the Natural Sciences and Engineering Research Council (NSERC) of Canada, Canadian Foundation of Innovation (CFI), Ontario Ministry of Research and Innovation (MRI) and Ontario Ministry of Environment, Conservation and Parks (MECP). Support from Ontario Ministry of Natural Resources and Forestry (OMNRF), St Williams Conservation Reserve Community Council (SWCRCC), Long Point Conservation Authority (LPRCA), Whitside family and McMaster University is also acknowledged."
"turkeypointenf39","CA-TP4",42.7102,-80.3573,232,8.65,1015,"Research at this site was funded by the Natural Sciences and Engineering Research Council (NSERC) of Canada, Canadian Foundation of Innovation (CFI), Ontario Ministry of Research and Innovation (MRI) and Ontario Ministry of Environment, Conservation and Parks (MECP). Support from Ontario Ministry of Natural Resources and Forestry (OMNRF), St Williams Conservation Reserve Community Council (SWCRCC), Long Point Conservation Authority (LPRCA), Whitside family and McMaster University is also acknowledged."
"turkeypointenf74","CA-TP3",42.7074,-80.3485,216,8.65,1013,"Research at this site was funded by the Natural Sciences and Engineering Research Council (NSERC) of Canada, Canadian Foundation of Innovation (CFI), Ontario Ministry of Research and Innovation (MRI) and Ontario Ministry of Environment, Conservation and Parks (MECP). Support from Ontario Ministry of Natural Resources and Forestry (OMNRF), St Williams Conservation Reserve Community Council (SWCRCC), Long Point Conservation Authority (LPRCA), Whitside family and McMaster University is also acknowledged."
"umichbiological","US-UMB",45.5598,-84.7138,230,6.35,846,"Primary support for the University of Michigan AmeriFlux Core Site(US-UMB) provided by the Department of Energy Office of Science.Infrastructure support provided by the University of Michigan Biological Station."
"usmpj","US-Mpj",34.4385,-106.2544,2126,10.5,421,""
"windriver","US-Wrc",45.8213,-121.9521,371,9.55,2264,"Data and logistical support were provided by the US Forest Service Pacific Northwest Research Station and the University of Washington"
