CA-Qfo,,,
Year,Month,Day,snow
2008,1,1,nan
2008,1,2,nan
2008,1,3,nan
2008,1,4,nan
2008,1,5,nan
2008,1,6,nan
2008,1,7,nan
2008,1,8,nan
2008,1,9,nan
2008,1,10,nan
2008,1,11,nan
2008,1,12,nan
2008,1,13,nan
2008,1,14,nan
2008,1,15,nan
2008,1,16,nan
2008,1,17,nan
2008,1,18,nan
2008,1,19,nan
2008,1,20,nan
2008,1,21,nan
2008,1,22,nan
2008,1,23,nan
2008,1,24,nan
2008,1,25,nan
2008,1,26,nan
2008,1,27,nan
2008,1,28,nan
2008,1,29,nan
2008,1,30,nan
2008,1,31,nan
2008,2,1,nan
2008,2,2,nan
2008,2,3,nan
2008,2,4,nan
2008,2,5,nan
2008,2,6,nan
2008,2,7,nan
2008,2,8,nan
2008,2,9,nan
2008,2,10,nan
2008,2,11,nan
2008,2,12,nan
2008,2,13,nan
2008,2,14,nan
2008,2,15,nan
2008,2,16,nan
2008,2,17,nan
2008,2,18,nan
2008,2,19,nan
2008,2,20,nan
2008,2,21,nan
2008,2,22,nan
2008,2,23,nan
2008,2,24,nan
2008,2,25,nan
2008,2,26,nan
2008,2,27,nan
2008,2,28,nan
2008,3,1,nan
2008,3,2,nan
2008,3,3,nan
2008,3,4,nan
2008,3,5,nan
2008,3,6,nan
2008,3,7,nan
2008,3,8,nan
2008,3,9,nan
2008,3,10,nan
2008,3,11,nan
2008,3,12,nan
2008,3,13,nan
2008,3,14,nan
2008,3,15,nan
2008,3,16,nan
2008,3,17,nan
2008,3,18,nan
2008,3,19,1
2008,3,20,1
2008,3,21,1
2008,3,22,1
2008,3,23,1
2008,3,24,1
2008,3,25,0
2008,3,26,0
2008,3,27,0
2008,3,28,0
2008,3,29,0
2008,3,30,0
2008,3,31,1
2008,4,1,1
2008,4,2,1
2008,4,3,1
2008,4,4,0
2008,4,5,0
2008,4,6,0
2008,4,7,0
2008,4,8,0
2008,4,9,0
2008,4,10,0
2008,4,11,0
2008,4,12,0
2008,4,13,0
2008,4,14,0
2008,4,15,0
2008,4,16,0
2008,4,17,0
2008,4,18,0
2008,4,19,0
2008,4,20,0
2008,4,21,0
2008,4,22,0
2008,4,23,0
2008,4,24,0
2008,4,25,0
2008,4,26,0
2008,4,27,0
2008,4,28,0
2008,4,29,1
2008,4,30,1
2008,5,1,0
2008,5,2,0
2008,5,3,0
2008,5,4,0
2008,5,5,0
2008,5,6,0
2008,5,7,0
2008,5,8,0
2008,5,9,0
2008,5,10,0
2008,5,11,0
2008,5,12,0
2008,5,13,0
2008,5,14,0
2008,5,15,0
2008,5,16,0
2008,5,17,0
2008,5,18,0
2008,5,19,0
2008,5,20,0
2008,5,21,0
2008,5,22,0
2008,5,23,0
2008,5,24,0
2008,5,25,0
2008,5,26,0
2008,5,27,0
2008,5,28,0
2008,5,29,0
2008,5,30,0
2008,5,31,0
2008,6,1,0
2008,6,2,0
2008,6,3,0
2008,6,4,0
2008,6,5,0
2008,6,6,0
2008,6,7,0
2008,6,8,0
2008,6,9,0
2008,6,10,0
2008,6,11,0
2008,6,12,0
2008,6,13,0
2008,6,14,0
2008,6,15,0
2008,6,16,0
2008,6,17,0
2008,6,18,0
2008,6,19,0
2008,6,20,0
2008,6,21,0
2008,6,22,0
2008,6,23,0
2008,6,24,0
2008,6,25,0
2008,6,26,0
2008,6,27,0
2008,6,28,0
2008,6,29,0
2008,6,30,0
2008,7,1,0
2008,7,2,0
2008,7,3,0
2008,7,4,0
2008,7,5,0
2008,7,6,0
2008,7,7,0
2008,7,8,0
2008,7,9,0
2008,7,10,0
2008,7,11,0
2008,7,12,0
2008,7,13,0
2008,7,14,0
2008,7,15,0
2008,7,16,0
2008,7,17,0
2008,7,18,0
2008,7,19,0
2008,7,20,0
2008,7,21,0
2008,7,22,0
2008,7,23,0
2008,7,24,0
