"site","roi_name","lat","lon","roitype","active","show_link","show_data_link","sequence_number","description","first_date","last_date","site_years","missing_data_pct","roi_page","roi_stats_file","one_day_summary","three_day_summary","data_release","species","genus","elev","MAT","data_file","out_file","fig_file","temp_offset","Genus"
"canadaOBS","canadaOBS_EN_1000",53.98717,-105.11779,"EN",TRUE,TRUE,TRUE,1000,"canopy level EN (Picea mariana)","2011-07-04","2019-09-05","7.8","4.0","https://phenocam.sr.unh.edu/data/archive/canadaOBS/ROI/canadaOBS_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/canadaOBS/ROI/canadaOBS_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/canadaOBS/ROI/canadaOBS_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/canadaOBS/ROI/canadaOBS_EN_1000_3day.csv",NA,"Picea mariana (black spruce)","Picea",628,0.4,"data/ts/canadaOBS-EN-1000-dat.csv","data/out/canadaOBS-EN-1000-out.RData","data/figs/canadaOBS-EN-1000-fig.png",0,"Picea"
"harvardbarn","harvardbarn_EN_1000",42.53532,-72.1899,"EN",TRUE,TRUE,TRUE,1000,"EN veg type. Canopy view.","2011-08-03","2019-09-05","8.1","0.0","https://phenocam.sr.unh.edu/data/archive/harvardbarn/ROI/harvardbarn_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/harvardbarn/ROI/harvardbarn_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/harvardbarn/ROI/harvardbarn_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/harvardbarn/ROI/harvardbarn_EN_1000_3day.csv",NA,"Pinus strobus (white pine)","Pinus",350,7,"data/ts/harvardbarn-EN-1000-dat.csv","data/out/harvardbarn-EN-1000-out.RData","data/figs/harvardbarn-EN-1000-fig.png",0,"Pinus"
"harvardbarn2","harvardbarn2_EN_1000",42.53532,-72.1899,"EN",TRUE,TRUE,TRUE,1000,"Patch of EN veg type in DB canopy.","2012-03-29","2019-09-05","7.4","0.0","https://phenocam.sr.unh.edu/data/archive/harvardbarn2/ROI/harvardbarn2_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/harvardbarn2/ROI/harvardbarn2_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/harvardbarn2/ROI/harvardbarn2_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/harvardbarn2/ROI/harvardbarn2_EN_1000_3day.csv",NA,"Pinus strobus (white pine)","Pinus",350,7,"data/ts/harvardbarn2-EN-1000-dat.csv","data/out/harvardbarn2-EN-1000-out.RData","data/figs/harvardbarn2-EN-1000-fig.png",0,"Pinus"
"harvardhemlock","harvardhemlock_EN_2000",42.539,-72.18,"EN",TRUE,TRUE,TRUE,2000,"EN veg type, canopy view.","2012-08-08","2019-09-05","6.9","2.0","https://phenocam.sr.unh.edu/data/archive/harvardhemlock/ROI/harvardhemlock_EN_2000.html","https://phenocam.sr.unh.edu/data/archive/harvardhemlock/ROI/harvardhemlock_EN_2000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/harvardhemlock/ROI/harvardhemlock_EN_2000_1day.csv","https://phenocam.sr.unh.edu/data/archive/harvardhemlock/ROI/harvardhemlock_EN_2000_3day.csv",NA,"Tsuga canadensis (eastern hemlock)","Tsuga",355,7,"data/ts/harvardhemlock-EN-2000-dat.csv","data/out/harvardhemlock-EN-2000-out.RData","data/figs/harvardhemlock-EN-2000-fig.png",0,"Tsuga"
"harvardhemlock2","harvardhemlock2_EN_1000",42.539407,-72.177976,"EN",TRUE,TRUE,TRUE,1000,"EN forest. Canopy level.","2015-09-05","2019-09-05","4.0","0.0","https://phenocam.sr.unh.edu/data/archive/harvardhemlock2/ROI/harvardhemlock2_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/harvardhemlock2/ROI/harvardhemlock2_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/harvardhemlock2/ROI/harvardhemlock2_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/harvardhemlock2/ROI/harvardhemlock2_EN_1000_3day.csv",NA,"Tsuga canadensis (eastern hemlock)","Tsuga",355,7,"data/ts/harvardhemlock2-EN-1000-dat.csv","data/out/harvardhemlock2-EN-1000-out.RData","data/figs/harvardhemlock2-EN-1000-fig.png",0,"Tsuga"
"howland1","howland1_EN_3000",45.2041,-68.7403,"EN",TRUE,TRUE,TRUE,3000,"EN veg type, canopy view.","2010-03-27","2019-09-05","9.2","2.0","https://phenocam.sr.unh.edu/data/archive/howland1/ROI/howland1_EN_3000.html","https://phenocam.sr.unh.edu/data/archive/howland1/ROI/howland1_EN_3000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/howland1/ROI/howland1_EN_3000_1day.csv","https://phenocam.sr.unh.edu/data/archive/howland1/ROI/howland1_EN_3000_3day.csv",NA,"Pinus strobus (white pine)","Pinus",80,6.1,"data/ts/howland1-EN-3000-dat.csv","data/out/howland1-EN-3000-out.RData","data/figs/howland1-EN-3000-fig.png",0,"Pinus"
"huyckpreserveny","huyckpreserveny_EN_1000",42.5266,-74.1587,"EN",TRUE,TRUE,TRUE,1000,"EN veg type. Canopy view.","2015-04-05","2019-09-05","4.3","3.0","https://phenocam.sr.unh.edu/data/archive/huyckpreserveny/ROI/huyckpreserveny_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/huyckpreserveny/ROI/huyckpreserveny_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/huyckpreserveny/ROI/huyckpreserveny_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/huyckpreserveny/ROI/huyckpreserveny_EN_1000_3day.csv",NA,"Picea glauca (white spruce); eastern hemlock (Tsuga canadensis)","Picea",478,6.85,"data/ts/huyckpreserveny-EN-1000-dat.csv","data/out/huyckpreserveny-EN-1000-out.RData","data/figs/huyckpreserveny-EN-1000-fig.png",0,"Picea"
"laclaflamme","laclaflamme_EN_1000",47.322678,-71.121453,"EN",TRUE,TRUE,TRUE,1000,"EN veg type.","2014-09-11","2019-09-05","4.9","1.0","https://phenocam.sr.unh.edu/data/archive/laclaflamme/ROI/laclaflamme_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/laclaflamme/ROI/laclaflamme_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/laclaflamme/ROI/laclaflamme_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/laclaflamme/ROI/laclaflamme_EN_1000_3day.csv",NA,"Abies balsamea (balsam fir)","Abies",784,-0.1,"data/ts/laclaflamme-EN-1000-dat.csv","data/out/laclaflamme-EN-1000-out.RData","data/figs/laclaflamme-EN-1000-fig.png",0,"Others"
"laurentides","laurentides_EN_1000",45.9881,-74.0055,"EN",TRUE,TRUE,TRUE,1000,"individual tree on the left","2014-01-02","2019-09-05","5.5","3.0","https://phenocam.sr.unh.edu/data/archive/laurentides/ROI/laurentides_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/laurentides/ROI/laurentides_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/laurentides/ROI/laurentides_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/laurentides/ROI/laurentides_EN_1000_3day.csv",NA,"Thuja occidentalis (northern white cedar)","Thuja",350,4.05,"data/ts/laurentides-EN-1000-dat.csv","data/out/laurentides-EN-1000-out.RData","data/figs/laurentides-EN-1000-fig.png",0,"Others"
"missouriozarks","missouriozarks_EN_1000",38.7441,-92.2,"EN",TRUE,TRUE,TRUE,1000,"foreground evergreens","2012-03-05","2019-09-05","7.3","3.0","https://phenocam.sr.unh.edu/data/archive/missouriozarks/ROI/missouriozarks_EN_1000.html","https://phenocam.sr.unh.edu/data/archive/missouriozarks/ROI/missouriozarks_EN_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/missouriozarks/ROI/missouriozarks_EN_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/missouriozarks/ROI/missouriozarks_EN_1000_3day.csv",NA,"Juniperus virginiana (eastern red cedar)","Juniperus",219,12.75,"data/ts/missouriozarks-EN-1000-dat.csv","data/out/missouriozarks-EN-1000-out.RData","data/figs/missouriozarks-EN-1000-fig.png",0,"Others"
